batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Yordan Alvarez,670541,2,L,HOU,Blade Tidwell,SF,R,HOU@SF,8:45 PM CT,official,0.34615384615384615,vs_rhp,17.7,53.7,0.465,0.332,75.42132211538461,75.6442548076923,False,19.637393996930328,1
Brandon Nimmo,607043,4,L,TEX,Reid Detmers,LAA,L,TEX@LAA,8:38 PM CT,official,0.34513274336283184,vs_lhp,11.3,51.4,0.372,0.292,67.00827433628318,64.3616371681416,False,17.377403740374035,2
Shohei Ohtani,660271,1,L,LAD,Noah Cameron,KC,L,KC@LAD,9:10 PM CT,official,0.29931972789115646,vs_lhp,16.3,52.3,0.407,0.295,66.50728528911564,67.48817389455782,False,24.190433979166375,3
Alec Burleson,676475,3,L,STL,Andrew Painter,PHI,R,PHI@STL,6:45 PM CT,official,0.32792207792207795,vs_rhp,11.7,49.1,0.384,0.296,65.6143952922078,63.9889163961039,False,21.131674901942084,4
Osleivis Basabe,678545,5,R,SF,Hayden Wesneski,HOU,R,HOU@SF,8:45 PM CT,official,0.36,vs_rhp,15.4,38.5,0.319,0.268,65.1753125,60.5221875,False,26.070540123456787,5
Bobby Witt Jr.,677951,2,R,KC,Tarik Skubal,LAD,L,KC@LAD,9:10 PM CT,official,0.31,vs_lhp,11.9,52.4,0.384,0.304,64.768125,64.331875,False,10.493933131146035,6
Mike Trout,545361,2,R,LAA,MacKenzie Gore,TEX,L,TEX@LAA,8:38 PM CT,official,0.2872340425531915,vs_lhp,16.9,47.3,0.387,0.254,62.76559175531915,63.417014627659576,False,24.13168532338308,7
Drake Baldwin,686948,1,L,ATL,Christian Scott,NYM,R,NYM@ATL,6:15 PM CT,official,0.2907488986784141,vs_rhp,13.8,51.2,0.377,0.28,62.63676486784141,63.003069933920706,False,19.46557363052649,8
Junior Caminero,691406,3,R,TB,Jacob Lopez,ATH,L,TB@ATH,8:40 PM CT,official,0.29310344827586204,vs_lhp,13.7,50.7,0.373,0.274,62.413157327586205,62.49485991379311,False,10.722700243587905,9
Ryan Jeffers,680777,2,R,MIN,Trevor Rogers,BAL,L,BAL@MIN,6:40 PM CT,official,0.323943661971831,vs_lhp,11.4,41.1,0.364,0.257,61.7096786971831,59.07687059859155,False,10.245068989920597,10
Willson Contreras,575929,4,R,BOS,Jameson Taillon,TOR,R,BOS@TOR,6:07 PM CT,official,0.2846715328467153,vs_rhp,14.3,46.3,0.388,0.265,61.37684078467153,61.86888914233577,False,27.77198617301805,11
Jake Bauers,641343,3,L,MIL,Casey Mize,SD,R,MIL@SD,8:40 PM CT,official,0.2767527675276753,vs_rhp,14.1,53.6,0.37,0.26,61.06965175276753,61.99826337638377,False,25.341165475062454,12
Michael Harris II,671739,4,L,ATL,Christian Scott,NYM,R,NYM@ATL,6:15 PM CT,official,0.2909090909090909,vs_rhp,11.4,49.6,0.351,0.293,60.45153409090909,60.09732954545454,False,19.670262954369683,13
Pete Alonso,624413,2,R,BAL,Dean Kremer,MIN,R,BAL@MIN,6:40 PM CT,official,0.2572347266881029,vs_rhp,13.8,55.8,0.384,0.276,60.375347668810285,62.74986133440514,False,21.957531894884397,14
Bryce Harper,547180,3,L,PHI,Hunter Dobbins,STL,R,PHI@STL,6:45 PM CT,official,0.2857142857142857,vs_rhp,11.6,44.8,0.39,0.275,60.21767857142857,60.33446428571429,False,19.576159601175235,15
Fernando Tatis Jr.,665487,1,R,SD,Logan Henderson,MIL,R,MIL@SD,8:40 PM CT,official,0.2786885245901639,vs_rhp,11.5,52.7,0.36,0.286,60.078539959016396,60.59973872950819,False,20.245604598762256,16
Jordan Walker,691023,4,R,STL,Andrew Painter,PHI,R,PHI@STL,6:45 PM CT,official,0.28106508875739644,vs_rhp,13.4,47.4,0.357,0.277,59.84025887573964,60.06700443786983,False,25.683310453168048,17
Gabriel Moreno,672515,3,R,AZ,Gabriel Hughes,COL,R,COL@AZ,8:40 PM CT,official,0.30962343096234307,vs_rhp,7.0,42.1,0.371,0.295,59.59140559623431,57.619609048117155,False,13.773713449242965,18
