rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
14,Keider Montero,672456,DET,R,ATH,DET@ATH,3:05 PM CT,2026-08-02T20:05:00Z,ok,prior:2026-08-01,6.137254901960784,25,2.7777777777777777,season_start_est,starter,20.006010968974483,22.656569750689666,4.864674921692693,5.05575408981309,1.8005409872077036,9,9,1.0,25,,25,1.8761329521355867,0.8972809771083241,6.444108835596146,4.474716266117383,low,elev_xfip,1.0,,4.0,6.480000000000001,5.5555555555555545,4.418823529411766,0.3,20.220588235294116,0.23677389290590606,6.25,recent,0.9783111236076341,aggressive,1.0164,1.0,low,878,716,"805779,641680,691016,695720,671732,675961,703607,661531,680716",Jacob Wilson; Jonah Heim; Tyler Soderstrom; Tommy White; Lawrence Butler; Alika Williams; Henry Bolte; Brian Serven; Jonathan Ornelas,,True,"K9 6.4, soft L3 4.0, elev_xFIP 4.47",18,0.41379310344827586,avg,avg,-2.4939890310255173,-0.21457726631963325,FILLER,"soft-contact (K9 6.4, soft L3 4.0, elev_xFIP 4.47) + arsenal K% 20.0 (avg solo, -2.5 vs lg, -0.2 vs opp K%, opp K% 20.2; slate #18/29 avg) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",1,1,1.0,0,0,,2026-07-08 H: 1.2IP 1K,1.0,1.0,8.0,1.0,0.0,2.0,.286,.661,12.5
15,Cade Cavalli,676917,WSH,R,ATL,WSH@ATL,12:35 PM CT,2026-08-02T17:35:00Z,ok,official,5.072463768115942,22,2.4444444444444446,season_avg,starter,20.151355910143824,22.11807238657737,4.858378182793284,4.525081323935195,1.8136220319129441,9,9,1.0,22,,22,2.7771429176797686,0.7714285882443801,10.028571647176943,3.425087969027941,clear,,1.0,,6.666666666666667,10.0,6.0,5.636070853462159,0.3,23.579545454545453,0.2349735627292106,6.25,recent,1.0179293132262068,aggressive,1.0164,1.0,low,1151,813,"686948,660670,621566,671739,645277,643289,573262,663586,805347",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Ozzie Albies; Mauricio Dubón; Mike Yastrzemski; Austin Riley; Jim Jarvis,,False,,17,0.4482758620689655,avg,avg,-2.348644089856176,-3.4281895444016293,,"arsenal K% 20.2 (avg solo, -2.3 vs lg, -3.4 vs opp K%, opp K% 23.6; slate #17/29 avg)",1,10,10.0,0,0,,2026-04-23 H: 5.0IP 10K,1.0,10.0,23.0,0.0,0.0,7.0,.333,.777,43.47826086956522
16,Emmet Sheehan,686218,LAD,R,BOS,BOS@LAD,6:20 PM CT,2026-08-02T23:20:00Z,ok,prior:2026-08-01,4.730877192982456,20,2.2222222222222223,season_avg,starter,22.539739005430565,24.40176393027703,4.824367101757915,4.56246332086037,2.028576510488751,9,9,1.0,20,,20,2.81654683988686,1.651079182002642,10.100719701663222,3.9785379049322733,medium,"high_hr,exit_hr",0.97,exit_hr,6.0,10.340425531914894,5.222222222222222,5.435475923852184,0.3,21.700879765395893,0.2356985286666513,6.744868035190616,recent,0.9959259265353946,aggressive,1.012441055718475,1.0,low,931,709,"678011,678882,677800,702332,807799,686765,655316,680776,657136",Anthony Seigler; Ceddanne Rafaela; Wilyer Abreu; Caleb Durbin; Masataka Yoshida; Nick Sogard; Andruw Monasterio; Jarren Duran; Connor Wong,,False,,12,0.6206896551724138,avg,strong,0.0397390054305653,0.8388592400346724,,"arsenal K% 22.5 (strong solo, +0.0 vs lg, +0.8 vs opp K%, opp K% 21.7; slate #12/29 avg)",0,0,,1,5,5.0,2025-07-25 A: 5.0IP 5K,1.0,5.0,20.0,2.0,0.0,3.0,.167,.528,25.0
17,Kumar Rocker,677958,TEX,R,HOU,TEX@HOU,1:10 PM CT,2026-08-02T18:10:00Z,ok,official,5.592592592592593,24,2.6666666666666665,season_start_est,starter,18.31052687732247,22.93645024605115,4.750414910264097,4.302324330680313,1.6479474189590224,9,9,1.0,24,,24,3.3311688517977283,1.1396103966676439,8.152597453083914,4.164098558451663,clear,,1.0,,6.333333333333333,9.327272727272726,6.111111111111112,5.795959595959594,0.3,22.535211267605632,0.2732050765880145,8.732394366197184,recent,0.9848921374540568,neutral,0.9961084507042254,1.0,neutral,975,711,"665161,670541,670623,572233,666211,514888,701358,669397,543877",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Christian Walker; Taylor Trammell; Jose Altuve; Cam Smith; Nick Allen; Christian Vázquez,,False,,25,0.1724137931034483,soft,soft,-4.18947312267753,-4.224684390283162,,"arsenal K% 18.3 (soft solo, -4.2 vs lg, -4.2 vs opp K%, opp K% 22.5; slate #25/29 soft)",2,11,5.5,0,0,,2026-07-11 H: 5.2IP 6K; 2026-05-25 H: 5.0IP 5K,2.0,11.0,50.0,4.0,4.0,12.0,.279,.988,22.0
18,Griffin Jax,643377,TB,R,CWS,CWS@TB,12:40 PM CT,2026-08-02T17:40:00Z,ok,official,4.450980392156863,18,2.0,season_start_est,starter,22.370886625617448,26.316072059788922,4.709297022506153,4.3240377632440845,2.0133797963055704,9,9,1.0,18,,18,3.1153848096463927,1.3500000841801036,9.553846749582272,3.4738875833581337,low,elev_hr,1.0,,7.0,11.34,5.555555555555556,5.608235294117647,0.3,26.443768996960486,0.1896766109335969,7.90273556231003,recent,1.07,neutral,1.0035753799392098,1.0,neutral,820,500,"803011,808959,678246,695657,643217,671976,805367,677592,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Andrew Benintendi; Tristan Peters; Chase Meidroth; Everson Pereira; Drew Romo,,False,,13,0.5862068965517241,avg,avg,-0.12911337438255188,-4.072882371343038,,"arsenal K% 22.4 (avg solo, -0.1 vs lg, -4.1 vs opp K%, opp K% 26.4; slate #13/29 avg)",10,12,1.2,11,11,1.0,2026-04-16 A: 0.2IP 1K; 2025-09-10 A: 1.0IP 1K; 2025-04-23 H: 1.0IP 2K; 2025-04-22 H: 1.0IP 2K; 2025-04-01 A: 1.0IP 2K; 2024-08-03 H: 1.0IP 2K; 2024-08-02 H: 1.0IP 2K; 2024-07-10 A: 1.0IP 1K,33.0,47.0,168.0,12.0,4.0,33.0,.216,.608,27.976190476190474
19,JR Ritchie,702275,ATL,R,WSH,WSH@ATL,12:35 PM CT,2026-08-02T17:35:00Z,ok,official,5.428522818101153,24,2.6666666666666665,season_start_est,starter,19.352422358580593,24.776096895954723,4.6519086627792126,4.152894754842223,1.7417180122722533,9,9,1.0,24,,24,5.5000003885340085,1.5000001059638204,8.1666672435808,4.864948992464988,high,"high_bb,high_hr,high_xfip,short_recent_ip,exit_hr,exit_xfip_bb",0.82,"short_recent_ip,exit_hr,exit_xfip_bb",5.0,9.642857142857142,4.666666666666667,5.816274447965521,0.3,17.70186335403727,0.25086546777707575,11.180124223602485,recent,0.941595421294037,patient,0.95,0.9654385093167702,elevated,566,376,"695578,695734,686611,682928,660688,677588,683083,678391,665953",James Wood; Daylen Lile; Dylan Crews; CJ Abrams; Keibert Ruiz; José Tena; Nasim Nuñez; Jorbit Vivas; Andrés Chaparro,,False,,21,0.3103448275862069,soft,soft,-3.1475776414194065,1.6505590045433252,,"arsenal K% 19.4 (soft solo, -3.1 vs lg, +1.7 vs opp K%, opp K% 17.7; slate #21/29 soft)",0,0,,1,7,7.0,2026-04-23 A: 7.0IP 7K,1.0,7.0,26.0,2.0,2.0,5.0,.208,.727,26.923076923076923
20,Landen Roupp,694738,SF,R,SD,SF@SD,3:10 PM CT,2026-08-02T20:10:00Z,ok,prior:2026-08-01,5.1420634920634924,22,2.4444444444444446,season_avg,starter,23.650066794781388,26.70844783231398,4.298077228184196,4.81786542801824,2.128506011530325,9,9,1.0,22,,22,3.8005865952966995,0.6334310992161166,9.026393163829662,3.700018725376013,low,elev_bb,0.95,,3.3333333333333335,5.3999999999999995,5.555555555555556,3.0852380952380956,0.3,21.468926553672315,0.2990441790751388,8.474576271186441,recent,0.9584183568759053,neutral,0.998428813559322,1.0,neutral,1184,824,"665487,630105,592518,664034,701538,650859,593428,666023,687749",Fernando Tatis Jr.; Jake Cronenworth; Manny Machado; Ty France; Jackson Merrill; Luis Rengifo; Xander Bogaerts; Freddy Fermin; Jase Bowen,,False,,5,0.8620689655172413,elite,strong,1.150066794781388,2.1811402411090732,,"arsenal K% 23.7 (strong solo, +1.2 vs lg, +2.2 vs opp K%, opp K% 21.5; slate #5/29 elite)",3,9,3.0,5,14,2.8,2026-03-30 A: 6.0IP 7K; 2025-08-20 A: 2.1IP 2K; 2025-06-03 H: 6.1IP 5K; 2025-04-30 A: 4.1IP 4K; 2024-09-15 H: 5.0IP 4K; 2024-04-06 H: 1.0IP 0K; 2024-03-31 A: 1.0IP 1K; 2024-03-29 A: 1.0IP 0K,8.0,23.0,111.0,12.0,3.0,22.0,.222,.629,20.72072072072072
21,Merrill Kelly,518876,AZ,R,CLE,AZ@CLE,12:40 PM CT,2026-08-02T17:40:00Z,ok,official,5.581754385964913,24,2.6666666666666665,season_avg,starter,18.890807219522966,23.730159944465697,4.249918264956636,4.239003376429813,1.700172649757067,9,9,1.0,24,,24,3.4573172340075438,1.8109756940039516,5.844512467012753,4.9601265430701265,high,"high_hr,high_xfip,exit_hr",0.97,exit_hr,4.0,6.8936170212765955,5.222222222222222,4.27538633818589,0.3,18.413597733711047,0.239951168144149,8.78186968838527,recent,0.955783231458395,neutral,0.9956631728045325,1.0,neutral,1031,713,"680757,608070,800050,683953,700932,677587,672356,672275,690984",Steven Kwan; José Ramírez; Chase DeLauter; Travis Bazzana; Kyle Manzardo; Brayan Rocchio; Gabriel Arias; Patrick Bailey; Petey Halpin,,True,"K9 5.8, soft L3 4.0, elev_xFIP 4.96",24,0.20689655172413793,soft,soft,-3.6091927804770343,0.4772094858119189,FILLER,"soft-contact (K9 5.8, soft L3 4.0, elev_xFIP 4.96) + arsenal K% 18.9 (soft solo, -3.6 vs lg, +0.5 vs opp K%, opp K% 18.4; slate #24/29 soft) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",1,8,8.0,0,0,,2025-08-24 H: 7.0IP 8K,1.0,8.0,26.0,2.0,0.0,4.0,.167,.398,30.76923076923077
22,Kyle Bradish,680694,BAL,R,PHI,PHI@BAL,12:35 PM CT,2026-08-02T17:35:00Z,ok,official,5.338095238095238,23,2.5555555555555554,season_avg,starter,18.046197241418977,21.842497417840633,4.216582856452963,4.3078734684021915,1.624157751727708,9,9,1.0,23,,23,3.9661016949152543,0.9152542372881356,8.694915254237289,3.9743984615524948,low,elev_bb,0.95,,4.333333333333333,6.749999999999999,5.777777777777779,4.003571428571428,0.3,24.03560830860534,0.24919785879500847,8.011869436201781,recent,1.0153506732117068,neutral,1.0025931750741839,1.0,neutral,1151,807,"607208,656941,547180,664761,669016,592663,681082,702222,650559",Trea Turner; Kyle Schwarber; Bryce Harper; Alec Bohm; Brandon Marsh; J.T. Realmuto; Bryson Stott; Justin Crawford; Bryan De La Cruz,,False,,26,0.13793103448275862,soft,soft,-4.453802758581023,-5.989411067186364,,"arsenal K% 18.0 (soft solo, -4.5 vs lg, -6.0 vs opp K%, opp K% 24.0; slate #26/29 soft)",1,4,4.0,1,3,3.0,2024-06-14 H: 5.0IP 4K; 2023-07-26 A: 6.2IP 3K,2.0,7.0,46.0,3.0,3.0,10.0,.233,.771,15.217391304347826
23,Anthony Kay,641743,CWS,L,TB,CWS@TB,12:40 PM CT,2026-08-02T17:40:00Z,ok,official,4.684291666666667,21,2.3333333333333335,season_start_est,starter,17.356608770626096,19.510414291647262,4.121997394943253,3.6475776738391983,1.5620947893563484,9,9,1.0,21,,21,3.5594856506125097,1.2154341245993936,7.553054917153374,4.8042142799611565,high,"elev_bb,elev_hr,high_xfip,exit_xfip_bb",0.9215,exit_xfip_bb,5.333333333333333,10.046511627906977,4.777777777777778,5.228976744186046,0.3,21.62162162162162,0.2720503876734686,4.2042042042042045,recent,0.9750209354282409,aggressive,1.0327663663663664,1.0,low,509,1385,"650490,666018,691406,668723,802415,676356,810938,656775,663743",Yandy Díaz; Jonathan Aranda; Junior Caminero; Ryan Vilade; Chandler Simpson; Jonny DeLuca; Ben Williamson; Cedric Mullins; Nick Fortes,,False,,27,0.10344827586206896,soft,soft,-5.143391229373904,-4.265012850995525,,"arsenal K% 17.4 (soft solo, -5.1 vs lg, -4.3 vs opp K%, opp K% 21.6; slate #27/29 soft)",1,1,1.0,0,0,,2026-04-16 H: 2.2IP 1K,8.0,19.0,97.0,17.0,2.0,18.0,.237,.763,19.587628865979383
