rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Lake Bachar,669199,PIT,R,LAD,PIT@LAD,3:10 PM CT,2026-08-23T20:10:00Z,ok,official,5.7133,23,2.5555555555555554,season_start_est,swingman,25.94549280485534,27.993205467372132,6.6068920862260505,5.9588886946086435,2.3350943524369807,9,9,1.0,23,,23,3.488038643580938,1.5502393971470834,9.430622999311424,4.167810210209514,25.43554,71.510516,37.9888268,47.486033500000005,11.7647058,15.934066,whiff,"K% 25.4, Contact% 71.5, FB% 47.5, IFFB% 11.8",medium,"high_hr,short_recent_ip,exit_hr",0.9021,"short_recent_ip,exit_hr",3.0,12.789473684210527,2.111111111111111,8.118900000000002,0.3,23.18840579710145,0.22513889933483744,8.695652173913043,66.3768115942029,neutral,recent,1.0268022316880296,neutral,0.9964391304347826,1.0,neutral,649,512,"660271,518692,605141,571970,669242,663656,606192,677950,676439",Shohei Ohtani; Freddie Freeman; Mookie Betts; Max Muncy; Tommy Edman; Kyle Tucker; Teoscar Hernández; Alek Thomas; Hunter Feduccia,,32.114427261413745,94.57103658536585,FF,elite,True,"L3 K9 12.8, stuff whiff 32.1%",savant+statcast,False,,8,0.7666666666666667,strong,elite,3.4454928048553413,2.757087007753892,,"arsenal K% 25.9 (elite solo, +3.4 vs lg, +2.8 vs opp K%, opp K% 23.2; slate #8/30 strong); stuff whiff 32.1% (elite), FF 94.6 mph; pitcher style WHIFF (K% 25.4, Contact% 71.5, FB% 47.5, IFFB% 11.8); stuff ceiling (L3 K9 12.8, stuff whiff 32.1%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.6 (≥5.5); also swingman — fade full-outing chalk",0,trust,6.0,4.0,30.0,8.0,0.0,8.0,.364,1.078,13.333333333333334,3,2,0.6666666666666666,3,2,0.6666666666666666,2026-08-21 A: 1.0IP 1K; 2025-05-07 H: 0.1IP 1K; 2025-05-06 H: 0.2IP 0K; 2025-04-30 A: 1.0IP 0K; 2025-04-28 A: 1.0IP 1K; 2024-09-17 H: 1.0IP 1K
2,Blake Snell,605483,LAD,L,PIT,PIT@LAD,3:10 PM CT,2026-08-23T20:10:00Z,ok,official,4.9399999999999995,21,2.3333333333333335,season_shrunk,starter,29.748807008643603,30.903558035846103,6.525222924217789,6.498889891739699,2.6773926307779243,9,9,1.0,21,,21,3.6,0.0,12.0,2.623969087004662,31.746032000000003,67.692308,51.351351300000005,27.027026999999997,20.0,18.918919000000002,whiff,"K% 31.7, Contact% 67.7",low,elev_bb,0.95,,6.666666666666667,12.0,5.0,6.586666666666666,0.3,25.595238095238095,0.23729264511625275,6.845238095238095,65.77380952380952,whiff_prone,recent,1.0544625530066511,free_swing,1.0116380952380952,1.0,low,108,143,"693304,699013,668804,664040,804668,694377,687462,669707,695257",Nick Gonzales; Esmerlyn Valdez; Bryan Reynolds; Brandon Lowe; Rafael Flores Jr.; Nick Yorke; Spencer Horwitz; Jared Triolo; Billy Cook,statcast_fallback,35.086588577369284,96.19583333333334,FF,elite,True,"K9 12.0, L3 K9 12.0, stuff whiff 35.1%",statcast,False,,2,0.9666666666666667,elite,elite,7.2488070086436025,4.153568913405508,,"arsenal K% 29.7 (elite solo, +7.2 vs lg, +4.2 vs opp K%, opp K% 25.6; slate #2/30 elite); stuff whiff 35.1% (elite), FF 96.2 mph; pitcher style WHIFF (K% 31.7, Contact% 67.7); stuff ceiling (K9 12.0, L3 K9 12.0, stuff whiff 35.1%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.5 (≥5.5)",0,trust,6.0,32.0,125.0,21.0,2.0,25.0,.248,.753,25.6,1,4,4.0,3,21,7.0,2025-09-04 A: 5.0IP 6K; 2024-05-22 A: 3.1IP 5K; 2023-07-25 H: 6.0IP 4K; 2023-06-28 A: 6.0IP 10K
3,Shota Imanaga,684007,CHC,L,SEA,CHC@SEA,3:10 PM CT,2026-08-23T20:10:00Z,ok,official,5.38414550411985,22,2.4444444444444446,season_avg,starter,27.716801880144047,28.397650771111902,6.51395021385332,6.21262340496173,2.494512169212964,9,9,1.0,22,,22,2.009302396882608,1.8209302971748635,8.79069798636141,3.845840072179471,24.221453,72.491349,35.4271356,46.231155699999995,13.0434782,16.209476000000002,fly_popup,"FB% 46.2, IFFB% 13.0",medium,"high_hr,exit_hr",0.97,exit_hr,7.0,12.063829787234042,5.222222222222222,7.217046101267032,0.3,23.03370786516854,0.23278153553813655,10.955056179775282,63.20224719101124,whiff_prone,recent,1.0518383239806344,patient,0.95,0.9681393258426967,elevated,604,1652,"668227,686527,677594,663728,647304,642215,702284,645302,660844",Randy Arozarena; Dominic Canzone; Julio Rodríguez; Cal Raleigh; Josh Naylor; Weston Wilson; Cole Young; Victor Robles; Leo Rivas,,28.57948837209302,91.61354838709678,FF,strong,True,"L3 K9 12.1, stuff whiff 28.6%",savant,False,,4,0.9,elite,elite,5.216801880144047,4.683094014975506,THIN_TOTAL,"arsenal K% 27.7 (elite solo, +5.2 vs lg, +4.7 vs opp K%, opp K% 23.0; slate #4/30 elite); stuff whiff 28.6% (strong), FF 91.6 mph; pitcher style FLY/popup (FB% 46.2, IFFB% 13.0); stuff ceiling (L3 K9 12.1, stuff whiff 28.6%); THIN total — Exp K 6.5 with STYLE FLY (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",1,thin,1.0,4.0,24.0,2.0,0.0,5.0,.227,.565,16.666666666666668,0,0,,1,4,4.0,2024-04-13 A: 5.1IP 4K
4,Cal Quantrill,615698,TEX,R,LAA,LAA@TEX,1:35 PM CT,2026-08-23T18:35:00Z,ok,official,6.566666666666667,27,3.0,season_start_est,swingman,20.441373182519,24.583434204531166,6.193979903430405,6.034257004900579,1.83972358642671,9,9,1.0,27,,27,2.549356306652554,1.0429184890851357,6.257510934510814,4.7805468877461195,16.718266,84.146341,39.1666666,43.75,15.238095199999998,15.352697000000001,fly_popup,"FB% 43.8, IFFB% 15.2",low,elev_xfip,1.0,,5.666666666666667,9.0,5.666666666666667,6.566666666666667,0.3,27.526132404181183,0.23502909407748387,5.574912891986063,64.11149825783973,whiff_prone,recent,1.07,free_swing,1.0218006968641116,1.0,low,710,505,"687263,545361,694208,687093,666139,672569,642350,695681,623168",Zach Neto; Mike Trout; Moisés Ballesteros; Vaughn Grissom; Josh Lowe; Gustavo Campero; Jose Siri; Christian Moore; Tyler Heineman,,19.12239448751077,88.45750000000001,FC,soft,False,,savant,True,"K9 6.3, elev_xFIP 4.78",23,0.26666666666666666,soft,avg,-2.0586268174809987,-7.084759221662182,FILLER,"soft-contact (K9 6.3, elev_xFIP 4.78) + arsenal K% 20.4 (avg solo, -2.1 vs lg, -7.1 vs opp K%, opp K% 27.5; slate #23/30 soft); stuff whiff 19.1% (soft), FC 88.5 mph; pitcher style FLY/popup (FB% 43.8, IFFB% 15.2) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; fly/popup out-getter — BIP outs over Ks; same under cue as GB style; also swingman — fade full-outing chalk",1,,10.0,39.0,204.0,16.0,2.0,45.0,.247,.644,19.11764705882353,2,8,4.0,5,18,3.6,2026-08-23 H: 5.0IP 6K; 2026-08-12 A: 5.0IP 6K; 2026-05-22 A: 3.0IP 0K; 2025-05-24 A: 3.1IP 2K; 2024-07-30 A: 3.2IP 4K; 2023-09-07 A: 6.0IP 6K; 2023-05-13 H: 6.0IP 2K
5,Foster Griffin,656492,CLE,L,COL,CLE@COL,2:10 PM CT,2026-08-23T19:10:00Z,ok,official,5.310513439521609,22,2.4444444444444446,season_avg,starter,28.885407548422513,28.356681108856584,5.948358401038282,6.521185570984618,2.599686679358026,9,9,1.0,22,,22,2.1824481138603127,1.4341801891082055,8.168591511877171,3.775258892405359,22.241087,78.890877,43.902439,37.5609756,7.7922077000000005,13.975904,balanced,,low,"elev_hr,short_recent_ip",0.96,short_recent_ip,3.6666666666666665,7.815789473684211,4.222222222222222,4.611761671163502,0.3,24.02826855123675,0.22163138281443098,9.540636042402827,63.957597173144876,whiff_prone,recent,1.0582705995260742,neutral,0.9888342756183746,0.985112367491166,elevated,611,1715,"664983,694249,650489,666160,681393,687597,664954,690022,678662",Jake McCarthy; Cole Carrigg; Willi Castro; Mickey Moniak; Connor Norby; Jordan Beck; Brett Sullivan; Ryan Ritter; Ezequiel Tovar,,23.817753568883592,88.34966622162884,FC,avg,False,,savant+statcast,False,,3,0.9333333333333333,elite,elite,6.3854075484225135,4.857138997185764,,"arsenal K% 28.9 (elite solo, +6.4 vs lg, +4.9 vs opp K%, opp K% 24.0; slate #3/30 elite); stuff whiff 23.8% (avg), FC 88.3 mph; total caution — Exp K 5.9 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,,,,,,,,,,0,0,,1,2,2.0,2026-08-23 A: 1.2IP 2K
6,Shane Drohan,675660,MIL,L,ATL,ATL@MIL,6:10 PM CT,2026-08-23T23:10:00Z,ok,prior:2026-08-22,6.3809523809523805,27,3.0,season_start_est,starter,21.153794204299274,23.74269242155413,5.9082136009572555,5.761421345807325,1.9038414783869348,9,9,1.0,27,,27,2.9601330404254007,0.8073090110251093,8.880399121276202,3.8743782820183434,23.515439,75.700935,40.0,40.0,8.035714200000001,13.986013999999999,balanced,,clear,,1.0,,5.333333333333333,8.816326530612246,5.444444444444444,6.250728862973761,0.3,22.796352583586625,0.21473068175195834,6.382978723404255,69.90881458966565,neutral,recent,0.9934997003826791,aggressive,1.015336170212766,1.0,low,458,1121,"686948,660670,621566,671739,645277,643289,573262,663586,805347",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Michael Harris II; Ozzie Albies; Mauricio Dubón; Mike Yastrzemski; Austin Riley; Jim Jarvis,,26.813077963922343,94.89694989106754,FF,strong,False,,savant+statcast,False,,20,0.36666666666666664,soft,avg,-1.346205795700726,-1.642558379287351,,"arsenal K% 21.2 (avg solo, -1.3 vs lg, -1.6 vs opp K%, opp K% 22.8; slate #20/30 soft); stuff whiff 26.8% (strong), FF 94.9 mph",0,,,,,,,,,,,0,0,,0,0,,
7,Jake Bennett,687562,BOS,L,SF,SF@BOS,2:15 PM CT,2026-08-23T19:15:00Z,ok,official,5.3759999999999994,22,2.4444444444444446,season_avg,starter,26.62285935641809,25.82830400981997,5.6667400855849825,5.9126061373018555,2.396057342077628,9,9,1.0,22,,22,1.8966942746720203,0.6694215087077718,6.805785338529014,3.8705324380491137,18.885449,78.020134,45.0643776,35.6223175,10.8433734,16.115702000000002,balanced,,clear,short_recent_ip,0.96,short_recent_ip,4.0,8.526315789473685,4.222222222222222,5.0930526315789475,0.3,24.58471760797342,0.22668885453912616,7.641196013289036,67.10963455149502,neutral,recent,1.0344806102854842,neutral,1.0059292358803986,1.0,neutral,300,849,"678545,646240,642715,805811,682674,808982,668800,813841,683766",Osleivis Basabe; Rafael Devers; Willy Adames; Bryce Eldridge; Victor Bericoto; Jung Hoo Lee; Andrew Knizner; Jonah Cox; Christian Koss,,23.305773615882764,93.0,FF,avg,False,,savant+statcast,True,"K9 6.8, soft L3 4.0",7,0.8,elite,elite,4.12285935641809,2.0381417484446693,MATCHUP_OK,"soft-contact profile (K9 6.8, soft L3 4.0) but arsenal K% 26.6 (elite solo, +4.1 vs lg, +2.0 vs opp K%, opp K% 24.6; slate #7/30 elite); stuff whiff 23.3% (avg), FF 93.0 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,caution,,,,,,,,,,1,1,1.0,0,0,,2026-08-23 H: 3.1IP 1K
8,Bryce Miller,682243,SEA,R,CHC,CHC@SEA,3:10 PM CT,2026-08-23T20:10:00Z,ok,official,5.733777777777778,22,2.4444444444444446,season_start_est,starter,24.635675758310338,25.587709296308823,5.263702215020759,5.480510763099565,2.2172108182479304,9,9,1.0,22,,22,1.8066915010556217,1.5055762508796848,8.732342255102171,3.684499269943621,24.576271,78.058511,38.2113821,45.9349593,9.7345132,14.516129,whiff,K% 24.6,medium,"high_hr,exit_hr",0.97,exit_hr,4.333333333333333,7.468085106382978,5.222222222222222,4.75781560283688,0.3,23.398328690807798,0.23422965182063016,7.7994428969359335,66.85236768802228,neutral,recent,1.0224537291061238,neutral,1.0045050139275766,1.0,neutral,768,592,"691718,673548,683737,608324,664023,663538,699393,624424,608348",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Nico Hoerner; Pedro Ramírez; Michael Conforto; Carson Kelly,,25.444179099447265,96.05018050541517,FF,avg,False,,savant+statcast,False,,9,0.7333333333333333,strong,elite,2.135675758310338,1.2373470675025402,,"arsenal K% 24.6 (elite solo, +2.1 vs lg, +1.2 vs opp K%, opp K% 23.4; slate #9/30 strong); stuff whiff 25.4% (avg), FF 96.1 mph; pitcher style WHIFF (K% 24.6); K-first arm — confirms overs / SPIKE caution on soft unders",0,,1.0,4.0,25.0,3.0,0.0,3.0,.136,.422,16.0,1,4,4.0,0,0,,2024-04-12 H: 6.1IP 4K
9,Cristopher Sánchez,650911,PHI,L,STL,STL@PHI,12:35 PM CT,2026-08-23T17:35:00Z,ok,official,6.234567901234568,26,2.888888888888889,season_avg,starter,18.16486667313666,25.45295702660946,5.242509270962584,4.626487167134758,1.6348380005822996,9,9,1.0,26,,26,2.1154640506367826,0.7237113857441624,10.410309933396798,2.5772530241671947,27.786033,69.600652,57.5963718,24.4897959,9.2592592,15.349887,whiff,"K% 27.8, Contact% 69.6",clear,,1.0,,6.666666666666667,9.642857142857142,6.222222222222222,6.6798941798941796,0.3,21.348314606741575,0.23798455544539693,8.426966292134832,66.57303370786516,neutral,recent,1.0025038611386508,neutral,0.9988573033707865,1.0,neutral,539,1940,"802139,671056,691023,676475,695491,691458,665877,602104,686780",JJ Wetherholt; Iván Herrera; Jordan Walker; Alec Burleson; Joshua Báez; Blaze Jordan; José Fermín; Ramón Urías; Pedro Pagés,,31.668132311415896,95.07564814814816,SI,elite,True,"K9 10.4, stuff whiff 31.7%",savant,False,,28,0.1,soft,soft,-4.335133326863339,-3.1834479336049135,SPIKE,"arsenal K% 18.2 (soft solo, -4.3 vs lg, -3.2 vs opp K%, opp K% 21.3; slate #28/30 soft); stuff whiff 31.7% (elite), SI 95.1 mph; pitcher style WHIFF (K% 27.8, Contact% 69.6); SPIKE (K9 10.4, stuff whiff 31.7%) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",0,,5.0,25.0,107.0,6.0,3.0,23.0,.230,.640,23.364485981308412,3,21,7.0,2,10,5.0,2026-08-23 H: 6.2IP 7K; 2026-08-11 A: 6.0IP 7K; 2025-05-12 H: 6.0IP 8K; 2025-04-12 A: 6.1IP 3K; 2023-08-25 H: 6.0IP 6K
10,Sean Newcomb,656794,CWS,L,NYM,NYM@CWS,1:10 PM CT,2026-08-23T18:10:00Z,ok,official,6.19856802962963,25,2.7777777777777777,season_shrunk,swingman,19.780294304940725,18.629424689667093,5.1275851037147016,4.834625493401954,1.7802264874446652,9,9,1.0,25,,25,3.4714292808456313,0.257142909692269,8.228573110152608,3.8998583402739238,22.614841,78.00829900000001,47.5138121,31.4917127,12.2807017,15.591398000000002,balanced,,low,short_recent_ip,0.93,short_recent_ip,1.6666666666666667,8.4375,1.7777777777777777,5.8111575277777785,0.3,21.604938271604937,0.24781121807991907,8.950617283950617,69.1358024691358,neutral,recent,0.9796768251096499,neutral,0.9941444444444445,0.994795061728395,mild,427,671,"596019,666182,701807,673357,676572,666624,543760,805999,620443",Francisco Lindor; Bo Bichette; Carson Benge; Luis Robert Jr.; Eric Wagaman; Christopher Morel; Marcus Semien; A.J. Ewing; Luis Torrens,,25.779162609542357,94.64292682926829,FF,avg,False,,savant,False,,25,0.2,soft,soft,-2.7197056950592753,-1.8246439666642118,,"arsenal K% 19.8 (soft solo, -2.7 vs lg, -1.8 vs opp K%, opp K% 21.6; slate #25/30 soft); stuff whiff 25.8% (avg), FF 94.6 mph; weak under — only 0/2 confirms (none); need 2 more of GB/FLY · contact-heavy · Exp K ≤4.2 (or take U6.5+ / pass); also swingman — fade full-outing chalk",0,,20.0,56.0,234.0,24.0,4.0,45.0,.224,.668,23.931623931623932,2,3,1.5,0,0,,2026-08-23 H: 2.0IP 3K; 2025-05-21 H: 2.0IP 0K
