batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Luke Maile,571912,8,R,KC,Taj Bradley,MIN,R,KC@MIN,6:40 PM CT,prior:2026-07-26,0.3333333333333333,vs_rhp,11.1,22.2,0.234,0.175,72.08333333333333,72.08333333333333,True,60.398099750560924,1
Yordan Alvarez,670541,2,L,HOU,Reid Detmers,LAA,L,HOU@LAA,8:38 PM CT,prior:2026-07-27,0.27450980392156865,vs_lhp,18.6,53.4,0.473,0.335,69.03098039215686,73.10299019607845,False,14.048690987124466,2
James Wood,695578,1,L,WSH,Shane Bieber,TOR,R,TOR@WSH,5:45 PM CT,prior:2026-07-27,0.27692307692307694,vs_rhp,22.0,58.6,0.425,0.278,68.55730769230769,71.91865384615384,False,20.186906640207766,3
Esmerlyn Valdez,699013,4,R,PIT,Brandon Pfaadt,AZ,R,AZ@PIT,5:40 PM CT,prior:2026-07-27,0.26582278481012656,vs_rhp,28.2,54.9,0.378,0.23,66.59321598101266,69.91020174050632,False,41.20897174711561,4
Tommy Edman,669242,6,S,LAD,Luis Castillo,SEA,R,SEA@LAD,9:10 PM CT,prior:2026-07-26,0.36231884057971014,vs_rhp,7.6,40.5,0.372,0.317,65.42532155797102,61.04750452898551,False,18.506587383660808,5
Alec Burleson,676475,4,L,STL,Colin Rea,CHC,R,CHC@STL,6:45 PM CT,prior:2026-07-27,0.32971014492753625,vs_rhp,11.2,48.4,0.381,0.298,65.34288949275363,63.49113224637681,False,18.368828341337167,6
Shohei Ohtani,660271,1,L,LAD,Luis Castillo,SEA,R,SEA@LAD,9:10 PM CT,prior:2026-07-26,0.284,vs_rhp,16.4,53.5,0.405,0.289,65.0284375,66.76406250000001,False,23.56113915977841,7
Riley Greene,682985,4,L,DET,Dean Kremer,BAL,R,BAL@DET,5:40 PM CT,prior:2026-07-27,0.3068181818181818,vs_rhp,15.6,51.1,0.372,0.266,64.53713068181818,64.1205965909091,False,33.10218351516286,8
Wilyer Abreu,677800,4,L,BOS,Gage Jump,ATH,L,BOS@ATH,8:40 PM CT,prior:2026-07-27,0.3504273504273504,vs_lhp,12.4,42.3,0.341,0.254,64.06617254273505,59.910430021367524,False,22.892289808956477,9
Drake Baldwin,686948,2,L,ATL,Christian Scott,NYM,R,ATL@NYM,6:10 PM CT,prior:2026-07-27,0.29473684210526313,vs_rhp,14.8,51.2,0.385,0.281,63.86680921052631,64.31121710526315,False,18.599961467887827,10
Griffin Conine,665052,6,L,MIA,Aaron Nola,PHI,R,PHI@MIA,5:40 PM CT,prior:2026-07-27,0.28888888888888886,vs_rhp,15.3,55.6,0.375,0.273,63.78263888888888,64.59319444444444,False,25.587088617149757,11
Freddie Freeman,518692,3,L,LAD,Luis Castillo,SEA,R,SEA@LAD,9:10 PM CT,prior:2026-07-26,0.32706766917293234,vs_rhp,10.0,43.6,0.383,0.298,63.637391917293236,61.51525845864661,False,16.679241500116074,12
Michael Harris II,671739,5,L,ATL,Christian Scott,NYM,R,ATL@NYM,6:10 PM CT,prior:2026-07-27,0.3054393305439331,vs_rhp,12.1,50.0,0.357,0.296,62.638933054393306,61.80446652719665,False,15.887908263586048,13
Munetaka Murakami,808959,2,L,CWS,Gerrit Cole,NYY,R,NYY@CWS,6:40 PM CT,prior:2026-07-27,0.2573099415204678,vs_rhp,20.1,59.7,0.377,0.223,62.573181652046785,65.38580957602339,False,30.25690696923574,14
Gabriel Moreno,672515,3,R,AZ,Bubba Chandler,PIT,R,AZ@PIT,5:40 PM CT,prior:2026-07-27,0.32038834951456313,vs_rhp,7.7,42.6,0.38,0.302,61.64383495145631,59.47441747572816,False,15.218205280760394,15
Willson Contreras,575929,3,R,BOS,Gage Jump,ATH,L,BOS@ATH,8:40 PM CT,prior:2026-07-27,0.2840909090909091,vs_lhp,14.3,46.3,0.387,0.267,61.328153409090916,61.85298295454545,False,25.165107821558554,16
Tyler Locklear,682988,6,R,AZ,Bubba Chandler,PIT,R,AZ@PIT,5:40 PM CT,prior:2026-07-27,0.3,vs_rhp,15.0,35.0,0.385,0.281,61.3,60.5975,False,14.589933774834435,17
Jordan Walker,691023,2,R,STL,Colin Rea,CHC,R,CHC@STL,6:45 PM CT,prior:2026-07-27,0.28187919463087246,vs_rhp,13.9,50.0,0.365,0.282,61.12416946308725,61.70520973154362,False,26.364138765998085,18
Elly De La Cruz,682829,1,S,CIN,Gavin Williams,CLE,R,CLE@CIN,6:10 PM CT,prior:2026-07-26,0.26229508196721313,vs_rhp,14.8,52.7,0.372,0.28,60.36482069672131,62.29444159836066,False,33.039975600326166,19
Elly De La Cruz,682829,1,S,CIN,Slade Cecconi,CLE,R,CLE@CIN,12:40 PM CT,official,0.26229508196721313,vs_rhp,14.8,52.7,0.372,0.28,60.36482069672131,62.29444159836066,False,25.192402419427438,20
CJ Abrams,682928,4,L,WSH,Shane Bieber,TOR,R,TOR@WSH,5:45 PM CT,prior:2026-07-27,0.30798479087452474,vs_rhp,11.4,42.8,0.354,0.263,60.192229087452475,58.35048954372623,False,16.651124702972318,21
Ben Rice,700250,2,L,NYY,Anthony Kay,CWS,L,NYY@CWS,6:40 PM CT,prior:2026-07-27,0.2647058823529412,vs_lhp,15.6,48.0,0.379,0.273,60.174963235294115,61.87341911764706,False,24.07456619501242,22
Dillon Dingler,693307,2,R,DET,Dean Kremer,BAL,R,BAL@DET,5:40 PM CT,prior:2026-07-27,0.2857142857142857,vs_rhp,11.1,45.9,0.379,0.289,60.09674107142857,60.167901785714285,False,16.17568718697751,23
Ronald Acuña Jr.,660670,1,R,ATL,Christian Scott,NYM,R,ATL@NYM,6:10 PM CT,prior:2026-07-27,0.2868217054263566,vs_rhp,12.9,43.5,0.376,0.254,59.60435804263566,59.33389777131784,False,21.314202389852515,24
Byron Buxton,621439,2,R,MIN,Seth Lugo,KC,R,KC@MIN,6:40 PM CT,prior:2026-07-26,0.2669491525423729,vs_rhp,17.7,47.7,0.349,0.251,59.58210275423729,60.73277012711865,False,22.257935136248474,25
Luis García Jr.,671277,2,L,WSH,Shane Bieber,TOR,R,TOR@WSH,5:45 PM CT,prior:2026-07-27,0.2902097902097902,vs_rhp,11.4,45.4,0.354,0.289,59.57660402097902,59.02986451048951,False,13.535261451928118,26
Bryce Harper,547180,3,L,PHI,Sandy Alcantara,MIA,R,PHI@MIA,5:40 PM CT,prior:2026-07-27,0.2826086956521739,vs_rhp,11.5,44.8,0.383,0.27,59.44961956521739,59.544184782608696,False,18.248276327102392,27
Paul Goldschmidt,502671,3,R,NYY,Anthony Kay,CWS,L,NYY@CWS,6:40 PM CT,prior:2026-07-27,0.336283185840708,vs_lhp,11.4,37.3,0.31,0.232,59.37675608407079,54.7857217920354,False,22.959966091699837,28
Fernando Tatis Jr.,665487,1,R,SD,Michael Lorenzen,COL,R,COL@SD,8:40 PM CT,prior:2026-07-26,0.27492447129909364,vs_rhp,10.8,53.7,0.354,0.285,59.29338462990937,59.85528606495468,False,19.76521649626021,29
Garrett Mitchell,669003,7,L,MIL,Landen Roupp,SF,R,MIL@SF,8:45 PM CT,prior:2026-07-27,0.27391304347826084,vs_rhp,14.1,49.5,0.352,0.26,59.24724184782608,59.79471467391304,False,28.069086830946635,30
Ryan Jeffers,680777,3,R,MIN,Seth Lugo,KC,R,KC@MIN,6:40 PM CT,prior:2026-07-26,0.2828282828282828,vs_rhp,13.3,41.4,0.373,0.26,59.01220328282828,58.88953914141415,False,23.829708496703333,31
Jake Bauers,641343,5,L,MIL,Landen Roupp,SF,R,MIL@SF,8:45 PM CT,prior:2026-07-27,0.2674897119341564,vs_rhp,13.3,53.3,0.357,0.252,58.97115869341564,59.944798096707814,False,28.44732785999173,32
Pete Alonso,624413,2,R,BAL,Troy Melton,DET,R,BAL@DET,5:40 PM CT,prior:2026-07-27,0.254416961130742,vs_rhp,12.3,55.1,0.378,0.273,58.915133613074204,61.05741055653711,False,23.07754799867603,33
Jac Caglianone,695506,4,L,KC,Taj Bradley,MIN,R,KC@MIN,6:40 PM CT,prior:2026-07-26,0.256198347107438,vs_rhp,14.5,55.2,0.348,0.265,58.752959710743795,60.54679235537189,False,30.944657984136697,34
Matt Olson,621566,3,L,ATL,Christian Scott,NYM,R,ATL@NYM,6:10 PM CT,prior:2026-07-27,0.26406926406926406,vs_rhp,14.2,50.3,0.359,0.248,58.45286390692641,59.54502570346321,False,21.89689174657294,35
Mike Trout,545361,2,R,LAA,Peter Lambert,HOU,R,HOU@LAA,8:38 PM CT,prior:2026-07-27,0.2288135593220339,vs_rhp,18.2,47.7,0.402,0.261,58.4122934322034,62.4997404661017,False,29.249666964096214,36
Bryce Eldridge,805811,3,L,SF,Logan Henderson,MIL,R,MIL@SF,8:45 PM CT,prior:2026-07-27,0.25748502994011974,vs_rhp,12.8,53.8,0.365,0.256,58.25350299401197,59.85675149700598,False,22.653760238272532,37
Otto Lopez,672640,1,R,MIA,Aaron Nola,PHI,R,PHI@MIA,5:40 PM CT,prior:2026-07-27,0.31210191082802546,vs_rhp,6.7,42.0,0.333,0.287,57.93144108280255,55.091345541401274,False,9.57933712734429,38
Brandon Nimmo,607043,4,L,TEX,Griffin Jax,TB,R,TEX@TB,5:40 PM CT,prior:2026-07-27,0.25,vs_rhp,11.9,51.7,0.371,0.29,57.752187500000005,59.925312500000004,False,24.703727947644705,39
Brandon Marsh,669016,4,L,PHI,Sandy Alcantara,MIA,R,PHI@MIA,5:40 PM CT,prior:2026-07-27,0.30337078651685395,vs_rhp,9.3,45.7,0.314,0.263,57.6661411516854,55.2794768258427,False,22.802895794206417,40
Jeremy Peña,665161,1,R,HOU,Reid Detmers,LAA,L,HOU@LAA,8:38 PM CT,prior:2026-07-27,0.30434782608695654,vs_lhp,5.2,39.8,0.357,0.304,57.40103260869566,55.17864130434783,False,22.108383865173977,41
Cooper Pratt,806198,8,R,MIL,Landen Roupp,SF,R,MIL@SF,8:45 PM CT,prior:2026-07-27,0.32894736842105265,vs_rhp,4.7,32.9,0.344,0.287,57.30879934210527,53.01830592105263,False,4.756015935672513,42
Ty France,664034,4,R,SD,Michael Lorenzen,COL,R,COL@SD,8:40 PM CT,prior:2026-07-26,0.2727272727272727,vs_rhp,11.8,50.3,0.334,0.253,57.27303977272727,57.24605113636363,False,22.537283283766044,43
Joc Pederson,592626,1,L,TEX,Griffin Jax,TB,R,TEX@TB,5:40 PM CT,prior:2026-07-27,0.2637795275590551,vs_rhp,11.4,49.3,0.359,0.263,57.25451525590551,58.06991387795276,False,18.89375324337798,44
Kyle Schwarber,656941,2,L,PHI,Sandy Alcantara,MIA,R,PHI@MIA,5:40 PM CT,prior:2026-07-27,0.22746781115879827,vs_rhp,17.8,52.2,0.368,0.24,57.06490611587982,60.65526555793991,False,33.5874614677638,45
Brice Turang,668930,3,L,MIL,Landen Roupp,SF,R,MIL@SF,8:45 PM CT,prior:2026-07-27,0.29285714285714287,vs_rhp,8.5,43.1,0.348,0.256,56.92415178571429,55.28941964285714,False,22.710614361884126,46
Curtis Mead,678554,2,R,BOS,Gage Jump,ATH,L,BOS@ATH,8:40 PM CT,prior:2026-07-27,0.2764227642276423,vs_lhp,10.8,42.3,0.358,0.259,56.71133892276423,56.36207571138211,False,18.435407544454723,47
Tyrone Taylor,621438,7,R,NYM,Chris Sale,ATL,L,ATL@NYM,6:10 PM CT,prior:2026-07-27,0.3142857142857143,vs_lhp,10.6,36.3,0.307,0.236,56.573258928571434,52.90709821428572,False,19.513729318888053,48
Nick Gonzales,693304,6,R,PIT,Brandon Pfaadt,AZ,R,AZ@PIT,5:40 PM CT,prior:2026-07-27,0.3295880149812734,vs_rhp,3.2,37.0,0.324,0.282,56.52067649812734,51.84752574906367,False,15.912687797075234,49
