rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Justin Wrobleski,680736,LAD,L,CIN,LAD@CIN,11:40 AM CT,2026-09-17T16:40:00Z,ok,official,5.958095238095238,25,2.7777777777777777,season_start_est,starter,27.09441844382106,27.655643750732157,7.246618567255354,7.246741361936771,2.4384976599438954,9,9,1.0,25,,25,2.0925000798225435,1.4175000540733358,7.492500285816203,4.133301580050871,20.108696000000002,81.576355,40.25,41.75,7.1856287000000005,12.098765,balanced,,low,"elev_hr,short_recent_ip",0.96,short_recent_ip,5.0,10.945945945945946,4.111111111111112,7.246332046332046,0.3,25.233644859813083,0.2763577195551435,7.4766355140186915,65.42056074766356,whiff_prone,recent,1.0440787944102794,neutral,1.0074102803738318,1.0,neutral,541,1493,"667472,682829,701398,663886,682877,680574,699302,663647,670770",Dane Myers; Elly De La Cruz; Sal Stewart; Tyler Stephenson; Juan Brito; Matt McLain; Héctor Rodríguez; Ke'Bryan Hayes; TJ Friedl,21.261427726286733,94.5828855721393,FF,soft,True,L3 K9 10.9,savant+statcast,False,,2,0.9411764705882353,elite,elite,4.594418443821059,1.8607735840079762,,"arsenal K% 27.1 (elite solo, +4.6 vs lg, +1.9 vs opp K%, opp K% 25.2; slate #2/17 elite); stuff whiff 21.3% (soft), FF 94.6 mph; stuff ceiling (L3 K9 10.9); total caution — Exp K 7.2 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,1.0,2.0,7.0,1.0,0.0,3.0,.500,1.071,28.571428571428573,1,2,2.0,0,0,,2025-08-27 H: 1.0IP 2K
2,Tanner Gordon,685299,COL,R,SD,SD@COL,2:10 PM CT,2026-09-17T19:10:00Z,ok,prior:2026-09-16,6.5184,28,3.111111111111111,season_start_est,swingman,25.685847710597713,26.862449352563974,6.381357843530518,6.663308417587151,2.3117262939537944,9,9,1.0,28,,28,1.6643835833873957,1.6643835833873957,7.48972612524328,4.391766813631081,18.925234,80.572852,34.1614906,46.8944099,8.6092715,10.091743000000001,balanced,,medium,"high_hr,elev_xfip,short_recent_ip,exit_hr",0.9311999999999999,"short_recent_ip,exit_hr",4.0,7.902439024390243,4.555555555555556,5.723473170731706,0.3,17.37891737891738,0.29659475357156473,8.262108262108262,72.93447293447294,contact_heavy,recent,0.9299999999999999,neutral,1.0003410256410257,1.0,neutral,870,640,"665487,687957,592518,664034,701538,593428,630105,669392,806956",Fernando Tatis Jr.; Dustin Harris; Manny Machado; Ty France; Jackson Merrill; Xander Bogaerts; Jake Cronenworth; Samad Taylor; Ethan Salas,22.333266143546183,92.74239130434783,FF,avg,False,,savant+statcast,False,,3,0.8823529411764706,elite,elite,3.185847710597713,8.306930331680334,,"arsenal K% 25.7 (elite solo, +3.2 vs lg, +8.3 vs opp K%, opp K% 17.4; slate #3/17 elite); stuff whiff 22.3% (avg), FF 92.7 mph; total caution — Exp K 6.4 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5; also swingman — fade full-outing chalk",1,caution,3.0,18.0,59.0,3.0,4.0,9.0,.164,.607,30.508474576271187,1,5,5.0,2,13,6.5,2025-09-12 A: 6.0IP 9K; 2025-09-07 H: 3.2IP 5K; 2024-08-03 A: 6.0IP 4K
3,Erick Fedde,607200,CWS,R,DET,DET@CWS,6:40 PM CT,2026-09-17T23:40:00Z,ok,prior:2026-09-16,6.5740177337278105,28,3.111111111111111,season_start_est,swingman,22.1591616601293,21.843184424957386,6.0745028472421,6.423912273067751,1.994324549411637,9,9,1.0,28,,28,3.231920445462306,1.5486285467840215,6.127182511188955,4.857023938014271,15.909091,82.463466,38.317757,40.8878504,7.4285714,15.420561,balanced,,high,"high_hr,high_xfip,exit_hr",0.97,exit_hr,4.0,7.2,5.0,5.259214186982248,0.3,26.035502958579883,0.25395463837902077,11.834319526627219,60.05917159763314,whiff_prone,recent,1.07,three_true,0.9805612426035503,0.968191124260355,elevated,1275,985,"805808,701678,690993,682985,693307,703601,679529,814430,807726",Kevin McGonigle; Hao-Yu Lee; Colt Keith; Riley Greene; Dillon Dingler; Max Clark; Spencer Torkelson; Brett Callahan; John Peck,18.22586129753915,93.97932551319647,SI,soft,False,,savant,True,"K9 6.1, soft L3 4.0, elev_xFIP 4.86",6,0.7058823529411765,strong,avg,-0.3408383398707002,-3.8763412984505834,FILLER,"soft-contact (K9 6.1, soft L3 4.0, elev_xFIP 4.86) + arsenal K% 22.2 (avg solo, -0.3 vs lg, -3.9 vs opp K%, opp K% 26.0; slate #6/17 strong); stuff whiff 18.2% (soft), SI 94.0 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; also swingman — fade full-outing chalk",0,,5.0,19.0,104.0,6.0,6.0,23.0,.235,.738,18.26923076923077,3,12,4.0,2,7,3.5,2026-06-19 A: 4.2IP 4K; 2026-05-29 H: 4.0IP 3K; 2025-05-20 H: 5.0IP 2K; 2024-06-21 A: 7.0IP 3K; 2024-03-31 H: 4.2IP 7K
4,Taj Bradley,671737,MIN,R,LAA,MIN@LAA,8:38 PM CT,2026-09-18T01:38:00Z,ok,prior:2026-09-16,5.3392436270753505,22,2.4444444444444446,season_avg,starter,23.9166977187335,24.611448762257005,5.734015234825581,5.52182852192744,2.152502794686015,9,9,1.0,22,,22,3.919354959283489,1.2520161675488923,10.342742253664763,3.8946426900782924,27.259684,76.255708,34.965034900000006,43.8228438,10.6382978,12.064964999999999,whiff,K% 27.3,medium,"elev_bb,elev_hr",0.95,,7.0,10.5,6.0,6.229117564921243,0.3,25.617283950617285,0.2489291320728672,9.876543209876543,60.49382716049383,whiff_prone,recent,1.07,three_true,0.991329012345679,0.9858111111111111,elevated,1667,1128,"687263,545361,685133,687093,694208,694203,666139,695681,624428",Zach Neto; Mike Trout; Wade Meckler; Vaughn Grissom; Moisés Ballesteros; Denzer Guzman; Josh Lowe; Christian Moore; Adam Frazier,27.2704114490161,97.15275650842267,FF,strong,True,"K9 10.3, L3 K9 10.5, stuff whiff 27.3% + FB 97.2",savant,False,,4,0.8235294117647058,elite,strong,1.4166977187334986,-1.7005862318837863,,"arsenal K% 23.9 (strong solo, +1.4 vs lg, -1.7 vs opp K%, opp K% 25.6; slate #4/17 elite); stuff whiff 27.3% (strong), FF 97.2 mph; pitcher style WHIFF (K% 27.3); stuff ceiling (K9 10.3, L3 K9 10.5, stuff whiff 27.3% + FB 97.2); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.7 (≥5.5)",0,trust,3.0,17.0,71.0,5.0,4.0,13.0,.197,.663,23.943661971830984,2,12,6.0,1,5,5.0,2026-07-12 H: 7.0IP 6K; 2025-09-10 A: 6.1IP 5K; 2023-09-19 H: 5.0IP 6K
5,Kyle Harrison,690986,MIL,L,PIT,MIL@PIT,11:35 AM CT,2026-09-17T16:35:00Z,ok,official,4.625072463768116,19,2.111111111111111,season_start_est,starter,32.412356324597724,34.88225752202,5.505315961050264,5.936135442091278,2.917112069213795,9,9,1.0,19,,19,2.6837350014315455,1.626506061473664,10.897590611873548,3.315635430605419,28.210526,74.217119,35.5481727,39.8671096,8.3333333,13.486842,whiff,"K% 28.2, Contact% 74.2",medium,"high_hr,exit_hr",0.97,exit_hr,4.0,8.756756756756758,4.111111111111111,4.500070505287897,0.3,20.121951219512194,0.27861089574321357,7.012195121951219,70.42682926829268,neutral,recent,0.9447863004544406,neutral,1.0115902439024391,1.0,neutral,548,1445,"804606,665833,668804,804668,664040,693304,682927,669707,680779",Konnor Griffin; Oneil Cruz; Bryan Reynolds; Rafael Flores Jr.; Brandon Lowe; Nick Gonzales; Ronny Simon; Jared Triolo; Henry Davis,28.36465649528177,94.72405286343613,FF,strong,True,"K9 10.9, stuff whiff 28.4%",savant+statcast,False,,1,1.0,elite,elite,9.912356324597724,12.29040510508553,,"arsenal K% 32.4 (elite solo, +9.9 vs lg, +12.3 vs opp K%, opp K% 20.1; slate #1/17 elite); stuff whiff 28.4% (strong), FF 94.7 mph; pitcher style WHIFF (K% 28.2, Contact% 74.2); stuff ceiling (K9 10.9, stuff whiff 28.4%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.5 (≥5.5)",0,trust,3.0,29.0,58.0,2.0,0.0,7.0,.125,.316,50.0,3,29,9.666666666666666,0,0,,2026-08-05 H: 5.0IP 10K; 2026-04-26 H: 6.0IP 12K; 2024-04-26 H: 6.0IP 7K
6,Sonny Gray,543243,BOS,R,TEX,BOS@TEX,7:05 PM CT,2026-09-18T00:05:00Z,ok,prior:2026-09-16,5.802469135802469,24,2.6666666666666665,season_avg,starter,19.79642410632199,23.406691180790485,5.207258408449866,5.090322123770239,1.781678169568979,9,9,1.0,24,,24,2.412765879115137,0.8617020996839775,8.04255293038379,3.626499298859085,22.012579,79.01119399999999,46.6517857,32.8125,4.7619047,11.581292,balanced,,clear,,1.0,,5.666666666666667,8.5,6.0,5.480109739368999,0.3,25.356125356125357,0.2567061525785728,7.977207977207978,64.1025641025641,whiff_prone,recent,1.062139701171596,neutral,1.0029051282051282,1.0,neutral,1516,779,"679822,608369,673962,669394,607043,694671,677649,553869,643376",Justin Foscue; Corey Seager; Josh Jung; Jake Burger; Brandon Nimmo; Wyatt Langford; Ezequiel Duran; Elias Díaz; Danny Jansen,22.25993603721471,92.04707070707072,SI,avg,False,,savant+statcast,False,,13,0.29411764705882354,soft,soft,-2.7035758936780105,-5.559701249803368,,"arsenal K% 19.8 (soft solo, -2.7 vs lg, -5.6 vs opp K%, opp K% 25.4; slate #13/17 soft); stuff whiff 22.3% (avg), SI 92.0 mph; weak under — only 0/2 confirms (none); need 2 more of GB/FLY · contact-heavy · Exp K ≤4.2 (or take U6.5+ / pass)",0,,20.0,110.0,503.0,33.0,11.0,106.0,.230,.636,21.868787276341948,2,11,5.5,1,10,10.0,2026-06-12 H: 6.0IP 7K; 2025-05-31 A: 7.0IP 10K; 2023-08-25 H: 7.0IP 4K
7,Framber Valdez,664285,DET,L,CWS,DET@CWS,6:40 PM CT,2026-09-17T23:40:00Z,ok,prior:2026-09-16,5.534091210277214,25,2.7777777777777777,season_avg,starter,22.08219890942108,22.841829983843976,5.020394969469735,5.923701563089724,1.987397901847897,9,9,1.0,25,,25,3.2993892071066555,0.8248473017766639,6.653768234331755,4.201722073555611,16.970547,82.11047,54.813359500000004,26.129666,6.0150375,12.934363,contact_gb,GB% 54.8,low,elev_xfip,1.0,,3.3333333333333335,4.7368421052631575,6.333333333333333,2.9126795843564284,0.3,31.045751633986928,0.21132354504948106,10.457516339869281,54.90196078431372,whiff_prone,recent,1.07,three_true,0.9881336601307189,0.9805823529411765,elevated,605,1986,"805367,545341,678246,502054,691019,686668,695657,682668,671976",Chase Meidroth; Randal Grichuk; Miguel Vargas; Tommy Pham; Kyle Teel; Brenton Doyle; Colson Montgomery; Luisangel Acuña; Tristan Peters,18.729129886506936,93.84175347222224,SI,soft,False,,savant,True,"K9 6.7, soft L3 3.3, elev_xFIP 4.20",7,0.6470588235294118,avg,avg,-0.41780109057891934,-8.963552724565847,FILLER,"soft-contact (K9 6.7, soft L3 3.3, elev_xFIP 4.20) + arsenal K% 22.1 (avg solo, -0.4 vs lg, -9.0 vs opp K%, opp K% 31.0; slate #7/17 avg); stuff whiff 18.7% (soft), SI 93.8 mph; pitcher style GB/contact (GB% 54.8) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length",1,,11.0,64.0,266.0,19.0,6.0,61.0,.252,.700,24.06015037593985,3,25,8.333333333333334,3,15,5.0,2026-05-30 A: 6.2IP 4K; 2025-06-12 H: 5.0IP 12K; 2025-05-02 A: 5.0IP 6K; 2024-08-18 H: 7.0IP 9K; 2024-06-18 A: 6.0IP 5K; 2023-03-30 H: 5.0IP 4K
8,Michael King,650633,SD,R,COL,SD@COL,2:10 PM CT,2026-09-17T19:10:00Z,ok,prior:2026-09-16,5.833333333333333,24,2.6666666666666665,season_avg,starter,21.12251733620642,24.83052277848621,4.783576658325551,5.123154624675599,1.9010265602585779,9,9,1.0,24,,24,3.394285714285714,1.0285714285714285,7.611428571428571,4.35621169933251,20.815752,77.751938,44.8637316,39.2033542,10.1604278,15.702479,balanced,,low,elev_xfip,1.0,,4.333333333333333,6.157894736842105,6.333333333333333,3.9912280701754383,0.3,24.695121951219512,0.26164851990056204,6.097560975609756,66.46341463414635,neutral,recent,1.0327159188053472,free_swing,1.017619512195122,1.0,low,1748,1048,"664983,681393,694249,691720,691182,687859,687597,690924,678662",Jake McCarthy; Connor Norby; Cole Carrigg; Kyle Karros; Adael Amador; Troy Johnston; Jordan Beck; Braxton Fulford; Ezequiel Tovar,24.328313174665105,93.14872448979591,SI,avg,False,,savant+statcast,False,,9,0.5294117647058824,avg,avg,-1.3774826637935789,-3.5726046150130912,,"arsenal K% 21.1 (avg solo, -1.4 vs lg, -3.6 vs opp K%, opp K% 24.7; slate #9/17 avg); stuff whiff 24.3% (avg), SI 93.1 mph",0,,5.0,30.0,111.0,8.0,5.0,26.0,.255,.760,27.027027027027028,3,21,7.0,2,9,4.5,2026-07-28 H: 6.0IP 6K; 2025-04-13 H: 9.0IP 8K; 2024-05-15 H: 5.1IP 7K; 2024-04-23 A: 3.2IP 5K; 2023-07-14 A: 2.0IP 4K
9,Seth Lugo,607625,KC,R,HOU,KC@HOU,6:15 PM CT,2026-09-17T23:15:00Z,ok,prior:2026-09-16,5.466666666666667,24,2.6666666666666665,season_avg,starter,20.706842382180454,24.05477431561411,4.597540485105161,4.853629264435944,1.8636158143962411,9,9,1.0,24,,24,2.908536585365854,1.0426829268292683,6.914634146341464,4.462613840582894,17.771509,83.373885,40.582524199999995,38.0582524,7.1428571,11.472275,balanced,,low,elev_xfip,1.0,,3.3333333333333335,6.585365853658537,4.555555555555555,4.000000000000001,0.3,22.45508982035928,0.23619355113689794,6.586826347305389,68.562874251497,neutral,recent,0.9966641870660748,aggressive,1.0137053892215568,1.0,low,1766,944,"665161,670541,670623,514888,673237,572233,701358,662139,678489",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Jose Altuve; Yainer Diaz; Christian Walker; Cam Smith; Daulton Varsho; Jorge Barrosa,18.195404059747222,91.39146110056926,SI,soft,False,,savant,True,"K9 6.9, soft L3 3.3, elev_xFIP 4.46",10,0.47058823529411764,avg,avg,-1.7931576178195456,-1.7482474381788258,FILLER,"soft-contact (K9 6.9, soft L3 3.3, elev_xFIP 4.46) + arsenal K% 20.7 (avg solo, -1.8 vs lg, -1.7 vs opp K%, opp K% 22.5; slate #10/17 avg); stuff whiff 18.2% (soft), SI 91.4 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",0,,5.0,27.0,128.0,9.0,2.0,31.0,.265,.708,21.09375,2,10,5.0,2,11,5.5,2025-04-25 H: 8.0IP 8K; 2024-08-30 A: 7.0IP 9K; 2024-04-10 H: 6.0IP 2K; 2023-09-09 A: 4.1IP 2K
10,Brady Singer,663903,CIN,R,LAD,LAD@CIN,11:40 AM CT,2026-09-17T16:40:00Z,ok,official,4.697648444800854,22,2.4444444444444446,season_avg,starter,21.17699245729858,22.681820598948054,4.596690258043822,4.603754411342245,1.9059293211568724,9,9,1.0,22,,22,3.345132969215391,1.7920355192225308,7.466814663427212,4.5253655894945375,18.301611,77.14776599999999,42.768595,35.3305785,6.432748500000001,10.02045,balanced,,medium,"high_hr,elev_xfip,exit_hr",0.97,exit_hr,4.333333333333333,8.775,4.444444444444444,4.580207233680833,0.3,20.930232558139537,0.21774391638536328,13.953488372093023,62.7906976744186,whiff_prone,recent,1.0372151836943568,patient,0.95,0.9321581395348837,elevated,1743,899,"669242,518692,663656,606192,571970,800543,676439,690976,500743",Tommy Edman; Freddie Freeman; Kyle Tucker; Teoscar Hernández; Max Muncy; Josue De Paula; Hunter Feduccia; Alex Freeland; Miguel Rojas,23.92694108555323,91.19654654654654,SI,avg,False,,savant+statcast,False,,8,0.5882352941176471,avg,avg,-1.3230075427014185,0.24675989915904495,,"arsenal K% 21.2 (avg solo, -1.3 vs lg, +0.2 vs opp K%, opp K% 20.9; slate #8/17 avg); stuff whiff 23.9% (avg), SI 91.2 mph",0,,3.0,15.0,74.0,8.0,3.0,10.0,.156,.570,20.27027027027027,1,4,4.0,1,4,4.0,2024-06-16 A: 6.0IP 4K; 2023-07-02 H: 7.0IP 4K
