rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,status
1,Shane Drohan,675660,MIL,COL,COL@MIL,7.022247879926324,6.818559545113167,6,6.0,25,-1.022247879926324,1.022247879926324,starter,clear,official,Final
2,Sean Manaea,640455,NYM,LAD,LAD@NYM,6.692750927565552,6.501072753665074,3,6.0,24,-3.6927509275655517,3.6927509275655517,swingman,low,official,Final
3,MacKenzie Gore,669022,TEX,SEA,SEA@TEX,6.577256519305658,6.624281112922741,5,5.0,23,-1.5772565193056582,1.5772565193056582,starter,clear,official,Final
4,Jesús Luzardo,666200,PHI,NYY,NYY@PHI,6.516448458487432,5.602069226410616,9,7.0,26,2.4835515415125684,2.4835515415125684,starter,clear,official,Final
5,Bryce Miller,682243,SEA,TEX,SEA@TEX,6.140554548948577,6.20160083812061,0,5.333333333333333,23,-6.140554548948577,6.140554548948577,starter,low,official,Final
6,Tarik Skubal,669373,DET,KC,KC@DET,5.763501936098132,4.8098046866227815,12,7.333333333333333,28,6.236498063901868,6.236498063901868,starter,clear,official,Final
7,Matthew Boyd,571510,CHC,PIT,CHC@PIT,5.4573715163860435,6.094426841590453,4,7.0,29,-1.4573715163860435,1.4573715163860435,starter,clear,official,Final
8,Dustin May,669160,STL,CIN,CIN@STL,5.402606509378976,4.968330223374698,8,6.0,27,2.597393490621024,2.597393490621024,starter,clear,official,Final
9,Cam Schlittler,693645,NYY,PHI,NYY@PHI,5.259987368600893,4.607715574907829,12,7.333333333333333,26,6.740012631399107,6.740012631399107,starter,clear,official,Final
10,Trey Yesavage,702056,TOR,BOS,TOR@BOS,5.194686660683099,4.830109863693626,9,4.0,18,3.8053133393169007,3.8053133393169007,starter,medium,official,Final
11,Patrick Sandoval,663776,BOS,TOR,TOR@BOS,5.138813370681631,5.039588141923467,3,4.666666666666667,22,-2.138813370681631,2.138813370681631,starter,clear,official,Final
12,Shane McClanahan,663556,TB,CLE,CLE@TB,5.098308518090245,5.783297882986064,3,5.0,19,-2.0983085180902448,2.0983085180902448,starter,clear,official,Final
13,Eduardo Rodriguez,593958,AZ,WSH,AZ@WSH,5.027680875701574,5.307401251002248,4,6.0,27,-1.0276808757015736,1.0276808757015736,starter,low,official,Final
14,Joey Cantillo,676282,CLE,TB,CLE@TB,5.0030669921560404,4.1619324377739355,4,3.6666666666666665,20,-1.0030669921560404,1.0030669921560404,starter,medium,official,Final
15,Jared Jones,683003,PIT,CHC,CHC@PIT,4.977285595680695,4.189773073194644,5,6.0,21,0.022714404319304826,0.022714404319304826,starter,clear,official,Final
16,Roki Sasaki,808963,LAD,NYM,LAD@NYM,4.910919028120102,5.175835433601674,9,7.0,25,4.089080971879898,4.089080971879898,starter,high,official,Final
17,Trevor Rogers,669432,BAL,ATL,ATL@BAL,4.799473673957417,4.731848838254186,6,7.0,26,1.2005263260425831,1.2005263260425831,starter,low,official,Final
18,Grant Holmes,656550,ATL,BAL,ATL@BAL,4.641612519253464,5.391351217981138,5,5.0,22,0.35838748074653637,0.35838748074653637,starter,medium,official,Final
19,Rhett Lowder,695076,CIN,STL,CIN@STL,4.639361674767679,4.226370598755116,4,5.0,18,-0.6393616747676791,0.6393616747676791,starter,high,official,Final
20,Tomoyuki Sugano,608372,COL,MIL,COL@MIL,4.619501744132089,5.227859634474414,5,5.333333333333333,23,0.3804982558679111,0.3804982558679111,starter,high,official,Final
21,Zebby Matthews,805673,MIN,ATH,ATH@MIN,4.605191198794124,4.38372261848638,1,6.0,22,-3.605191198794124,3.605191198794124,starter,medium,official,Final
22,Logan Webb,657277,SF,LAA,LAA@SF,4.517142396681401,4.996421911225532,4,6.0,25,-0.5171423966814013,0.5171423966814013,starter,clear,prior:2026-07-22,Final
23,Spencer Arrighetti,681293,HOU,CWS,HOU@CWS,4.495955903475124,4.744937004964464,0,1.0,9,-4.495955903475124,4.495955903475124,starter,high,official,Final
24,Ryan Gusto,687473,MIA,SD,SD@MIA,4.3755466727984,4.188280961140571,4,3.3333333333333335,13,-0.37554667279840004,0.37554667279840004,starter,low,official,Final
25,Jacob Lopez,682052,ATH,MIN,ATH@MIN,4.301315616971156,3.8679508813873653,4,5.0,21,-0.3013156169711557,0.3013156169711557,starter,high,official,Final
26,Davis Martin,663436,CWS,HOU,HOU@CWS,4.204593773040204,4.719113140202028,3,5.0,23,-1.2045937730402043,1.2045937730402043,starter,clear,official,Final
27,Germán Márquez,608566,SD,MIA,SD@MIA,3.2681917451553675,3.109321540698145,4,2.3333333333333335,12,0.7318082548446325,0.7318082548446325,starter,high,official,Final
28,Grayson Rodriguez,680570,LAA,SF,LAA@SF,3.222816498208341,4.025452140297631,3,4.0,18,-0.22281649820834115,0.22281649820834115,starter,high,official,Final
29,Carson Palmquist,687223,WSH,AZ,AZ@WSH,2.579887719910052,1.802360608274864,1,1.3333333333333333,8,-1.5798877199100518,1.5798877199100518,starter,clear,official,Final
30,Beck Way,694360,KC,DET,KC@DET,1.1835357460505027,1.1835357460505027,0,1.0,7,-1.1835357460505027,1.1835357460505027,opener_likely,high,official,Final
