batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Max Clark,703601,7,L,DET,Emerson Hancock,SEA,R,DET@SEA,8:40 PM CT,prior:2026-08-02,0.5,vs_rhp,0.0,55.6,0.439,0.357,113.75,113.75,True,17.451745765840553,1
Eduardo Valencia,680664,4,R,DET,Emerson Hancock,SEA,R,DET@SEA,8:40 PM CT,prior:2026-08-02,0.5333333333333333,vs_rhp,21.7,52.2,0.369,0.269,90.29395833333334,79.43354166666667,False,25.49284237666131,2
Abimelec Ortiz,694673,2,L,WSH,Jesús Luzardo,PHI,L,WSH@PHI,5:40 PM CT,prior:2026-08-03,0.4,recent,0.0,100.0,0.427,0.42,88.75,88.75,True,20.124929261679423,3
Enrique Hernández,571771,8,R,LAD,Javier Assad,CHC,R,LAD@CHC,7:05 PM CT,prior:2026-08-03,0.4,vs_rhp,18.2,63.6,0.355,0.285,88.75,88.75,True,7.250470809792844,4
Bryan De La Cruz,650559,5,R,PHI,Zack Littell,WSH,R,WSH@PHI,5:40 PM CT,prior:2026-08-03,0.36363636363636365,vs_rhp,11.8,35.3,0.346,0.292,79.6590909090909,79.6590909090909,True,16.20872592713198,5
Yordan Alvarez,670541,2,L,HOU,Trey Yesavage,TOR,R,TOR@HOU,7:10 PM CT,prior:2026-08-03,0.35135135135135137,vs_rhp,18.3,53.6,0.476,0.339,76.83201013513514,77.12069256756757,False,17.70920539515581,6
John Rave,670231,6,L,KC,Joe Ryan,MIN,R,MIN@KC,6:40 PM CT,prior:2026-08-02,0.3333333333333333,vs_rhp,25.0,45.8,0.402,0.291,72.51270833333334,72.50229166666666,False,12.566811751904247,7
Luke Maile,571912,9,R,KC,Joe Ryan,MIN,R,MIN@KC,6:40 PM CT,prior:2026-08-02,0.3333333333333333,vs_rhp,10.0,30.0,0.229,0.185,72.08333333333333,72.08333333333333,True,30.913642052565706,8
Shohei Ohtani,660271,1,L,LAD,Javier Assad,CHC,R,LAD@CHC,7:05 PM CT,prior:2026-08-03,0.2923076923076923,vs_rhp,16.7,54.2,0.412,0.297,66.62576923076924,68.22038461538462,False,22.878227444746223,9
James Wood,695578,1,L,WSH,Jesús Luzardo,PHI,L,WSH@PHI,5:40 PM CT,prior:2026-08-03,0.25316455696202533,vs_lhp,21.1,58.2,0.421,0.276,65.45708069620254,69.77510284810127,False,27.243198787609966,10
Griffin Conine,665052,5,L,MIA,Grant Holmes,ATL,R,MIA@ATL,6:15 PM CT,prior:2026-08-02,0.2857142857142857,vs_rhp,16.9,55.4,0.383,0.275,64.57080357142857,65.89883928571429,False,23.78063324854332,11
