rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names
11,Mitch Keller,656605,PIT,R,NYY,PIT@NYY,12:05 PM CT,2026-07-22T17:05:00Z,ok,official,5.416666666666666,23,2.5555555555555554,season_avg,24.940143743130065,27.023659946527523,5.1221150765440076,5.659143986899604,2.2446129368817056,9,9,1.0,23,,23,3.0483872468216062,1.1322581202480253,6.706451943007534,4.595652917041892,low,elev_xfip,3.3333333333333335,6.428571428571429,4.666666666666667,3.8690476190476186,0.3,1049,611,"663757,700250,682987,641355,691176,665862,676609,641857,669224",Trent Grisham; Ben Rice; Spencer Jones; Cody Bellinger; Jasson Domínguez; Jazz Chisholm Jr.; José Caballero; Ryan McMahon; Austin Wells
12,Jake Bennett,687562,BOS,L,BAL,BAL@BOS,12:35 PM CT,2026-07-22T17:35:00Z,ok,official,5.933333333333334,23,2.5555555555555554,season_avg,25.428389243264224,23.921021624340586,4.9012659837676935,5.503339160484461,2.28855503189378,9,9,1.0,23,,23,1.5093168417091531,0.5031056139030511,6.372671109438647,3.8270093606499853,clear,,3.6666666666666665,5.303571428571428,6.222222222222222,3.496428571428571,0.3,173,547,"621493,624413,683002,641933,691723,665750,687952,702616,669087",Taylor Ward; Pete Alonso; Gunnar Henderson; Tyler O'Neill; Coby Mayo; Leody Taveras; Christian Encarnacion-Strand; Jackson Holliday; Sam Huff
13,Cade Cavalli,676917,WSH,R,COL,WSH@COL,2:10 PM CT,2026-07-22T19:10:00Z,ok,official,5.03030303030303,22,2.4444444444444446,season_avg,19.404806256048207,21.708547258531308,4.838316422070058,4.276959968036591,1.7464325630443387,9,9,1.0,22,,22,2.7515924235445355,0.7738853691219006,10.232484325056243,3.4330567364053333,clear,,7.333333333333333,11.0,6.0,6.148148148148149,0.3,1031,745,"664983,666160,696100,681198,694249,691720,650489,666397,664954",Jake McCarthy; Mickey Moniak; Hunter Goodman; TJ Rumfield; Cole Carrigg; Kyle Karros; Willi Castro; Edouard Julien; Brett Sullivan
14,Keider Montero,672456,DET,R,CHC,DET@CHC,7:10 PM CT,2026-07-23T00:10:00Z,ok,official,6.711111111111111,27,3.0,season_avg,20.021422462737785,21.400516926534625,4.774212779883671,5.405784064939202,1.8019280216464006,9,9,1.0,27,,27,1.9668875414417306,0.8046358124079807,6.258278540950961,4.589786637474079,low,elev_xfip,3.3333333333333335,4.426229508196721,6.777777777777778,3.300546448087432,0.3,806,627,"691718,673548,683737,608324,664023,663538,624424,608348,621020",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Nico Hoerner; Michael Conforto; Carson Kelly; Dansby Swanson
15,Bailey Ober,641927,MIN,R,CLE,MIN@CLE,5:40 PM CT,2026-07-22T22:40:00Z,ok,official,5.5,23,2.5555555555555554,season_avg,20.284948827834498,24.912926869898385,4.742875130718511,4.4183930438835874,1.825645394505105,9,9,1.0,23,,23,2.4545454545454546,1.5194805194805194,6.779220779220779,4.759038172101046,medium,"high_hr,elev_xfip",5.0,9.0,5.0,5.5,0.3,687,507,"680757,608070,800050,677587,683953,700932,682177,672275,690984",Steven Kwan; José Ramírez; Chase DeLauter; Brayan Rocchio; Travis Bazzana; Kyle Manzardo; Daniel Schneemann; Patrick Bailey; Petey Halpin
16,Aaron Nola,605400,PHI,R,LAD,LAD@PHI,5:40 PM CT,2026-07-22T22:40:00Z,ok,official,5.15,23,2.5555555555555554,season_avg,18.064047616570296,20.78772520073514,4.616617182833624,4.020167404048035,1.6257642854913266,9,9,1.0,23,,23,3.058252427184466,2.0097087378640777,9.436893203883495,3.958719402175505,medium,high_hr,7.0,10.5,6.0,6.008333333333334,0.3,1121,676,"660271,681624,518692,571970,605141,663656,606192,669242,687221",Shohei Ohtani; Andy Pages; Freddie Freeman; Max Muncy; Mookie Betts; Kyle Tucker; Teoscar Hernández; Tommy Edman; Dalton Rushing
17,Brady Singer,663903,CIN,R,SEA,CIN@SEA,2:40 PM CT,2026-07-22T19:40:00Z,ok,official,5.166666666666666,23,2.5555555555555554,season_avg,21.703477871180926,26.39612609329446,4.60912938906366,4.791953549002508,1.9533130084062833,9,9,1.0,23,,23,2.886206972482799,1.955172465230283,7.634482959470629,4.422155189325025,medium,"high_hr,elev_xfip",5.666666666666667,7.285714285714286,7.0,4.182539682539682,0.3,1070,601,"702284,677594,686527,668227,647304,663728,670042,642215,806068",Cole Young; Julio Rodríguez; Dominic Canzone; Randy Arozarena; Josh Naylor; Cal Raleigh; Luke Raley; Weston Wilson; Colt Emerson
18,Christian Scott,681035,NYM,R,MIL,NYM@MIL,1:10 PM CT,2026-07-22T18:10:00Z,ok,official,4.2976190476190474,18,2.0,season_avg,23.159377253580068,25.27831862590608,4.537184523984311,4.168687905644413,2.084343952822206,9,9,1.0,18,,18,3.921787876652888,1.0558659667911623,10.860335658423383,3.8530765273343643,low,elev_bb,6.0,11.302325581395348,4.777777777777778,5.397009966777407,0.3,675,403,"592885,694192,668930,661388,669003,683734,641343,806198,687401",Christian Yelich; Jackson Chourio; Brice Turang; William Contreras; Garrett Mitchell; Andrew Vaughn; Jake Bauers; Cooper Pratt; Joey Ortiz
19,Seth Lugo,607625,KC,R,SF,SF@KC,1:10 PM CT,2026-07-22T18:10:00Z,ok,official,5.603174603174604,24,2.6666666666666665,season_avg,18.943685277335717,20.535615548852718,4.522911876327846,4.483711644053787,1.7049316749602148,9,9,1.0,24,,24,2.9277109106525954,1.219879546105248,7.237951973557805,4.490798634984793,medium,"elev_hr,elev_xfip",4.666666666666667,7.411764705882353,5.666666666666667,4.614379084967321,0.3,1187,602,"650333,805811,671218,646240,669477,808982,642715,687551,701852",Luis Arraez; Bryce Eldridge; Heliot Ramos; Rafael Devers; Casey Schmitt; Jung Hoo Lee; Willy Adames; Drew Gilbert; Drew Cavanaugh
20,Emerson Hancock,676106,SEA,R,CIN,CIN@SEA,2:40 PM CT,2026-07-22T19:40:00Z,ok,official,5.5438596491228065,22,2.4444444444444446,season_avg,21.620107653404673,19.75465987002765,4.496284194161072,4.803304146135776,1.9458096888064205,9,9,1.0,22,,22,2.265100787123138,1.0872483778191062,8.516778959582998,3.780937032483113,clear,,3.3333333333333335,6.136363636363637,4.888888888888888,3.7799043062200957,0.3,926,606,"682829,701398,668709,668715,663993,663886,667472,695490,663647",Elly De La Cruz; Sal Stewart; JJ Bleday; Spencer Steer; Nathaniel Lowe; Tyler Stephenson; Dane Myers; Edwin Arroyo; Ke'Bryan Hayes
