rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,offense_source,offense_factor,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,ticket_outlook,ticket_note
17,Michael King,650633,SD,R,COL,COL@SD,8:40 PM CT,2026-07-29T01:40:00Z,ok,prior:2026-07-26,5.398412698412698,22,2.4444444444444446,season_avg,starter,20.10051607036858,24.716299040100594,4.484105068956628,4.364447817597105,1.8090464463331721,9,9,1.0,22,,22,3.6955308837690675,0.8296089739073417,7.768156755677836,4.499061470060673,medium,"elev_bb,elev_xfip",0.95,,5.0,7.9411764705882355,5.666666666666667,4.763305322128851,0.3,22.352941176470587,0.24484154899870042,recent,0.9983959715801265,1157,775,"664983,666160,696100,681198,691720,694249,650489,687859,666397",Jake McCarthy; Mickey Moniak; Hunter Goodman; TJ Rumfield; Kyle Karros; Cole Carrigg; Willi Castro; Troy Johnston; Edouard Julien,,False,,20,0.32142857142857145,soft,,"arsenal K% 20.1 (#20/28, soft, opp K% 22.4)"
18,Aaron Nola,605400,PHI,R,MIA,PHI@MIA,5:40 PM CT,2026-07-28T22:40:00Z,ok,prior:2026-07-27,5.003968253968253,22,2.4444444444444446,season_avg,starter,16.12402777943531,20.18568523956003,4.3302436745219905,3.8226721381134645,1.4511625001491777,9,9,1.0,22,,22,2.9907693711862122,2.0769231744348695,9.304615821468216,3.9772376471532107,medium,"high_hr,exit_hr",0.97,exit_hr,6.0,9.918367346938776,5.444444444444444,5.514577259475218,0.3,27.478753541076486,0.21858845327433896,recent,1.07,1172,710,"672640,669065,681715,669364,689414,665052,691594,691788,805300",Otto Lopez; Kyle Stowers; Heriberto Hernández; Xavier Edwards; Liam Hicks; Griffin Conine; Javier Sanoja; Joe Mack; Jakob Marsee,,False,,27,0.07142857142857142,soft,,"arsenal K% 16.1 (#27/28, soft, opp K% 27.5)"
19,Landen Roupp,694738,SF,R,MIL,MIL@SF,8:45 PM CT,2026-07-29T01:45:00Z,ok,prior:2026-07-27,5.225,22,2.4444444444444446,season_avg,starter,20.59115433005077,24.487659852641883,4.2761724815791045,4.6159606879701505,1.8532038897045695,9,9,1.0,22,,22,3.6818181818181817,0.6545454545454545,9.245454545454546,3.618974746628241,low,elev_bb,0.95,,4.666666666666667,6.0,7.0,3.483333333333333,0.3,22.636103151862464,0.248549230139488,recent,0.9996131096697,1135,789,"592885,694192,668930,661388,641343,683734,669003,806198,687401",Christian Yelich; Jackson Chourio; Brice Turang; William Contreras; Jake Bauers; Andrew Vaughn; Garrett Mitchell; Cooper Pratt; Joey Ortiz,,False,,19,0.35714285714285715,soft,,"arsenal K% 20.6 (#19/28, soft, opp K% 22.6)"
20,Michael Lorenzen,547179,COL,R,SD,COL@SD,8:40 PM CT,2026-07-29T01:40:00Z,ok,prior:2026-07-26,4.746031746031746,23,2.5555555555555554,season_start_est,starter,19.839192109290497,25.5260364532421,4.158158652246928,4.414716441985407,1.785527289836145,9,9,1.0,23,,23,3.4867550549729467,1.4304636122965937,6.973510109945893,4.698992107823001,medium,"elev_hr,elev_xfip",1.0,,3.6666666666666665,6.75,4.888888888888888,3.5595238095238093,0.3,19.65811965811966,0.28669469797621644,recent,0.944386292181457,1015,825,"665487,630105,592518,664034,701538,650859,657757,669134,823550",Fernando Tatis Jr.; Jake Cronenworth; Manny Machado; Ty France; Jackson Merrill; Luis Rengifo; Gavin Sheets; Luis Campusano; Sung-Mun Song,,True,"K9 7.0, soft L3 3.7, elev_xFIP 4.70",21,0.2857142857142857,soft,FILLER,"soft-contact (K9 7.0, soft L3 3.7, elev_xFIP 4.70) + arsenal K% 19.8 (#21/28, soft, opp K% 19.7) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds"
21,Christian Scott,681035,NYM,R,ATL,ATL@NYM,6:10 PM CT,2026-07-28T23:10:00Z,ok,prior:2026-07-27,4.071428571428571,17,1.8888888888888888,season_avg,starter,21.781199045956836,25.202720172367357,4.136582635585671,3.7181365605661467,1.9603079141361153,9,9,1.0,17,,17,4.121052962538305,0.9947369219920046,11.084211416482336,3.8549699250260008,medium,high_bb,0.9,,6.0,11.302325581395348,4.777777777777778,5.112956810631228,0.3,22.950819672131146,0.2550719168299722,recent,0.9996448719730234,721,446,"660670,686948,621566,645277,671739,643289,663586,663698,805347",Ronald Acuña Jr.; Drake Baldwin; Matt Olson; Ozzie Albies; Michael Harris II; Mauricio Dubón; Austin Riley; Joey Bart; Jim Jarvis,,False,,13,0.5714285714285714,avg,,"arsenal K% 21.8 (#13/28, avg, opp K% 23.0)"
22,Chase Burns,695505,CIN,R,CLE,CLE@CIN,12:40 PM CT,2026-07-28T17:40:00Z,ok,prior:2026-07-26,5.666666666666667,23,2.5555555555555554,season_avg,starter,19.542577210833507,21.802852696379155,4.12789106513114,4.075558664473057,1.7588319489750157,9,9,1.0,23,,23,3.260061996508666,1.0030959989257435,10.365325322232682,3.587675334669944,clear,,1.0,,4.0,6.75,5.333333333333333,4.25,0.3,18.69688385269122,0.261446852771035,recent,0.9472183952818798,1102,666,"680757,608070,800050,677587,683953,682657,700932,595978,690984",Steven Kwan; José Ramírez; Chase DeLauter; Brayan Rocchio; Travis Bazzana; Angel Martínez; Kyle Manzardo; Austin Hedges; Petey Halpin,,False,,22,0.25,soft,,"arsenal K% 19.5 (#22/28, soft, opp K% 18.7)"
23,Jake Bennett,687562,BOS,L,ATH,BOS@ATH,8:40 PM CT,2026-07-29T01:40:00Z,ok,prior:2026-07-27,5.933333333333334,23,2.5555555555555554,season_avg,starter,19.42642907245266,21.390795451536192,4.022987315310944,4.24865534840339,1.7483786165207393,9,9,1.0,23,,23,1.3651685685826114,0.6067415860367161,6.370786653385519,3.8265717418597673,clear,,1.0,,3.6666666666666665,5.303571428571428,6.222222222222222,3.496428571428571,0.3,19.736842105263158,0.23943154047154813,recent,0.9712863369511748,195,608,"805779,691016,641680,687515,695720,643446,703607,675961,671732",Jacob Wilson; Tyler Soderstrom; Jonah Heim; Colby Thomas; Tommy White; Jeff McNeil; Henry Bolte; Alika Williams; Lawrence Butler,,True,"K9 6.4, soft L3 3.7",23,0.21428571428571427,soft,FILLER,"soft-contact (K9 6.4, soft L3 3.7) + arsenal K% 19.4 (#23/28, soft, opp K% 19.7) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds"
24,Cade Cavalli,676917,WSH,R,TOR,TOR@WSH,5:45 PM CT,2026-07-28T22:45:00Z,ok,prior:2026-07-27,5.03030303030303,22,2.4444444444444446,season_avg,starter,15.316976694147485,17.603783965685626,3.9364570410937345,2.9885894237847,1.3785279024732737,9,9,1.0,22,,22,2.7650603045052287,0.7319277276631488,10.328313490357766,3.391772566502158,clear,,1.0,,7.333333333333333,11.0,6.0,6.148148148148149,0.3,15.527950310559007,0.24051455613364875,recent,0.9299999999999999,1095,771,"676391,664770,665489,543807,672386,672960,662139,649966,664702",Ernie Clement; Nathan Lukes; Vladimir Guerrero Jr.; George Springer; Alejandro Kirk; Kazuma Okamoto; Daulton Varsho; Luis Urías; Myles Straw,,False,,28,0.03571428571428571,soft,,"arsenal K% 15.3 (#28/28, soft, opp K% 15.5)"
25,Logan Henderson,701656,MIL,R,SF,MIL@SF,8:45 PM CT,2026-07-29T01:45:00Z,ok,prior:2026-07-27,4.791666666666667,18,2.0,season_avg,starter,17.289045794636326,22.011529088167006,3.8896041931550522,3.279791704507218,1.5560141215172694,9,9,1.0,18,,18,1.6434783153858454,1.1739130824184612,11.034782974733535,2.9635773887297208,clear,,1.0,,5.666666666666667,9.978260869565219,5.111111111111111,5.312500000000001,0.3,25.386996904024766,0.20734979332570116,recent,1.0539080780671493,404,179,"650333,671218,805811,646240,669477,687551,642715,687529,683679",Luis Arraez; Heliot Ramos; Bryce Eldridge; Rafael Devers; Casey Schmitt; Drew Gilbert; Willy Adames; Grant McCray; Jesus Rodriguez,,False,,25,0.14285714285714285,soft,,"arsenal K% 17.3 (#25/28, soft, opp K% 25.4)"
26,Griffin Jax,643377,TB,R,TEX,TEX@TB,5:40 PM CT,2026-07-28T22:40:00Z,ok,prior:2026-07-27,4.375,18,2.0,season_start_est,starter,21.595120313703948,25.709641518077337,3.8345161464416133,3.8372552092023047,1.9435608282333552,9,9,1.0,18,,18,3.000000105963817,1.4444444954640598,9.111111432927148,3.5978547037321373,low,elev_hr,1.0,,4.666666666666667,7.875,5.333333333333333,3.828125,0.3,23.44213649851632,0.2880240003416891,recent,0.9871713695450086,764,463,"592626,694671,677649,607043,694497,669394,670032,669701,553869",Joc Pederson; Wyatt Langford; Ezequiel Duran; Brandon Nimmo; Evan Carter; Jake Burger; Nicky Lopez; Josh Smith; Elias Díaz,,False,,15,0.5,avg,,"arsenal K% 21.6 (#15/28, avg, opp K% 23.4)"
27,Bubba Chandler,696149,PIT,R,AZ,AZ@PIT,5:40 PM CT,2026-07-28T22:40:00Z,ok,prior:2026-07-27,4.579421052631579,20,2.2222222222222223,season_start_est,starter,18.810158171563042,21.942268854246958,3.4390828180832984,3.473728837863359,1.6929142354406739,9,9,1.0,20,,20,5.006622785330094,0.8940397830946597,8.046358047851937,5.058547673786027,high,"high_bb,high_xfip,exit_xfip_bb",0.873,exit_xfip_bb,3.6666666666666665,6.6,5.0,3.358242105263158,0.3,15.921787709497206,0.27350770982537503,recent,0.9299999999999999,943,772,"682998,672695,672515,606466,596146,682988,680728,545121,814439",Corbin Carroll; Geraldo Perdomo; Gabriel Moreno; Ketel Marte; Max Kepler; Tyler Locklear; Adrian Del Castillo; Ildemaro Vargas; Ryan Waldschmidt,,False,,24,0.17857142857142858,soft,,"arsenal K% 18.8 (#24/28, soft, opp K% 15.9)"
28,Shane Bieber,669456,TOR,R,WSH,TOR@WSH,5:45 PM CT,2026-07-28T22:45:00Z,ok,prior:2026-07-27,4.709888888888889,20,2.2222222222222223,season_avg,starter,16.55793599713724,24.183291743279923,3.32541295663686,3.265261097082307,1.4902142397423515,9,9,1.0,20,,20,3.521739422486299,2.054347996450341,6.456522274558215,4.59875879607975,high,"elev_bb,high_hr,elev_xfip,exit_hr",0.9215,exit_hr,4.333333333333333,6.6226415094339615,5.888888888888889,3.4657672955974843,0.3,22.254335260115607,0.2669725706737303,recent,0.9850899416207778,290,229,"695578,671277,677588,682928,686611,695734,660688,678391,683083",James Wood; Luis García Jr.; José Tena; CJ Abrams; Dylan Crews; Daylen Lile; Keibert Ruiz; Jorbit Vivas; Nasim Nuñez,statcast_fallback,True,"K9 6.5, soft L3 4.3, elev_xFIP 4.60",26,0.10714285714285714,soft,FILLER,"soft-contact (K9 6.5, soft L3 4.3, elev_xFIP 4.60) + arsenal K% 16.6 (#26/28, soft, opp K% 22.3) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds"
