rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,offense_source,offense_factor,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source
1,Jack Perkins,678022,ATH,R,BOS,BOS@ATH,8:40 PM CT,2026-07-28T01:40:00Z,ok,prior:2026-07-26,5.941942857142856,27,3.0,season_start_est,swingman,26.829572272368353,27.77263852209363,7.207494442882597,7.128764684456473,2.414661504513152,9,9,1.0,27,,27,3.4468088603333067,1.5797873943194323,10.914894724388805,4.1499342328560545,medium,"high_hr,short_recent_ip,exit_hr",0.9311999999999999,"short_recent_ip,exit_hr",5.666666666666667,11.195121951219512,4.555555555555555,7.3911972125435526,0.3,21.005917159763314,0.24267933595589475,recent,0.984094412561536,616,471,"807799,678882,677800,575929,702332,663853,680776,655316,665966",Masataka Yoshida; Ceddanne Rafaela; Wilyer Abreu; Willson Contreras; Caleb Durbin; Romy Gonzalez; Jarren Duran; Andruw Monasterio; Carlos Narváez,
2,Zack Wheeler,554430,PHI,R,MIA,PHI@MIA,5:40 PM CT,2026-07-27T22:40:00Z,ok,official,6.25,24,2.6666666666666665,season_avg,starter,17.52200663627522,20.18105718054656,6.326088774575798,4.617626820822568,1.5769805972647697,9,9,1.0,24,,24,1.98,0.99,10.53,2.762541155666113,clear,,1.0,,11.0,14.85,6.666666666666667,10.3125,0.3,28.07017543859649,0.20581632026291993,recent,1.07,999,547,"672640,669065,681715,669364,689414,665052,691594,691788,805300",Otto Lopez; Kyle Stowers; Heriberto Hernández; Xavier Edwards; Liam Hicks; Griffin Conine; Javier Sanoja; Joe Mack; Jakob Marsee,
3,George Kirby,669923,SEA,R,TEX,SEA@TEX,1:35 PM CT,2026-07-27T18:35:00Z,ok,official,5.9,24,2.6666666666666665,season_avg,starter,22.48918647339767,24.51894256099908,5.582048524676819,5.328175633259244,2.02402678260579,9,9,1.0,24,,24,1.9396551724137931,0.853448275862069,8.068965517241379,3.587880475742036,clear,,1.0,,5.0,9.41860465116279,4.777777777777778,6.174418604651162,0.3,22.611464968152866,0.2885534763713272,recent,0.977327435129528,920,828,"592626,694671,677649,607043,694497,669394,670032,669701,553869",Joc Pederson; Wyatt Langford; Ezequiel Duran; Brandon Nimmo; Evan Carter; Jake Burger; Nicky Lopez; Josh Smith; Elias Díaz,
4,Keider Montero,672456,DET,R,BAL,BAL@DET,5:40 PM CT,2026-07-27T22:40:00Z,ok,official,6.25,25,2.7777777777777777,season_start_est,starter,22.330716082650383,22.64781872678149,5.457339969880884,5.8565447845589,2.0097644474385343,9,9,1.0,25,,25,1.8679245955242156,0.8490566343291889,6.622641747767673,4.413866462214639,low,elev_xfip,1.0,,4.666666666666667,6.517241379310345,6.444444444444444,4.525862068965517,0.3,25.54517133956386,0.22544453676751267,recent,1.0457749751828525,845,669,"687637,624413,683002,621493,665750,702616,691723,669236,644433",Dylan Beavers; Pete Alonso; Gunnar Henderson; Taylor Ward; Leody Taveras; Jackson Holliday; Coby Mayo; Jeremiah Jackson; Chadwick Tromp,
5,Payton Tolle,801139,BOS,L,ATH,BOS@ATH,8:40 PM CT,2026-07-28T01:40:00Z,ok,prior:2026-07-26,5.604166666666667,23,2.5555555555555554,season_avg,starter,18.740232955533276,21.00661364873533,5.370831537348202,4.226576109255196,1.686620965997995,9,9,1.0,23,,23,2.609665501524787,0.9033457505278109,9.635688005629984,3.939238682472258,clear,,1.0,,7.333333333333333,12.91304347826087,5.111111111111112,8.040760869565217,0.3,21.38157894736842,0.22237426088013626,recent,0.9995823144106619,360,1000,"805779,701762,641680,691016,695720,687515,675961,643446,703607",Jacob Wilson; Nick Kurtz; Jonah Heim; Tyler Soderstrom; Tommy White; Colby Thomas; Alika Williams; Jeff McNeil; Henry Bolte,
6,Merrill Kelly,518876,AZ,R,PIT,AZ@PIT,5:40 PM CT,2026-07-27T22:40:00Z,ok,official,5.1479426851851855,22,2.4444444444444446,season_avg,starter,25.12745675255884,28.948295587287493,5.2466078438106845,5.937793250261763,2.2614711077302956,9,9,1.0,22,,22,3.559485617867267,1.9099678925141435,5.6430869551554235,5.067072503510646,high,"elev_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb",0.893855,"exit_hr,exit_xfip_bb",4.0,6.352941176470588,5.666666666666667,3.6338418954248364,0.3,28.571428571428573,0.24462410720188146,recent,1.07,970,681,"663968,664040,668804,699013,656811,693304,694378,682997,680779",Jake Mangum; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Nick Gonzales; Jacob Gonzalez; Tyler Callihan; Henry Davis,
7,Slade Cecconi,677944,CLE,R,CIN,CLE@CIN,6:10 PM CT,2026-07-27T23:10:00Z,ok,official,5.183333333333334,23,2.5555555555555554,season_avg,starter,23.217396620689335,21.949230622668125,5.239473574258468,5.485676534654955,2.0895656958620403,9,9,1.0,23,,23,2.9517685611582216,1.3022508358050977,7.118971235734534,4.3732810079537785,medium,"elev_hr,elev_xfip",1.0,,4.0,8.1,4.444444444444445,4.665,0.3,24.127906976744185,0.23976407358621502,recent,1.02160068976014,991,706,"682829,701398,668709,553993,663993,663886,667472,695490,670770",Elly De La Cruz; Sal Stewart; JJ Bleday; Eugenio Suárez; Nathaniel Lowe; Tyler Stephenson; Dane Myers; Edwin Arroyo; TJ Friedl,
8,Tyler Phillips,663969,MIA,R,PHI,PHI@MIA,5:40 PM CT,2026-07-27T22:40:00Z,ok,official,5.301,23,2.5555555555555554,season_start_est,swingman,24.409193233818982,26.458237912356445,5.0331041754449375,5.8710059649213395,2.1968273910437084,9,9,1.0,23,,23,4.084033875283241,1.0210084688208103,6.579832354623,4.688695151480309,high,"high_bb,elev_xfip,short_recent_ip",0.8370000000000001,short_recent_ip,2.0,5.225806451612904,3.444444444444444,3.0780000000000003,0.3,27.272727272727273,0.24904289416171613,recent,1.0526627718474197,733,548,"607208,656941,547180,669016,664761,681082,592663,687282,702222",Trea Turner; Kyle Schwarber; Bryce Harper; Brandon Marsh; Alec Bohm; Bryson Stott; J.T. Realmuto; Gabriel Rincones Jr.; Justin Crawford,
9,Kumar Rocker,677958,TEX,R,SEA,SEA@TEX,1:35 PM CT,2026-07-27T18:35:00Z,ok,official,5.388888888888889,23,2.5555555555555554,season_start_est,starter,22.835478000533495,27.30822004957282,4.986239699331607,4.761186583460739,2.0551930200480144,9,9,1.0,23,,23,3.375000201165688,1.1250000670552294,8.062500480562477,4.197868603954965,clear,,1.0,,5.0,9.204545454545453,4.888888888888889,5.511363636363636,0.3,19.122257053291538,0.24103983583575475,recent,0.9633340464031875,925,673,"702284,677594,686527,668227,647304,670042,641598,641487,806068",Cole Young; Julio Rodríguez; Dominic Canzone; Randy Arozarena; Josh Naylor; Luke Raley; Mitch Garver; J.P. Crawford; Colt Emerson,
10,Max Fried,608331,NYY,L,CWS,NYY@CWS,6:40 PM CT,2026-07-27T23:40:00Z,ok,prior:2026-07-26,5.818181818181818,22,2.4444444444444446,season_avg,starter,18.728290896326676,22.79222660406886,4.663675320583591,4.168886821612923,1.685546180669401,9,9,1.0,22,,22,2.70000010299683,0.1350000051498415,7.695000293540966,3.723842871190284,clear,short_recent_ip,0.96,short_recent_ip,4.666666666666667,9.0,4.666666666666667,5.818181818181818,0.3,20.895522388059703,0.25169419190280673,recent,0.9778667019161429,219,755,"803011,808959,678246,695731,643217,671976,805367,682668,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Braden Montgomery; Andrew Benintendi; Tristan Peters; Chase Meidroth; Luisangel Acuña; Drew Romo,
