rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source
1,Jacob Misiorowski,694819,MIL,R,COL,COL@MIL,1:10 PM CT,2026-07-26T18:10:00Z,ok,official,6.0,23,2.5555555555555554,season_avg,starter,21.35944446170579,23.43649903262171,6.6961893671808514,4.905270524544074,1.9223500015535213,9,9,1.0,23,,23,2.1913043478260867,0.7043478260869566,13.539130434782608,2.089037464429503,clear,,9.666666666666666,16.3125,5.333333333333333,10.875,0.3,974,751,"664983,666160,696100,681198,691720,694249,650489,687859,666397",Jake McCarthy; Mickey Moniak; Hunter Goodman; TJ Rumfield; Kyle Karros; Cole Carrigg; Willi Castro; Troy Johnston; Edouard Julien,
2,Braxton Ashcraft,677952,PIT,R,CHC,CHC@PIT,12:35 PM CT,2026-07-26T17:35:00Z,ok,official,5.825396825396825,24,2.6666666666666665,season_avg,starter,27.116783074983196,27.43971335471762,6.244378900500049,6.6022711212197,2.4405104767484875,9,9,1.0,24,,24,2.166189206456803,1.2378224036896015,10.057307029978013,3.249039601113123,low,elev_hr,4.333333333333333,8.357142857142858,4.666666666666667,5.409297052154195,0.3,1077,698,"691718,673548,683737,664023,663538,624424,608348,699393,621020",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Ian Happ; Nico Hoerner; Michael Conforto; Carson Kelly; Pedro Ramírez; Dansby Swanson,
3,Logan Gilbert,669302,SEA,R,TEX,SEA@TEX,1:35 PM CT,2026-07-26T18:35:00Z,ok,official,5.984126984126984,24,2.6666666666666665,season_avg,starter,23.891222689090107,27.781089108564004,5.97978150259717,5.884660031539557,2.15021004201811,9,9,1.0,24,,24,1.875,1.125,9.675,3.4675874765962362,clear,,6.333333333333333,9.327272727272726,6.111111111111112,6.2017316017316,0.3,1115,763,"592626,694671,677649,607043,669394,694497,670032,669701,553869",Joc Pederson; Wyatt Langford; Ezequiel Duran; Brandon Nimmo; Jake Burger; Evan Carter; Nicky Lopez; Josh Smith; Elias Díaz,
4,Jacob deGrom,594798,TEX,R,SEA,SEA@TEX,1:35 PM CT,2026-07-26T18:35:00Z,ok,official,5.516666666666667,22,2.4444444444444446,season_avg,starter,26.006830330216296,29.820420368821424,5.807035334636969,5.55534268584502,2.3406147297194666,9,9,1.0,22,,22,2.0506330104119512,1.3670886736079675,10.93670938886374,3.1042777329231703,low,elev_hr,5.666666666666667,10.431818181818182,4.888888888888889,6.394318181818182,0.3,1019,683,"702284,677594,686527,668227,647304,663728,670042,641487,806068",Cole Young; Julio Rodríguez; Dominic Canzone; Randy Arozarena; Josh Naylor; Cal Raleigh; Luke Raley; J.P. Crawford; Colt Emerson,
5,Erick Fedde,607200,CWS,R,HOU,HOU@CWS,1:10 PM CT,2026-07-26T18:10:00Z,ok,official,7.0,30,3.3333333333333335,season_start_est,starter,19.59074919193202,21.93707931305788,5.744843779410324,5.731919684871892,1.7631674272738818,9,9,1.0,30,,30,3.387096913126337,1.5483871602863255,6.387097036181093,4.806573395935481,high,"high_hr,high_xfip",3.6666666666666665,7.425000000000001,4.444444444444444,5.775,0.3,925,669,"665161,670541,670623,514888,664774,673237,666211,701358,701305",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Jose Altuve; LaMonte Wade Jr.; Yainer Diaz; Taylor Trammell; Cam Smith; Zach Dezenzo,
6,Cristopher Sánchez,650911,PHI,L,NYY,NYY@PHI,6:20 PM CT,2026-07-26T23:20:00Z,ok,official,6.317460317460317,26,2.888888888888889,season_avg,starter,21.692295944417392,23.931859615629378,5.744124320797867,5.6136209359205305,1.9523066349975653,9,9,1.0,26,,26,1.6959800295407113,0.8140704141795414,10.243719378425896,2.5825923899674628,clear,,5.0,8.617021276595745,5.222222222222222,6.048632218844985,0.3,450,1552,"502671,700250,642708,691176,683011,663757,680474,676609,645305",Paul Goldschmidt; Ben Rice; Amed Rosario; Jasson Domínguez; Anthony Volpe; Trent Grisham; Max Schuemann; José Caballero; Ali Sánchez,
7,Reynaldo López,625643,ATL,R,BAL,ATL@BAL,12:35 PM CT,2026-07-26T17:35:00Z,ok,official,5.066666666666667,22,2.4444444444444446,season_start_est,swingman,27.57141066316599,28.427972603437464,5.719574987627738,5.9993928394681975,2.481426959684939,9,9,1.0,22,,22,3.8181818181818183,1.3636363636363635,8.181818181818182,4.439504699341276,medium,"elev_bb,elev_hr,elev_xfip",5.0,9.0,5.0,5.066666666666667,0.3,703,434,"687637,624413,683002,621493,687952,681297,665750,702616,644433",Dylan Beavers; Pete Alonso; Gunnar Henderson; Taylor Ward; Christian Encarnacion-Strand; Colton Cowser; Leody Taveras; Jackson Holliday; Chadwick Tromp,
8,Jameson Taillon,592791,CHC,R,PIT,CHC@PIT,12:35 PM CT,2026-07-26T17:35:00Z,ok,official,5.066666666666666,22,2.4444444444444446,season_avg,starter,24.954705835287395,27.514912453151336,5.645943370967095,5.506449713626463,2.245923525175866,9,9,1.0,22,,22,3.125,2.75,8.125,4.72293122601178,medium,"high_hr,elev_xfip",3.6666666666666665,10.607142857142858,3.1111111111111107,5.9714285714285715,0.3,669,535,"663968,664040,668804,699013,656811,693304,694378,676566,682997",Jake Mangum; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Nick Gonzales; Jacob Gonzalez; Shawn Ross; Tyler Callihan,
9,Kevin Gausman,592332,TOR,R,BOS,TOR@BOS,12:35 PM CT,2026-07-26T17:35:00Z,ok,official,5.53030303030303,23,2.5555555555555554,season_avg,starter,25.59496542075448,26.814888367138416,5.5697876487975275,5.63823419054644,2.303546887867903,9,9,1.0,23,,23,2.645533199376993,1.167146999725144,9.103746597856123,3.8712308550259382,clear,,5.0,8.804347826086957,5.111111111111112,5.410079051383399,0.3,1141,807,"807799,678882,677800,575929,702332,663853,680776,655316,665966",Masataka Yoshida; Ceddanne Rafaela; Wilyer Abreu; Willson Contreras; Caleb Durbin; Romy Gonzalez; Jarren Duran; Andruw Monasterio; Carlos Narváez,
10,Janson Junk,676083,MIA,R,SD,SD@MIA,12:40 PM CT,2026-07-26T17:40:00Z,ok,official,5.261904761904762,23,2.5555555555555554,season_avg,starter,23.880401118685178,27.76728428395995,5.56079845718212,5.633893266357732,2.149236100681666,9,9,1.0,23,,23,2.608695652173913,1.434782608695652,6.6521739130434785,4.427746113162974,medium,"elev_hr,elev_xfip",4.666666666666667,9.21951219512195,4.555555555555556,5.390243902439025,0.3,716,398,"665487,630105,592518,664034,701538,650859,657757,669134,823550",Fernando Tatis Jr.; Jake Cronenworth; Manny Machado; Ty France; Jackson Merrill; Luis Rengifo; Gavin Sheets; Luis Campusano; Sung-Mun Song,
