rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Dylan Cease,656302,TOR,R,NYY,TOR@NYY,12:35 PM CT,2026-08-22T17:35:00Z,ok,official,5.680916670117322,23,2.5555555555555554,season_avg,starter,26.04153526848789,29.136548832797164,6.788899729968815,6.316930167742759,2.3437381741639105,9,9,1.0,23,,23,3.857143142156579,0.5883777674476137,13.14043680633004,2.691082084450766,36.347196999999994,68.430826,43.75,37.1527777,15.8878504,21.37931,whiff,"K% 36.3, Contact% 68.4",low,elev_bb,0.95,,8.333333333333334,12.5,6.0,7.890162041829615,0.3,27.950310559006212,0.20881807682048115,9.006211180124224,60.24844720496895,whiff_prone,recent,1.07,neutral,0.993644099378882,0.9943503105590062,mild,1378,969,"663757,700250,671218,671277,682987,806146,665862,669224,676609",Trent Grisham; Ben Rice; Heliot Ramos; Luis García Jr.; Spencer Jones; George Lombard Jr.; Jazz Chisholm Jr.; Austin Wells; José Caballero,,35.23147702969448,97.2164161849711,FF,elite,True,"K9 13.1, L3 K9 12.5, stuff whiff 35.2%",savant+statcast,False,,4,0.896551724137931,elite,elite,3.541535268487891,-1.9087752905183208,,"arsenal K% 26.0 (elite solo, +3.5 vs lg, -1.9 vs opp K%, opp K% 28.0; slate #4/29 elite); stuff whiff 35.2% (elite), FF 97.2 mph; pitcher style WHIFF (K% 36.3, Contact% 68.4); stuff ceiling (K9 13.1, L3 K9 12.5, stuff whiff 35.2%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.8 (≥5.5)",0,trust,8.0,66.0,184.0,22.0,7.0,31.0,.197,.709,35.869565217391305,3,25,8.333333333333334,3,26,8.666666666666666,2026-08-22 A: 6.2IP 8K; 2026-08-16 H: 6.1IP 10K; 2026-05-19 A: 5.0IP 9K; 2025-05-07 A: 6.2IP 9K; 2024-05-25 H: 6.2IP 9K; 2023-08-07 H: 5.1IP 6K
2,Tarik Skubal,669373,LAD,L,PIT,PIT@LAD,6:15 PM CT,2026-08-22T23:15:00Z,ok,official,5.910385563305855,23,2.5555555555555554,season_avg,starter,25.22389038629453,29.523375170133274,6.42433773125323,6.346600312643828,2.270150134766508,9,9,1.0,23,,23,1.5835777480402915,0.9501466488241749,10.689149799271968,2.712901269168406,30.269057999999998,69.87951799999999,43.010752600000004,36.2007168,6.930693000000001,15.384614999999998,whiff,"K% 30.3, Contact% 69.9",clear,,1.0,,6.333333333333333,10.058823529411764,5.666666666666667,6.605725041341838,0.3,25.602409638554217,0.25569510740820983,9.63855421686747,62.65060240963855,whiff_prone,recent,1.07,three_true,0.9926379518072289,0.9879530120481927,elevated,401,1319,"693304,699013,668804,665833,804668,663968,694377,669707,680779",Nick Gonzales; Esmerlyn Valdez; Bryan Reynolds; Oneil Cruz; Rafael Flores Jr.; Jake Mangum; Nick Yorke; Jared Triolo; Henry Davis,,30.621762917933136,96.7364238410596,FF,elite,True,"K9 10.7, L3 K9 10.1, stuff whiff 30.6%",savant,False,,7,0.7931034482758621,strong,elite,2.7238903862945314,-0.37851925225968586,,"arsenal K% 25.2 (elite solo, +2.7 vs lg, -0.4 vs opp K%, opp K% 25.6; slate #7/29 strong); stuff whiff 30.6% (elite), FF 96.7 mph; pitcher style WHIFF (K% 30.3, Contact% 69.9); stuff ceiling (K9 10.7, L3 K9 10.1, stuff whiff 30.6%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.4 (≥5.5)",0,trust,5.0,29.0,105.0,7.0,2.0,22.0,.229,.619,27.61904761904762,2,14,7.0,0,0,,2025-06-19 H: 5.2IP 6K; 2024-05-29 H: 7.0IP 8K
3,David Peterson,656849,CHC,L,SEA,CHC@SEA,6:15 PM CT,2026-08-22T23:15:00Z,ok,official,5.99643714253798,27,3.0,season_start_est,starter,21.500585772154547,23.282124373973257,5.854821998227781,5.689235849339073,1.9350527194939093,9,9,1.0,27,,27,3.765578901419576,0.8813057003322412,7.611276502869356,4.142161127614855,18.737673,80.13856799999999,49.299719800000005,29.4117647,5.7142857,14.088398,contact_gb,GB% 49.3,low,elev_bb,0.95,,5.666666666666667,9.36734693877551,5.444444444444444,6.241189678968102,0.3,21.98391420911528,0.22119228807419486,10.187667560321715,65.68364611260054,neutral,recent,1.021380212163757,patient,0.9595164879356568,0.9773479892761394,elevated,537,1315,"680977,668227,686527,677594,647304,621493,663728,702284,660844",Brendan Donovan; Randy Arozarena; Dominic Canzone; Julio Rodríguez; Josh Naylor; Taylor Ward; Cal Raleigh; Cole Young; Leo Rivas,,21.295575577834374,92.03644524236984,SI,soft,False,,savant+statcast,False,,16,0.4827586206896552,avg,avg,-0.9994142278454525,-0.4833284369607327,,"arsenal K% 21.5 (avg solo, -1.0 vs lg, -0.5 vs opp K%, opp K% 22.0; slate #16/29 avg); stuff whiff 21.3% (soft), SI 92.0 mph; pitcher style GB/contact (GB% 49.3)",1,,1.0,4.0,19.0,0.0,1.0,7.0,.389,1.088,21.05263157894737,1,4,4.0,0,0,,2023-09-02 H: 4.0IP 4K
4,Luis Castillo,622491,CWS,R,NYM,NYM@CWS,6:10 PM CT,2026-08-22T23:10:00Z,ok,prior:2026-08-21,5.578794285714285,25,2.7777777777777777,season_start_est,starter,21.92892053954557,24.60643407985037,5.680025035491209,5.672539177927086,1.9736028485591013,9,9,1.0,25,,25,2.8092487020319608,1.4826590371835349,7.959537989090555,4.336110046770899,20.07874,77.641509,37.709497199999994,41.6201117,9.3959731,12.637362999999999,balanced,,medium,"elev_hr,elev_xfip",1.0,,5.333333333333333,9.191489361702127,5.222222222222222,5.697492036474164,0.3,24.571428571428573,0.23176852272440507,9.142857142857142,64.85714285714286,neutral,recent,1.053343583604613,neutral,0.9924142857142857,0.9932571428571428,mild,1165,875,"805999,596019,666182,701807,676724,673357,683146,543760,682626",A.J. Ewing; Francisco Lindor; Bo Bichette; Carson Benge; Jared Young; Luis Robert Jr.; Brett Baty; Marcus Semien; Francisco Alvarez,,24.51804806277587,95.32436781609194,FF,avg,False,,savant,False,,15,0.5172413793103449,avg,avg,-0.5710794604544311,-2.642508031883004,,"arsenal K% 21.9 (avg solo, -0.6 vs lg, -2.6 vs opp K%, opp K% 24.6; slate #15/29 avg); stuff whiff 24.5% (avg), FF 95.3 mph",0,,6.0,37.0,147.0,12.0,10.0,32.0,.242,.823,25.170068027210885,1,9,9.0,2,7,3.5,2025-08-15 A: 4.0IP 5K; 2024-08-11 H: 6.0IP 9K; 2023-09-02 A: 5.0IP 2K
5,Cody Bradford,674003,TEX,L,LAA,LAA@TEX,6:05 PM CT,2026-08-22T23:05:00Z,ok,prior:2026-08-21,5.2666666666666675,22,2.4444444444444446,season_shrunk,starter,28.464581307496935,31.401922512099507,5.592323682365024,6.516984142509041,2.561812317674724,9,9,1.0,22,,22,2.3478261356317716,0.5869565339079429,5.869565339079428,4.73114869587276,15.384614999999998,85.585586,29.787234,42.5531914,10.0,8.0,balanced,,low,elev_xfip,1.0,,3.3333333333333335,5.869565217391305,5.111111111111111,3.4347826086956528,0.3,29.245283018867923,0.22381682162590802,6.289308176100629,62.893081761006286,whiff_prone,recent,1.07,free_swing,1.016085534591195,1.0,low,72,154,"687263,545361,694208,687093,642350,694203,666139,518595,672724",Zach Neto; Mike Trout; Moisés Ballesteros; Vaughn Grissom; Jose Siri; Denzer Guzman; Josh Lowe; Travis d'Arnaud; Oswald Peraza,statcast_fallback,19.775316195868303,88.53392857142856,FF,soft,False,,statcast,True,"K9 5.9, soft L3 3.3, elev_xFIP 4.73",3,0.9310344827586207,elite,elite,5.964581307496935,-0.7807017113709875,MATCHUP_OK,"soft-contact profile (K9 5.9, soft L3 3.3, elev_xFIP 4.73) but arsenal K% 28.5 (elite solo, +6.0 vs lg, -0.8 vs opp K%, opp K% 29.2; slate #3/29 elite); stuff whiff 19.8% (soft), FF 88.5 mph — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds",0,caution,4.0,11.0,83.0,4.0,1.0,16.0,.213,.589,13.25301204819277,2,7,3.5,2,4,2.0,2026-08-11 A: 7.0IP 1K; 2024-09-05 H: 6.0IP 4K; 2023-09-26 A: 4.0IP 3K; 2023-06-13 H: 4.1IP 3K
6,Michael Soroka,647336,AZ,R,CIN,CIN@AZ,7:10 PM CT,2026-08-23T00:10:00Z,ok,prior:2026-08-21,4.964537772151899,20,2.2222222222222223,season_avg,starter,29.944357718547558,21.77078472384043,5.504721217706478,6.12307550778716,2.6949921946692803,9,9,1.0,20,,20,2.0543478260869565,0.5869565217391305,8.608695652173912,3.613942925308062,23.466667,81.414702,37.8378378,37.4517374,7.2164948,13.02682,balanced,,low,short_recent_ip,0.93,short_recent_ip,3.0,7.363636363636363,3.6666666666666665,4.061894540851553,0.3,25.31645569620253,0.21074684845303285,9.810126582278482,63.607594936708864,whiff_prone,recent,1.07,three_true,0.9916943037974684,0.9864088607594936,elevated,895,551,"682829,701398,667472,553993,680574,668709,624431,669911,663647",Elly De La Cruz; Sal Stewart; Dane Myers; Eugenio Suárez; Matt McLain; JJ Bleday; Jose Trevino; Michael Toglia; Ke'Bryan Hayes,,22.36784553118378,93.56581740976645,FF,avg,False,,savant+statcast,False,,2,0.9655172413793104,elite,elite,7.444357718547558,4.627902022345026,,"arsenal K% 29.9 (elite solo, +7.4 vs lg, +4.6 vs opp K%, opp K% 25.3; slate #2/29 elite); stuff whiff 22.4% (avg), FF 93.6 mph; total caution — Exp K 5.5 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,6.0,28.0,109.0,14.0,2.0,15.0,.165,.545,25.68807339449541,3,13,4.333333333333333,2,8,4.0,2026-06-13 A: 7.0IP 7K; 2025-09-18 A: 1.0IP 1K; 2025-08-04 H: 2.0IP 3K; 2025-07-23 H: 5.2IP 6K; 2024-04-14 H: 4.2IP 4K
7,Shane McClanahan,663556,TB,L,BAL,TB@BAL,6:05 PM CT,2026-08-22T23:05:00Z,ok,official,4.531904761904761,19,2.111111111111111,season_avg,starter,32.05122660083103,32.34482653862651,5.45958649236382,6.257038326426105,2.8846103940747927,9,9,1.0,19,,19,3.0781760487597363,0.7035830968593683,8.267101388097577,4.016458443969807,22.222222,75.162549,44.0860215,39.426523200000005,9.090909,12.110727,balanced,,low,short_recent_ip,0.93,short_recent_ip,3.0,7.147058823529411,3.777777777777778,3.598865546218487,0.3,23.511904761904763,0.2529494735991969,8.333333333333334,66.07142857142857,neutral,recent,1.0259947744573437,neutral,0.9997,1.0,neutral,351,1253,"702616,624413,691723,641933,683002,687952,681047,665750,665966",Jackson Holliday; Pete Alonso; Coby Mayo; Tyler O'Neill; Gunnar Henderson; Christian Encarnacion-Strand; Christian Franklin; Leody Taveras; Carlos Narváez,,26.40832378513177,95.5861386138614,FF,strong,True,stuff whiff 26.4% + FB 95.6,savant+statcast,False,,1,1.0,elite,elite,9.55122660083103,8.539321838926266,,"arsenal K% 32.1 (elite solo, +9.6 vs lg, +8.5 vs opp K%, opp K% 23.5; slate #1/29 elite); stuff whiff 26.4% (strong), FF 95.6 mph; stuff ceiling (stuff whiff 26.4% + FB 95.6)",0,,12.0,69.0,265.0,20.0,6.0,57.0,.237,.675,26.037735849056602,3,14,4.666666666666667,2,10,5.0,2026-08-17 H: 3.1IP 3K; 2026-05-25 A: 5.1IP 3K; 2026-05-18 H: 5.0IP 6K; 2023-07-22 H: 4.0IP 5K; 2023-05-08 A: 6.0IP 7K
8,Patrick Sandoval,663776,BOS,L,SF,SF@BOS,6:15 PM CT,2026-08-22T23:15:00Z,ok,official,4.371428571428571,21,2.3333333333333335,season_avg,starter,25.32063368317621,25.701128693305336,5.145920120921832,5.477845070704658,2.2788570314858587,9,9,1.0,21,,21,4.235294117647059,0.7941176470588235,9.264705882352942,4.482940976759966,21.875,78.021978,33.9622641,41.5094339,18.1818181,16.666667,fly_popup,"FB% 41.5, IFFB% 18.2",medium,"high_bb,elev_xfip",0.9,,5.0,9.0,5.0,4.371428571428571,0.3,23.67601246105919,0.22827818110044004,8.09968847352025,67.601246105919,neutral,recent,1.0201173706127404,neutral,1.0018028037383178,1.0,neutral,140,439,"682674,646240,642715,805811,678545,808982,683766,687551,668800",Victor Bericoto; Rafael Devers; Willy Adames; Bryce Eldridge; Osleivis Basabe; Jung Hoo Lee; Christian Koss; Drew Gilbert; Andrew Knizner,statcast_fallback,26.657309752819593,93.60967741935484,FF,strong,False,,statcast,False,,6,0.8275862068965517,elite,elite,2.8206336831762115,1.6446212221170207,,"arsenal K% 25.3 (elite solo, +2.8 vs lg, +1.6 vs opp K%, opp K% 23.7; slate #6/29 elite); stuff whiff 26.7% (strong), FF 93.6 mph; pitcher style FLY/popup (FB% 41.5, IFFB% 18.2)",1,,3.0,14.0,70.0,5.0,4.0,19.0,.292,.897,20.0,1,8,8.0,1,5,5.0,2024-06-15 A: 5.0IP 5K; 2023-08-07 H: 6.2IP 8K
9,Drew Anderson,623454,DET,R,KC,DET@KC,6:15 PM CT,2026-08-22T23:15:00Z,ok,official,6.594269746478873,28,3.111111111111111,season_start_est,swingman,20.58156156967249,23.307246238051924,5.083757906597292,5.254481785872866,1.8523405412705243,9,9,1.0,28,,28,3.4192144579378967,1.296943415079892,10.257643373813691,3.548397994215485,26.605505,73.234811,48.0392156,35.7843137,10.9589041,14.975845,whiff,"K% 26.6, Contact% 73.2",low,"elev_hr,short_recent_ip",0.96,short_recent_ip,3.0,6.394736842105264,4.222222222222222,4.685402188287621,0.3,18.309859154929576,0.28137009441330724,9.859154929577464,69.29577464788733,contact_heavy,recent,0.9352490256924478,patient,0.9639514084507043,0.9812901408450705,elevated,658,613,"695600,677951,695506,521692,686469,679845,686681,686475,664728",Carter Jensen; Bobby Witt Jr.; Jac Caglianone; Salvador Perez; Vinnie Pasquantino; Nick Loftin; Michael Massey; Tyler Tolbert; Kyle Isbel,,29.45999308661179,95.7091089108911,FF,strong,True,"K9 10.3, stuff whiff 29.5%",savant+statcast,False,,18,0.41379310344827586,avg,avg,-1.9184384303275088,2.271702414742915,,"arsenal K% 20.6 (avg solo, -1.9 vs lg, +2.3 vs opp K%, opp K% 18.3; slate #18/29 avg); stuff whiff 29.5% (strong), FF 95.7 mph; pitcher style WHIFF (K% 26.6, Contact% 73.2); stuff ceiling (K9 10.3, stuff whiff 29.5%); also swingman — fade full-outing chalk",1,,3.0,5.0,20.0,1.0,0.0,9.0,.529,1.173,25.0,2,1,0.5,1,4,4.0,2026-07-23 H: 1.0IP 1K; 2026-05-10 A: 2.0IP 4K; 2026-04-16 H: 0.1IP 0K
10,Eury Pérez,691587,MIA,R,WSH,WSH@MIA,3:10 PM CT,2026-08-22T20:10:00Z,ok,official,5.085090909090909,20,2.2222222222222223,season_avg,starter,24.76122341103091,27.12216264749413,5.082832720618661,5.299797393091595,2.228510106992782,9,9,1.0,20,,20,3.59510877018615,0.9538043676004071,9.75815237621955,3.925251383041974,26.923077,72.986248,39.202657800000004,43.5215946,14.5038167,16.776315999999998,whiff,"K% 26.9, Contact% 73.0, FB% 43.5, IFFB% 14.5",low,"elev_bb,short_recent_ip",0.9119999999999999,short_recent_ip,4.0,8.1,4.444444444444445,4.576581818181818,0.3,26.460481099656356,0.23367012701597456,6.8728522336769755,63.91752577319588,whiff_prone,recent,1.07,free_swing,1.0114171821305842,1.0,low,1169,824,"695734,686611,691781,694673,695670,677588,696285,683083,687605",Daylen Lile; Dylan Crews; Brady House; Abimelec Ortiz; Harry Ford; José Tena; Jacob Young; Nasim Nuñez; Andrew Pinckney,,29.246982159075753,98.26348387096776,FF,strong,True,stuff whiff 29.2%,savant+statcast,False,,8,0.7586206896551724,strong,elite,2.2612234110309117,-1.699257688625444,,"arsenal K% 24.8 (elite solo, +2.3 vs lg, -1.7 vs opp K%, opp K% 26.5; slate #8/29 strong); stuff whiff 29.2% (strong), FF 98.3 mph; pitcher style WHIFF (K% 26.9, Contact% 73.0, FB% 43.5, IFFB% 14.5); stuff ceiling (stuff whiff 29.2%); K-first arm — confirms overs / SPIKE caution on soft unders",0,,6.0,27.0,124.0,9.0,6.0,30.0,.263,.808,21.774193548387096,3,20,6.666666666666667,3,7,2.3333333333333335,2025-09-10 H: 5.2IP 7K; 2025-09-03 A: 4.0IP 2K; 2025-06-15 A: 4.0IP 0K; 2023-09-01 A: 4.2IP 5K; 2023-08-26 H: 6.0IP 7K; 2023-05-18 H: 5.0IP 6K
