pitcher,pitcher_id,opponent,game,game_status,expected_ks,expected_k_pct,projected_ip,arsenal_abs_grade,matchup_grade,pitcher_style,contact_grade,lineup_bip_pct,offense_factor,spike_risk,stuff_whiff_pct,ticket_outlook,total_trust,strike_pct,f_strike_pct,zone_pct,actual_ks,actual_ip,actual_bf,status,err,abs_err
Eury Pérez,691587,ATL,MIA@ATL,Final,5.496917613541464,25.1753725208466,5.483333333333333,elite,elite,whiff,neutral,67.7710843373494,1.029168037773081,True,28.678370990926545,,,64.2018779342723,61.938534,41.950646000000006,9.0,5.0,24.0,Final,3.5030823864585363,3.5030823864585363
Bryce Elder,693821,MIA,MIA@ATL,Final,4.528728083241516,18.876892418064447,5.757575757575758,soft,soft,balanced,neutral,68.58006042296073,0.9861180220275648,False,21.508103917381,,,62.94444444444444,63.095238,40.800445,3.0,7.0,25.0,Final,-1.528728083241516,1.528728083241516
Dean Kremer,665152,KC,MIN@KC,Final,3.9516666865595744,18.988642871580662,4.97125,soft,soft,whiff,neutral,69.00584795321637,0.9851398043567984,False,27.08143834450158,,,62.876254180602,63.398693,41.038526,2.0,5.0,19.0,Final,-1.9516666865595744,1.9516666865595744
Noah Cameron,702070,MIN,MIN@KC,Final,4.69228856362811,19.15887004890636,5.841269841269842,soft,soft,balanced,contact_heavy,71.51702786377709,0.951980888343992,False,26.165574650912998,,,62.78350515463917,60.12024,40.206186,9.0,8.0,28.0,Final,4.30771143637189,4.30771143637189
Paul Skenes,694973,MIL,PIT@MIL,Final,6.045845463821743,22.7358917579952,5.198389788950962,strong,strong,whiff,whiff_prone,63.40782122905028,1.0465457313808486,True,28.162517814726844,,trust,64.86997635933807,60.742188,39.574468,6.0,5.0,20.0,Final,-0.045845463821742705,0.045845463821742705
Kyle Harrison,690986,PIT,PIT@MIL,Final,4.997230388147981,24.23231674161116,4.5501595568666025,elite,elite,whiff,whiff_prone,62.24188790560472,1.07,True,29.014412574001504,,,66.52949245541838,64.516129,42.827728,10.0,5.0,16.0,Final,5.002769611852019,5.002769611852019
Casey Mize,663554,AZ,SD@AZ,In Progress,3.909509602978853,20.95802746663334,5.08235294117647,avg,avg,whiff,contact_heavy,72.22222222222223,0.93,False,27.784000289981154,,,64.94688922610015,65.982405,43.930197,1.0,3.3333333333333335,22.0,In Progress,-2.909509602978853,2.909509602978853
Mitch Bratt,683352,SD,SD@AZ,In Progress,3.001792348602591,20.55012379038409,3.528375,avg,avg,fly_popup,neutral,68.31395348837209,0.9672169275682596,False,16.301945878868768,UNDER_OK,,61.62162162162162,58.163265,40.27027,7.0,5.0,18.0,In Progress,3.998207651397409,3.998207651397409
Drew Anderson,623454,SEA,DET@SEA,In Progress,1.3125381578156574,21.659251290159418,1.382519966759003,avg,avg,whiff,contact_heavy,70.91412742382272,0.93,True,29.927526214879165,,,64.3646408839779,61.956522,38.156682,0.0,3.6666666666666665,13.0,In Progress,-1.3125381578156574,1.3125381578156574
Bryan Woo,693433,DET,DET@SEA,In Progress,4.8489211550371785,21.19180389485711,5.597396496759502,avg,avg,whiff,neutral,68.4971098265896,0.9363533171739128,True,25.136821071752948,,,67.06072004298764,67.60563400000001,42.956989,5.0,6.333333333333333,24.0,In Progress,0.15107884496282153,0.15107884496282153
