batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Angel Genao,694197,9,S,CLE,Nolan McLean,NYM,R,NYM@CLE,12:10 PM CT,official,0.5714285714285714,vs_rhp,20.0,80.0,0.521,0.491,131.60714285714283,131.60714285714283,True,12.388179950610219,1
Max Clark,703601,7,L,DET,Bryce Miller,SEA,R,DET@SEA,3:10 PM CT,official,0.3333333333333333,vs_rhp,0.0,50.0,0.391,0.299,72.08333333333333,72.08333333333333,True,21.637336547715826,2
Brady House,691781,3,R,WSH,Cristopher Sánchez,PHI,L,WSH@PHI,5:05 PM CT,official,0.3548387096774194,vs_lhp,12.6,46.7,0.334,0.262,65.38543346774193,61.25037298387097,False,19.923936170472288,3
John Rave,670231,7,L,KC,Bailey Ober,MIN,R,MIN@KC,6:40 PM CT,official,0.2962962962962963,vs_rhp,20.7,41.4,0.388,0.281,65.05462962962963,65.72981481481482,False,25.1135910224439,4
Otto Lopez,672640,1,R,MIA,Martín Pérez,ATL,L,MIA@ATL,6:15 PM CT,official,0.37735849056603776,vs_lhp,6.4,41.9,0.33,0.287,64.17116155660378,57.972612028301896,False,12.314674728119217,5
Drake Baldwin,686948,1,L,ATL,Janson Junk,MIA,R,MIA@ATL,6:15 PM CT,official,0.29245283018867924,vs_rhp,14.6,51.1,0.382,0.281,63.400595518867924,63.877329009433964,False,25.338496376811595,6
Riley Greene,682985,4,L,DET,Bryce Miller,SEA,R,DET@SEA,3:10 PM CT,official,0.30141843971631205,vs_rhp,15.0,49.3,0.367,0.261,63.0259064716312,62.5643594858156,False,27.85296397219249,7
Michael Harris II,671739,4,L,ATL,Janson Junk,MIA,R,MIA@ATL,6:15 PM CT,official,0.29615384615384616,vs_rhp,11.5,49.2,0.353,0.294,61.051634615384614,60.4689423076923,False,20.447085769980504,8
Bobby Witt Jr.,677951,2,R,KC,Bailey Ober,MIN,R,MIN@KC,6:40 PM CT,official,0.26855123674911663,vs_rhp,12.1,52.0,0.385,0.306,60.731373674911666,62.40881183745583,False,18.30344021371644,9
Dillon Dingler,693307,3,R,DET,Bryce Miller,SEA,R,DET@SEA,3:10 PM CT,official,0.29136690647482016,vs_rhp,11.6,44.9,0.376,0.287,60.533878147482014,60.266157823741004,False,20.4648465481931,10
Bryce Harper,547180,3,L,PHI,Miles Mikolas,WSH,R,WSH@PHI,5:05 PM CT,official,0.28174603174603174,vs_rhp,11.7,45.0,0.388,0.275,59.82710317460318,60.134801587301595,False,20.55783726066064,11
Miguel Vargas,678246,3,R,CWS,Ranger Suarez,BOS,L,CWS@BOS,6:10 PM CT,official,0.2661290322580645,vs_lhp,14.5,46.8,0.388,0.268,59.792278225806456,61.29707661290323,False,14.749433108355737,12
Fernando Tatis Jr.,665487,1,R,SD,Kohl Drake,AZ,L,SD@AZ,8:40 PM CT,official,0.2826086956521739,vs_lhp,10.5,52.7,0.354,0.284,59.695557065217386,59.7657472826087,False,16.026225738824646,13
Ronald Acuña Jr.,660670,2,R,ATL,Janson Junk,MIA,R,MIA@ATL,6:15 PM CT,official,0.27450980392156865,vs_rhp,14.4,44.9,0.376,0.256,59.42066789215687,60.07080269607843,False,25.0503769718016,14
Pete Crow-Armstrong,691718,1,L,CHC,Dylan Cease,TOR,R,TOR@CHC,1:20 PM CT,official,0.28040540540540543,vs_rhp,12.0,49.5,0.366,0.257,59.379603040540545,59.51120777027027,False,24.505007587066594,15
Ty France,664034,4,R,SD,Kohl Drake,AZ,L,SD@AZ,8:40 PM CT,official,0.30120481927710846,vs_lhp,10.7,49.5,0.331,0.255,59.36204442771085,57.68617846385543,False,27.57232704402516,16
Jac Caglianone,695506,3,L,KC,Bailey Ober,MIN,R,MIN@KC,6:40 PM CT,official,0.26037735849056604,vs_rhp,14.2,55.4,0.351,0.27,59.31273584905661,60.9663679245283,False,26.7274216419735,17
Gabriel Moreno,672515,3,R,AZ,Walker Buehler,SD,R,SD@AZ,8:40 PM CT,official,0.30493273542600896,vs_rhp,7.5,42.0,0.371,0.291,59.243273542600896,57.52913677130045,False,11.02751392135521,18
Pete Alonso,624413,2,R,BAL,Ryan Johnson,LAA,R,LAA@BAL,11:35 AM CT,official,0.25752508361204013,vs_rhp,12.7,54.9,0.375,0.272,59.23219586120402,61.20406668060201,False,20.674208587111814,19
Matt Olson,621566,3,L,ATL,Janson Junk,MIA,R,MIA@ATL,6:15 PM CT,official,0.26587301587301587,vs_rhp,14.6,50.2,0.359,0.248,58.80605158730159,59.8574007936508,False,27.15147974192179,20
Elly De La Cruz,682829,1,S,CIN,Mason Barnett,ATH,R,ATH@CIN,11:40 AM CT,official,0.2518248175182482,vs_rhp,14.2,52.3,0.369,0.277,58.75341925182482,61.02280337591242,False,29.33658008658009,21
Endy Rodríguez,682848,4,S,PIT,Dustin May,MIL,R,PIT@MIL,1:10 PM CT,official,0.2972972972972973,vs_rhp,11.0,46.2,0.342,0.247,58.712854729729735,57.18673986486487,False,21.099899439464476,22
Randal Grichuk,545341,4,R,CWS,Ranger Suarez,BOS,L,CWS@BOS,6:10 PM CT,official,0.2830188679245283,vs_lhp,11.3,46.8,0.338,0.276,58.11001179245284,57.597818396226415,False,24.276787850515955,23
Jackson Merrill,701538,5,L,SD,Kohl Drake,AZ,L,SD@AZ,8:40 PM CT,official,0.29914529914529914,vs_lhp,10.5,46.2,0.322,0.253,57.99452991452992,56.04226495726496,False,23.010182326147483,24
Dylan Crews,686611,1,R,WSH,Cristopher Sánchez,PHI,L,WSH@PHI,5:05 PM CT,official,0.3037974683544304,vs_lhp,10.2,44.1,0.328,0.24,57.82068433544305,55.44393591772152,False,26.151801790686754,25
Garrett Mitchell,669003,3,L,MIL,Braxton Ashcraft,PIT,R,PIT@MIL,1:10 PM CT,official,0.25680933852140075,vs_rhp,14.0,50.2,0.353,0.258,57.61718385214007,59.04171692607003,False,30.25703221458183,26
Dominic Canzone,686527,3,L,SEA,Framber Valdez,DET,L,DET@SEA,3:10 PM CT,official,0.25,vs_lhp,14.1,46.3,0.37,0.274,57.3071875,59.3028125,False,21.05468813387424,27
Nathaniel Lowe,663993,4,L,CLE,Nolan McLean,NYM,R,NYM@CLE,12:10 PM CT,official,0.288135593220339,vs_rhp,9.2,42.7,0.347,0.272,57.0694968220339,55.88834216101695,False,27.417568077454156,28
Jackson Chourio,694192,2,R,MIL,Braxton Ashcraft,PIT,R,PIT@MIL,1:10 PM CT,official,0.26693227091633465,vs_rhp,13.0,46.9,0.333,0.253,56.561039591633474,56.78130104581673,False,24.829697810026413,29
Brandon Lowe,664040,2,L,PIT,Dustin May,MIL,R,PIT@MIL,1:10 PM CT,official,0.2751677852348993,vs_rhp,12.3,45.3,0.333,0.246,56.55771602348993,56.109951761744966,False,21.40586841545447,30
Tyler Stephenson,663886,4,R,CIN,Mason Barnett,ATH,R,ATH@CIN,11:40 AM CT,official,0.2681818181818182,vs_rhp,11.8,45.6,0.349,0.253,56.502556818181816,56.682215909090914,False,29.34069770019939,31
Heriberto Hernández,681715,2,R,MIA,Martín Pérez,ATL,L,MIA@ATL,6:15 PM CT,official,0.2553191489361702,vs_lhp,12.4,50.3,0.35,0.251,56.42097739361702,57.58689494680851,False,18.98784145902981,32
Mike Trout,545361,2,R,LAA,Brandon Young,BAL,R,LAA@BAL,11:35 AM CT,official,0.2204724409448819,vs_rhp,16.9,47.9,0.39,0.257,56.40443159448819,60.5064345472441,False,30.92372167349773,33
Gleyber Torres,650402,2,R,DET,Bryce Miller,SEA,R,DET@SEA,3:10 PM CT,official,0.3148148148148148,vs_rhp,8.1,33.5,0.337,0.246,56.34054398148149,52.73417824074074,False,24.904147787525304,34
Brice Turang,668930,1,L,MIL,Braxton Ashcraft,PIT,R,PIT@MIL,1:10 PM CT,official,0.28846153846153844,vs_rhp,8.1,42.3,0.347,0.257,56.11896634615384,54.597764423076924,False,29.23772939130445,35
Tommy White,695720,2,R,ATH,Andrew Abbott,CIN,L,ATH@CIN,11:40 AM CT,official,0.3333333333333333,vs_lhp,5.4,32.1,0.298,0.288,56.08302083333333,50.88697916666666,False,23.843661875427788,36
Cooper Pratt,806198,9,R,MIL,Braxton Ashcraft,PIT,R,PIT@MIL,1:10 PM CT,official,0.3333333333333333,vs_rhp,4.0,31.0,0.33,0.268,55.99270833333333,50.862291666666664,False,12.053194885494904,37
Brandon Marsh,669016,6,L,PHI,Miles Mikolas,WSH,R,WSH@PHI,5:05 PM CT,official,0.29491525423728815,vs_rhp,8.5,44.4,0.31,0.262,55.992150423728816,53.770137711864415,False,17.94280759378045,38
Munetaka Murakami,808959,2,L,CWS,Ranger Suarez,BOS,L,CWS@BOS,6:10 PM CT,official,0.19767441860465115,vs_lhp,19.9,59.0,0.367,0.22,55.89431686046512,61.429345930232564,False,38.10520387871108,39
Kevin McGonigle,805808,1,L,DET,Bryce Miller,SEA,R,DET@SEA,3:10 PM CT,official,0.2972972972972973,vs_rhp,7.1,36.4,0.354,0.264,55.81910472972973,53.57048986486487,False,7.566486117210754,40
Trevor Larnach,663616,1,L,MIN,Michael Wacha,KC,R,MIN@KC,6:40 PM CT,official,0.2988505747126437,vs_rhp,7.9,36.4,0.338,0.262,55.65943247126438,53.16315373563219,False,18.361041014420028,41
Jose Siri,642350,7,R,LAA,Brandon Young,BAL,R,LAA@BAL,11:35 AM CT,official,0.29508196721311475,vs_rhp,11.3,39.2,0.311,0.23,55.573196721311476,53.131598360655744,False,21.856574249249253,42
Kyle Schwarber,656941,1,L,PHI,Miles Mikolas,WSH,R,WSH@PHI,5:05 PM CT,official,0.21544715447154472,vs_rhp,17.3,52.3,0.366,0.236,55.46065294715447,59.516420223577235,False,34.30760192800381,43
Randy Arozarena,668227,2,R,SEA,Framber Valdez,DET,L,DET@SEA,3:10 PM CT,official,0.27722772277227725,vs_lhp,7.9,43.0,0.351,0.265,55.39964727722772,54.59701113861386,False,17.483131773920746,44
Bryan Reynolds,668804,3,S,PIT,Dustin May,MIL,R,PIT@MIL,1:10 PM CT,official,0.2579505300353357,vs_rhp,11.1,46.7,0.352,0.249,55.38099050353357,56.04658900176678,False,23.50641056975908,45
