rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Kevin Gausman,592332,CHC,R,CIN,CIN@CHC,1:20 PM CT,2026-08-29T18:20:00Z,ok,official,5.567901234567902,23,2.5555555555555554,season_avg,starter,28.903067874975605,30.173469692910412,6.789525315012901,7.0147980690660505,2.6012761087478045,9,9,1.0,23,,23,2.454545537590671,1.077605357966636,8.920177685390486,3.7627957327542463,23.538705,75.340272,38.018433099999996,41.9354838,10.9890109,17.873303,balanced,,clear,,1.0,,6.0,10.125,5.333333333333333,6.263888888888889,0.3,25.072046109510087,0.2336909759563522,7.780979827089337,64.26512968299711,whiff_prone,recent,1.0634475730137938,neutral,1.004671181556196,1.0,neutral,1453,1056,"699302,682829,701398,668709,663886,553993,624431,670770,680574",Héctor Rodríguez; Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Eugenio Suárez; Jose Trevino; TJ Friedl; Matt McLain,,27.287797462304102,93.93682170542635,FF,strong,True,L3 K9 10.1,savant+statcast,False,,2,0.967741935483871,elite,elite,6.403067874975605,3.8310217654655183,,"arsenal K% 28.9 (elite solo, +6.4 vs lg, +3.8 vs opp K%, opp K% 25.1; slate #2/31 elite); stuff whiff 27.3% (strong), FF 93.9 mph; stuff ceiling (L3 K9 10.1); total caution — Exp K 6.8 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,6.0,33.0,137.0,13.0,7.0,34.0,.293,.887,24.087591240875913,1,5,5.0,0,0,,2024-08-19 H: 5.0IP 5K
2,Shane Drohan,675660,MIL,L,TEX,TEX@MIL,6:15 PM CT,2026-08-29T23:15:00Z,ok,prior:2026-08-28,6.129151111111111,26,2.888888888888889,season_start_est,starter,26.042451877277927,27.379388090502474,6.396734682036113,6.739828924647864,2.343820668955013,9,9,1.0,26,,26,3.0759495156179266,0.7689873789044817,8.886076378451788,3.892489123006245,23.423423,75.72327,39.6610169,39.6610169,8.5470085,13.953488,balanced,,clear,,1.0,,4.666666666666667,8.217391304347826,5.111111111111111,5.596181449275362,0.3,23.80952380952381,0.2440381577022322,10.416666666666666,63.392857142857146,whiff_prone,recent,1.0554547462887276,patient,0.956425,0.9746,elevated,494,1168,"592626,608369,694671,607043,677649,694497,669394,683227,643376",Joc Pederson; Corey Seager; Wyatt Langford; Brandon Nimmo; Ezequiel Duran; Evan Carter; Jake Burger; Cody Freeman; Danny Jansen,,26.60056962025316,94.90295358649789,FF,strong,False,,savant,False,,5,0.8709677419354839,elite,elite,3.5424518772779265,2.2329280677541163,,"arsenal K% 26.0 (elite solo, +3.5 vs lg, +2.2 vs opp K%, opp K% 23.8; slate #5/31 elite); stuff whiff 26.6% (strong), FF 94.9 mph; total caution — Exp K 6.4 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,,,,,,,,,,0,0,,0,0,,
3,Jack Perkins,678022,ATH,R,BAL,BAL@ATH,9:05 PM CT,2026-08-30T02:05:00Z,ok,prior:2026-08-28,5.656334545454544,26,2.888888888888889,season_start_est,swingman,24.694828918636784,28.932459657647566,6.392656804910975,6.5870163187039905,2.2225346026773103,9,9,1.0,26,,26,3.785978232828508,1.693727104160122,10.361624637214865,4.275958706044148,25.304136,74.176548,34.6303501,45.1361867,6.896551700000001,15.0,whiff,"K% 25.3, Contact% 74.2",high,"elev_bb,high_hr,elev_xfip,short_recent_ip,exit_hr",0.8846399999999999,"short_recent_ip,exit_hr",4.666666666666667,9.450000000000001,4.444444444444444,5.939151272727272,0.3,24.188790560471976,0.24897692728817636,6.784660766961652,66.3716814159292,neutral,recent,1.0313929363195489,free_swing,1.0121227138643067,1.0,low,854,704,"677942,624413,702616,691723,687952,665750,681047,687637,665966",Blaze Alexander; Pete Alonso; Jackson Holliday; Coby Mayo; Christian Encarnacion-Strand; Leody Taveras; Christian Franklin; Dylan Beavers; Carlos Narváez,,27.49828884325803,95.82622309197652,FF,strong,True,"K9 10.4, stuff whiff 27.5% + FB 95.8",savant+statcast,False,,9,0.7419354838709677,strong,elite,2.1948289186367838,0.5060383581648082,,"arsenal K% 24.7 (elite solo, +2.2 vs lg, +0.5 vs opp K%, opp K% 24.2; slate #9/31 strong); stuff whiff 27.5% (strong), FF 95.8 mph; pitcher style WHIFF (K% 25.3, Contact% 74.2); stuff ceiling (K9 10.4, stuff whiff 27.5% + FB 95.8); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.4 (≥5.5); also swingman — fade full-outing chalk",0,trust,2.0,7.0,26.0,2.0,1.0,4.0,.167,.523,26.923076923076923,0,0,,2,7,3.5,2026-05-08 A: 0.2IP 2K; 2025-08-09 A: 6.0IP 5K
4,Cristopher Sánchez,650911,PHI,L,LAA,PHI@LAA,9:07 PM CT,2026-08-30T02:07:00Z,ok,prior:2026-08-28,6.234567901234568,26,2.888888888888889,season_avg,starter,21.438025085691606,25.412678741508277,6.161694931575798,5.939609539439348,1.9294222577122446,9,9,1.0,26,,26,2.031683229705002,0.7485148741018427,10.372277541125534,2.5466409634564178,27.67475,69.517885,57.5757575,24.242424200000002,8.928571400000001,15.086206999999998,whiff,"K% 27.7, Contact% 69.5",clear,,1.0,,6.666666666666667,9.642857142857142,6.222222222222222,6.6798941798941796,0.3,22.922636103151863,0.23054576613540942,8.022922636103152,65.0429799426934,neutral,recent,1.0346644180650015,neutral,1.0024936962750717,1.0,neutral,556,2026,"687263,545361,685133,687093,694208,695681,666139,694203,623168",Zach Neto; Mike Trout; Wade Meckler; Vaughn Grissom; Moisés Ballesteros; Christian Moore; Josh Lowe; Denzer Guzman; Tyler Heineman,,31.757707203718056,95.06660714285715,SI,elite,True,"K9 10.4, stuff whiff 31.8%",savant,False,,16,0.5161290322580645,avg,avg,-1.0619749143083936,-1.4846110174602565,,"arsenal K% 21.4 (avg solo, -1.1 vs lg, -1.5 vs opp K%, opp K% 22.9; slate #16/31 avg); stuff whiff 31.8% (elite), SI 95.1 mph; pitcher style WHIFF (K% 27.7, Contact% 69.5); stuff ceiling (K9 10.4, stuff whiff 31.8%)",0,,3.0,8.0,47.0,2.0,2.0,14.0,.318,.893,17.02127659574468,1,5,5.0,1,1,1.0,2024-04-29 A: 5.0IP 1K; 2023-08-30 H: 4.2IP 5K
5,Kyle Leahy,681517,STL,R,PIT,PIT@STL,1:15 PM CT,2026-08-29T18:15:00Z,ok,prior:2026-08-28,5.027031045267489,21,2.3333333333333335,season_avg,starter,25.03180068440078,29.04451432324409,5.703559309960919,5.685722583894788,2.2528620615960704,9,9,1.0,21,,21,2.635884011135615,0.8548813009088482,8.192612467043128,3.6907593412047484,21.65725,79.604579,45.8221024,32.3450134,8.3333333,12.33244,balanced,,clear,,1.0,,5.333333333333333,10.285714285714286,4.666666666666667,5.74517833744856,0.3,27.160493827160494,0.19978926243094128,8.950617283950617,60.80246913580247,whiff_prone,recent,1.07,neutral,0.9941444444444445,0.994795061728395,mild,1080,1005,"669707,699013,668804,665833,693304,804668,663968,694377,680779",Jared Triolo; Esmerlyn Valdez; Bryan Reynolds; Oneil Cruz; Nick Gonzales; Rafael Flores Jr.; Jake Mangum; Nick Yorke; Henry Davis,,22.385515587529977,94.19927140255011,FF,avg,True,L3 K9 10.3,savant,False,,8,0.7741935483870968,strong,elite,2.5318006844007783,-2.1286931427597153,,"arsenal K% 25.0 (elite solo, +2.5 vs lg, -2.1 vs opp K%, opp K% 27.2; slate #8/31 strong); stuff whiff 22.4% (avg), FF 94.2 mph; stuff ceiling (L3 K9 10.3); total caution — Exp K 5.7 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,8.0,22.0,60.0,5.0,2.0,13.0,.241,.670,36.666666666666664,4,8,2.0,4,14,3.5,2026-04-28 A: 5.1IP 7K; 2025-08-28 H: 2.0IP 4K; 2025-08-25 H: 1.0IP 2K; 2025-07-02 A: 1.0IP 2K; 2025-05-07 H: 1.0IP 1K; 2025-05-05 H: 1.0IP 1K; 2025-04-09 A: 1.0IP 2K; 2025-04-08 A: 1.2IP 3K
6,Jake Bennett,687562,BOS,L,NYY,BOS@NYY,12:05 PM CT,2026-08-29T17:05:00Z,ok,official,5.844444444444445,23,2.5555555555555554,season_avg,starter,22.558948989920133,24.521184703655774,5.605672913719154,5.401107077907829,2.030305409092812,9,9,1.0,23,,23,1.847908798853328,0.7186311995540721,6.878327195731832,3.871302135779746,19.034091,78.13953500000001,43.1372549,36.470588199999995,10.7526881,15.909091,balanced,,clear,,1.0,,5.666666666666667,9.36734693877551,5.444444444444444,6.082993197278912,0.3,25.874125874125873,0.22071816750961137,8.391608391608392,62.93706293706294,whiff_prone,recent,1.07,neutral,0.9991755244755245,1.0,neutral,339,894,"502671,700250,642708,671218,641355,806146,676609,682987,645305",Paul Goldschmidt; Ben Rice; Amed Rosario; Heliot Ramos; Cody Bellinger; George Lombard Jr.; José Caballero; Spencer Jones; Ali Sánchez,,23.569412795793163,92.9816037735849,FF,avg,False,,savant+statcast,False,,14,0.5806451612903226,avg,strong,0.05894898992013253,-3.3151768842057407,,"arsenal K% 22.6 (strong solo, +0.1 vs lg, -3.3 vs opp K%, opp K% 25.9; slate #14/31 avg); stuff whiff 23.6% (avg), FF 93.0 mph; total caution — Exp K 5.6 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,1.0,3.0,23.0,2.0,1.0,3.0,.143,.503,13.043478260869565,1,3,3.0,0,0,,2026-06-27 H: 6.1IP 3K
7,Lake Bachar,669199,PIT,R,STL,PIT@STL,1:15 PM CT,2026-08-29T18:15:00Z,ok,prior:2026-08-28,5.0065,20,2.2222222222222223,season_start_est,swingman,27.90297063025572,28.514892071207473,5.555001433339242,5.903002047627488,2.511267356723015,9,9,1.0,20,,20,3.6986305235385135,1.4794522094154055,9.246576308846285,4.262246585939451,25.0,72.161172,37.433155,47.5935828,12.3595505,15.789474,whiff,"K% 25.0, Contact% 72.2, FB% 47.6, IFFB% 12.4",high,"elev_bb,elev_hr,elev_xfip,short_recent_ip",0.8835,short_recent_ip,2.0,8.526315789473685,2.111111111111111,4.743,0.3,27.058823529411764,0.2299081270798362,6.764705882352941,64.41176470588235,whiff_prone,recent,1.07,free_swing,1.0122823529411764,1.0,low,692,520,"802139,671056,676475,691023,665877,701675,695491,669357,699625",JJ Wetherholt; Iván Herrera; Alec Burleson; Jordan Walker; José Fermín; Nathan Church; Joshua Báez; Nolan Gorman; Jimmy Crooks,,31.194474905477225,94.49828080229224,FF,elite,True,stuff whiff 31.2%,savant+statcast,False,,3,0.9354838709677419,elite,elite,5.402970630255719,0.844147100843955,,"arsenal K% 27.9 (elite solo, +5.4 vs lg, +0.8 vs opp K%, opp K% 27.1; slate #3/31 elite); stuff whiff 31.2% (elite), FF 94.5 mph; pitcher style WHIFF (K% 25.0, Contact% 72.2, FB% 47.6, IFFB% 12.4); stuff ceiling (stuff whiff 31.2%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 5.6 (≥5.5); also swingman — fade full-outing chalk",0,trust,4.0,5.0,32.0,3.0,1.0,11.0,.393,1.059,15.625,2,1,0.5,2,4,2.0,2026-06-27 A: 2.0IP 1K; 2026-04-22 H: 0.1IP 0K; 2025-08-18 H: 2.0IP 1K; 2025-07-28 A: 1.2IP 3K
8,Erick Fedde,607200,CWS,R,MIN,CWS@MIN,1:10 PM CT,2026-08-29T18:10:00Z,ok,prior:2026-08-28,6.5184,28,3.111111111111111,season_start_est,swingman,16.953243725058858,21.908064799918748,5.209210818159182,4.5084497402274035,1.525791935255297,9,9,1.0,28,,28,3.270422675782225,1.673239508539743,6.3887326689699275,4.751965093080925,16.40625,82.248521,39.2105263,39.736842100000004,7.284768199999999,14.736842,balanced,,medium,"high_hr,elev_xfip,short_recent_ip,exit_hr",0.9311999999999999,"short_recent_ip,exit_hr",4.666666666666667,9.450000000000001,4.444444444444444,6.84432,0.3,15.527950310559007,0.2722055325183991,4.3478260869565215,77.95031055900621,contact_heavy,recent,0.9299999999999999,aggressive,1.0316173913043478,1.0,low,1146,862,"807712,686797,680777,665019,605137,668904,663616,701785,805805",Luke Keaschall; Brooks Lee; Ryan Jeffers; Kody Clemens; Josh Bell; Royce Lewis; Trevor Larnach; Kaelen Culpepper; Walker Jenkins,,18.20557315668203,93.92642740619902,SI,soft,False,,savant+statcast,True,"K9 6.4, elev_xFIP 4.75",27,0.16129032258064516,soft,soft,-5.546756274941142,1.4252934144998513,FILLER,"soft-contact (K9 6.4, elev_xFIP 4.75) + arsenal K% 17.0 (soft solo, -5.5 vs lg, +1.4 vs opp K%, opp K% 15.5; slate #27/31 soft); stuff whiff 18.2% (soft), SI 93.9 mph — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; weak under — only 1/2 confirms (opp contact-heavy BIP); need 1 more of GB/FLY · contact-heavy · Exp K ≤4.2 (or take U6.5+ / pass); also swingman — fade full-outing chalk",1,,5.0,27.0,103.0,6.0,1.0,13.0,.135,.392,26.21359223300971,2,7,3.5,3,20,6.666666666666667,2026-06-03 A: 5.0IP 2K; 2025-03-29 H: 6.0IP 2K; 2024-08-25 A: 6.0IP 7K; 2024-07-10 H: 5.0IP 5K; 2024-04-23 A: 6.0IP 11K
9,Blake Snell,605483,LAD,L,DET,LAD@DET,12:10 PM CT,2026-08-29T17:10:00Z,ok,official,5.034999999999999,21,2.3333333333333335,season_shrunk,starter,24.2798236434251,25.52507141615123,5.208636558910396,4.923409369871994,2.185184127908259,9,9,1.0,21,,21,3.857142857142857,0.0,11.142857142857142,3.0396249981153582,29.885057,67.40331499999999,50.9803921,27.4509803,14.2857142,17.647059000000002,whiff,"K% 29.9, Contact% 67.4",low,elev_bb,0.95,,7.0,10.5,6.0,5.8741666666666665,0.3,22.1875,0.20435309275488223,6.875,69.375,neutral,recent,0.9945054768112794,aggressive,1.0114,1.0,low,128,217,"650402,701678,805808,693307,680664,679529,701162,595879,703601",Gleyber Torres; Hao-Yu Lee; Kevin McGonigle; Dillon Dingler; Eduardo Valencia; Spencer Torkelson; Ben Malgeri; Javier Báez; Max Clark,statcast_fallback,36.11891145143233,96.07988165680473,FF,elite,True,"K9 11.1, L3 K9 10.5, stuff whiff 36.1%",statcast,False,,10,0.7096774193548387,strong,elite,1.7798236434251002,2.0923236434251002,,"arsenal K% 24.3 (elite solo, +1.8 vs lg, +2.1 vs opp K%, opp K% 22.2; slate #10/31 strong); stuff whiff 36.1% (elite), FF 96.1 mph; pitcher style WHIFF (K% 29.9, Contact% 67.4); stuff ceiling (K9 11.1, L3 K9 10.5, stuff whiff 36.1%); K-first arm — confirms overs / SPIKE caution on soft unders",0,,4.0,18.0,95.0,11.0,3.0,21.0,.259,.747,18.94736842105263,1,2,2.0,0,0,,2025-03-27 H: 5.0IP 2K
10,Cade Cavalli,676917,WSH,R,MIA,MIA@WSH,3:05 PM CT,2026-08-29T20:05:00Z,ok,prior:2026-08-28,5.119912363996043,21,2.3333333333333335,season_avg,starter,21.80206316866975,23.168109809483195,5.126441252609149,4.251540085329732,1.9621856851802775,9,9,1.0,21,,21,2.603139191572878,1.0291480524823007,10.230942404088754,3.226508082206468,27.083333,76.333907,48.6146095,32.4937027,5.4263565,15.25,whiff,K% 27.1,clear,,1.0,,9.333333333333334,12.6,6.666666666666667,7.16787730959446,0.3,19.584569732937684,0.2600962321683261,11.275964391691394,67.35905044510386,neutral,recent,0.9713824701478294,patient,0.95,0.9642884272997033,elevated,1436,998,"681715,682663,672640,691594,669364,669065,677870,665923,691788",Heriberto Hernández; Agustín Ramírez; Otto Lopez; Javier Sanoja; Xavier Edwards; Kyle Stowers; Leo Jiménez; Esteury Ruiz; Joe Mack,,26.694616055529128,96.83200498132004,FF,strong,True,"K9 10.2, L3 K9 12.6, stuff whiff 26.7% + FB 96.8",savant+statcast,False,,15,0.5483870967741935,avg,avg,-0.6979368313302494,2.2174934357320666,,"arsenal K% 21.8 (avg solo, -0.7 vs lg, +2.2 vs opp K%, opp K% 19.6; slate #15/31 avg); stuff whiff 26.7% (strong), FF 96.8 mph; pitcher style WHIFF (K% 27.1); stuff ceiling (K9 10.2, L3 K9 12.6, stuff whiff 26.7% + FB 96.8)",0,,4.0,17.0,89.0,6.0,0.0,19.0,.244,.612,19.10112359550562,2,12,6.0,2,5,2.5,2026-06-01 H: 5.0IP 6K; 2026-05-10 A: 5.2IP 4K; 2025-09-08 A: 5.0IP 1K; 2025-09-02 H: 5.0IP 6K
