rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Braxton Ashcraft,677952,PIT,R,CIN,PIT@CIN,5:40 PM CT,2026-08-01T22:40:00Z,ok,prior:2026-07-31,5.749788515941238,24,2.6666666666666665,season_avg,starter,26.58810994550548,27.140196322914772,6.38900081746754,6.838962880854564,2.3929298950954934,9,9,1.0,24,,24,2.2070845604289855,1.1771117655621257,9.931880521930436,3.256549934569949,clear,,1.0,,4.333333333333333,8.357142857142858,4.666666666666667,5.33908933623115,0.3,28.36676217765043,0.24789501274851122,9.742120343839542,recent,1.0658755080312987,three_true,0.9920683381088825,0.9870209169054441,elevated,1133,735,"682829,701398,668709,663886,663993,553993,667472,682622,680574",Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Nathaniel Lowe; Eugenio Suárez; Dane Myers; Noelvi Marte; Matt McLain,,False,,4,0.896551724137931,elite,elite,4.0881099455054795,-1.7786522321449496,,"arsenal K% 26.6 (elite solo, +4.1 vs lg, -1.8 vs opp K%, opp K% 28.4; slate #4/29 elite)",4.0,19.0,88.0,8.0,0.0,19.0,.244,.626,21.59090909090909,2,11,5.5,2,8,4.0,2026-05-03 H: 7.2IP 6K; 2026-03-30 A: 6.0IP 3K; 2025-09-25 A: 4.1IP 5K; 2025-08-09 H: 3.1IP 5K
2,Shane Baz,669358,BAL,R,PHI,PHI@BAL,6:05 PM CT,2026-08-01T23:05:00Z,ok,prior:2026-07-31,5.809523809523809,25,2.7777777777777777,season_avg,starter,22.72002845683617,23.65239745900989,6.134113413580071,5.941250454774252,2.0448025611152554,9,9,1.0,25,,25,3.2459018423300474,0.6639344677493279,7.893443116575342,4.248841521281891,low,elev_xfip,1.0,,5.666666666666667,10.2,5.0,6.584126984126984,0.3,26.331360946745562,0.2280583204685012,7.396449704142012,recent,1.0533785746298983,neutral,1.008131952662722,1.0,neutral,1195,819,"607208,656941,547180,664761,669016,592663,681082,687282,702222",Trea Turner; Kyle Schwarber; Bryce Harper; Alec Bohm; Brandon Marsh; J.T. Realmuto; Bryson Stott; Gabriel Rincones Jr.; Justin Crawford,,False,,14,0.5517241379310345,avg,strong,0.22002845683617167,-3.6113324899093904,,"arsenal K% 22.7 (strong solo, +0.2 vs lg, -3.6 vs opp K%, opp K% 26.3; slate #14/29 avg)",2.0,7.0,41.0,3.0,2.0,11.0,.297,.836,17.073170731707318,1,3,3.0,1,4,4.0,2025-05-07 H: 3.1IP 3K; 2024-09-11 A: 5.1IP 4K
3,David Peterson,656849,CHC,L,NYY,NYY@CHC,6:15 PM CT,2026-08-01T23:15:00Z,ok,prior:2026-07-31,6.333333333333333,28,3.111111111111111,season_start_est,starter,24.59918197234228,25.880767296001373,6.103927236238688,7.3105553924288955,2.213926377510805,9,9,1.0,28,,28,3.802817156806271,0.9507042892015678,7.3204230268520725,4.347512353543393,medium,"elev_bb,elev_xfip",0.95,,3.0,4.6730769230769225,5.777777777777779,3.288461538461538,0.3,25.632911392405063,0.19713346936448203,6.962025316455696,recent,1.062355072862193,free_swing,1.0107037974683544,1.0,low,466,1088,"502671,700250,642708,691176,663757,683011,682987,645305,676609",Paul Goldschmidt; Ben Rice; Amed Rosario; Jasson Domínguez; Trent Grisham; Anthony Volpe; Spencer Jones; Ali Sánchez; José Caballero,,False,,6,0.8275862068965517,elite,elite,2.0991819723422793,-1.0337294200627838,,"arsenal K% 24.6 (elite solo, +2.1 vs lg, -1.0 vs opp K%, opp K% 25.6; slate #6/29 elite)",5.0,24.0,92.0,16.0,2.0,17.0,.233,.761,26.08695652173913,2,16,8.0,1,4,4.0,2026-05-16 H: 4.0IP 8K; 2025-05-18 A: 6.0IP 4K; 2024-06-25 H: 4.1IP 8K
4,Connor Prielipp,687570,MIN,L,SEA,MIN@SEA,3:10 PM CT,2026-08-01T20:10:00Z,ok,prior:2026-07-31,5.166666666666666,22,2.4444444444444446,season_avg,starter,26.742151736842303,29.79703688672439,5.949631032696029,5.709472903851471,2.406793656315807,9,9,1.0,22,,22,3.2350232689517866,0.9953917750620882,9.456221863089837,4.0314188260855275,clear,,1.0,,7.0,11.34,5.555555555555556,6.509999999999999,0.3,21.32564841498559,0.24507831458151141,6.628242074927954,recent,0.986451883752503,aggressive,1.0133740634005763,1.0,low,332,896,"702284,668227,686527,677594,647304,663728,642215,806068,645302",Cole Young; Randy Arozarena; Dominic Canzone; Julio Rodríguez; Josh Naylor; Cal Raleigh; Weston Wilson; Colt Emerson; Victor Robles,,False,,2,0.9655172413793104,elite,elite,4.2421517368423025,5.4165033218567125,,"arsenal K% 26.7 (elite solo, +4.2 vs lg, +5.4 vs opp K%, opp K% 21.3; slate #2/29 elite)",1.0,5.0,19.0,3.0,0.0,1.0,.067,.278,26.31578947368421,1,5,5.0,0,0,,2026-04-27 H: 5.0IP 5K
5,Jack Perkins,678022,ATH,R,DET,DET@ATH,8:40 PM CT,2026-08-02T01:40:00Z,ok,prior:2026-07-31,5.864287776008492,26,2.888888888888889,season_start_est,swingman,22.82002149549125,24.9469605218027,5.793193092862086,5.470483688323834,2.0538019345942127,9,9,1.0,26,,26,3.5560979249263593,1.4487806360811093,10.53658644422625,4.256104928279319,medium,"elev_bb,elev_hr,elev_xfip",0.95,,5.333333333333333,10.046511627906977,4.777777777777778,6.54618170345134,0.3,20.38216560509554,0.27993421869322827,9.872611464968152,recent,0.9564310841773231,patient,0.9637697452229299,0.9811286624203822,elevated,639,517,"805808,650402,693307,682985,701678,679529,703601,595879,701162",Kevin McGonigle; Gleyber Torres; Dillon Dingler; Riley Greene; Hao-Yu Lee; Spencer Torkelson; Max Clark; Javier Báez; Ben Malgeri,,False,,13,0.5862068965517241,avg,strong,0.32002149549125036,2.43785589039571,,"arsenal K% 22.8 (strong solo, +0.3 vs lg, +2.4 vs opp K%, opp K% 20.4; slate #13/29 avg)",1.0,2.0,13.0,2.0,2.0,2.0,.182,1.035,15.384615384615385,0,0,,1,2,2.0,2026-07-09 A: 3.0IP 2K
6,Tyler Phillips,663969,MIA,R,NYM,MIA@NYM,3:10 PM CT,2026-08-01T20:10:00Z,ok,prior:2026-07-31,5.1372260300025765,22,2.4444444444444446,season_start_est,swingman,27.806759500267894,29.224039983044992,5.688384966485617,6.421746845393345,2.5026083550241105,9,9,1.0,22,,22,4.055336212962529,1.0671937402532972,6.723320563595772,4.689169139291623,high,"high_bb,elev_xfip,short_recent_ip",0.8370000000000001,short_recent_ip,2.6666666666666665,6.967741935483872,3.444444444444444,3.977207249034253,0.3,28.045325779036826,0.22063045548505927,9.63172804532578,recent,1.07,three_true,0.9926754957507082,0.988014447592068,elevated,781,576,"805999,596019,666182,701807,673357,676724,683146,593871,682626",A.J. Ewing; Francisco Lindor; Bo Bichette; Carson Benge; Luis Robert Jr.; Jared Young; Brett Baty; Jorge Polanco; Francisco Alvarez,,True,"K9 6.7, soft L3 2.7, elev_xFIP 4.69",1,1.0,elite,elite,5.306759500267894,-0.238566278768932,MATCHUP_OK,"soft-contact profile (K9 6.7, soft L3 2.7, elev_xFIP 4.69) but arsenal K% 27.8 (elite solo, +5.3 vs lg, -0.2 vs opp K%, opp K% 28.0; slate #1/29 elite) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds; also swingman — fade full-outing chalk",7.0,8.0,61.0,6.0,0.0,11.0,.204,.542,13.114754098360656,4,5,1.25,3,3,1.0,2026-05-30 A: 5.0IP 2K; 2026-05-24 H: 3.2IP 4K; 2025-09-28 H: 1.0IP 0K; 2025-09-26 H: 1.1IP 0K; 2025-08-30 A: 1.0IP 1K; 2025-04-07 A: 1.1IP 0K; 2025-04-02 H: 2.0IP 1K
7,Yoshinobu Yamamoto,808967,LAD,R,BOS,BOS@LAD,8:10 PM CT,2026-08-02T01:10:00Z,ok,prior:2026-07-31,6.554319799498748,25,2.7777777777777777,season_avg,starter,23.156647457218362,25.629299505074865,5.620234111856455,5.621196559979069,2.0840982711496525,9,9,1.0,25,,25,2.0053050803693995,0.9310345016000784,8.450928552985326,3.342901366454549,clear,,1.0,,6.0,7.714285714285714,7.0,5.617988399570356,0.3,22.285714285714285,0.2603413211900027,9.428571428571429,recent,0.9890979876312128,neutral,0.9898428571428571,0.9909714285714286,mild,1004,856,"686765,678882,677800,575929,807799,702332,655316,680776,665966",Nick Sogard; Ceddanne Rafaela; Wilyer Abreu; Willson Contreras; Masataka Yoshida; Caleb Durbin; Andruw Monasterio; Jarren Duran; Carlos Narváez,,False,,11,0.6551724137931034,strong,strong,0.6566474572183623,0.8709331715040776,,"arsenal K% 23.2 (strong solo, +0.7 vs lg, +0.9 vs opp K%, opp K% 22.3; slate #11/29 strong)",,,,,,,,,,0,0,,0,0,,
8,Logan Gilbert,669302,SEA,R,MIN,MIN@SEA,3:10 PM CT,2026-08-01T20:10:00Z,ok,prior:2026-07-31,5.984126984126984,24,2.6666666666666665,season_avg,starter,22.45594254513525,26.54471209535364,5.6114936379767135,5.3585345106531905,2.0210348290621725,9,9,1.0,24,,24,1.933687041784778,1.0742705787693212,9.525199131754647,3.504026881970389,clear,,1.0,,6.333333333333333,9.327272727272726,6.111111111111112,6.2017316017316,0.3,19.881305637982194,0.21565641044886424,8.6053412462908,recent,0.98602398908992,neutral,0.9972519287833828,1.0,neutral,1168,803,"663616,680777,665019,605137,668904,702176,686797,807712,656484",Trevor Larnach; Ryan Jeffers; Kody Clemens; Josh Bell; Royce Lewis; Alan Roden; Brooks Lee; Luke Keaschall; Tristan Gray,,False,,15,0.5172413793103449,avg,avg,-0.04405745486474899,2.5746369071530566,,"arsenal K% 22.5 (avg solo, -0.0 vs lg, +2.6 vs opp K%, opp K% 19.9; slate #15/29 avg)",6.0,29.0,134.0,6.0,4.0,33.0,.268,.728,21.64179104477612,2,8,4.0,2,8,4.0,2026-04-28 A: 5.0IP 4K; 2024-06-28 H: 6.0IP 3K; 2024-05-09 A: 4.0IP 4K; 2023-07-17 H: 5.0IP 5K
9,Kevin Gausman,592332,TOR,R,STL,STL@TOR,2:07 PM CT,2026-08-01T19:07:00Z,ok,prior:2026-07-31,5.53030303030303,23,2.5555555555555554,season_avg,starter,23.43863319449456,21.850070587188323,5.565872960896476,5.632641779259223,2.1094769875045105,9,9,1.0,23,,23,2.589041150007716,1.1095890642890212,9.098630327169975,3.805437149887486,clear,,1.0,,5.0,8.804347826086957,5.111111111111112,5.410079051383399,0.3,21.32132132132132,0.2093000420299799,7.807807807807808,recent,1.0060801720787063,neutral,1.0044297297297298,1.0,neutral,1174,872,"802139,691023,676475,671056,663457,691026,701675,665877,699625",JJ Wetherholt; Jordan Walker; Alec Burleson; Iván Herrera; Lars Nootbaar; Masyn Winn; Nathan Church; José Fermín; Jimmy Crooks,,False,,10,0.6896551724137931,strong,strong,0.9386331944945603,2.1173118731732394,,"arsenal K% 23.4 (strong solo, +0.9 vs lg, +2.1 vs opp K%, opp K% 21.3; slate #10/29 strong)",11.0,55.0,197.0,15.0,2.0,51.0,.282,.700,27.918781725888326,1,3,3.0,1,7,7.0,2024-09-13 H: 7.0IP 3K; 2023-04-01 A: 6.0IP 7K
10,Jacob deGrom,594798,TEX,R,HOU,TEX@HOU,6:10 PM CT,2026-08-01T23:10:00Z,ok,prior:2026-07-31,5.483959634703196,22,2.4444444444444446,season_avg,starter,24.378180225858106,29.110845631802533,5.495776662663789,5.126934764488565,2.1940362203272294,9,9,1.0,22,,22,1.9577040177407634,1.3051360118271755,10.767372097574198,3.126194213878554,low,elev_hr,1.0,,5.666666666666667,10.431818181818182,4.888888888888889,6.356407758405978,0.3,22.19178082191781,0.2665755610584926,9.04109589041096,recent,0.9845889208698839,neutral,0.9933301369863013,0.9940712328767123,mild,1078,714,"665161,670541,670623,572233,514888,666211,673237,664774,701358",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Christian Walker; Jose Altuve; Taylor Trammell; Yainer Diaz; LaMonte Wade Jr.; Cam Smith,,False,,8,0.7586206896551724,strong,elite,1.878180225858106,2.186399403940296,,"arsenal K% 24.4 (elite solo, +1.9 vs lg, +2.2 vs opp K%, opp K% 22.2; slate #8/29 strong)",6.0,39.0,145.0,6.0,11.0,29.0,.210,.712,26.896551724137932,3,21,7.0,3,18,6.0,2026-05-27 H: 6.0IP 6K; 2026-05-16 A: 6.0IP 4K; 2025-09-17 A: 5.0IP 6K; 2025-09-06 H: 5.1IP 8K; 2025-07-12 A: 6.0IP 8K; 2025-05-15 H: 8.0IP 7K
