batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Eduardo Valencia,680664,4,R,DET,Parker Messick,CLE,L,CLE@DET,12:10 PM CT,official,0.3888888888888889,vs_lhp,30.0,60.0,0.4,0.283,82.9888888888889,81.57444444444445,False,36.304370515329424,1
Andrew Pinckney,687605,6,R,WSH,Kevin Gausman,CHC,R,CHC@WSH,3:05 PM CT,prior:2026-08-12,0.3333333333333333,recent,20.0,60.0,0.443,0.334,72.08333333333333,72.08333333333333,True,10.763728298193955,2
Andrés Chaparro,665953,2,R,WSH,Kevin Gausman,CHC,R,CHC@WSH,3:05 PM CT,prior:2026-08-12,0.4117647058823529,vs_rhp,12.2,48.6,0.365,0.239,71.9439705882353,65.28823529411765,False,45.40787564766839,3
Angel Genao,694197,7,S,CLE,Keider Montero,DET,R,CLE@DET,12:10 PM CT,official,0.4,vs_rhp,9.1,59.1,0.342,0.265,71.0584375,65.0415625,False,5.966585956416465,4
Shohei Ohtani,660271,1,L,LAD,Shane Drohan,MIL,L,MIL@LAD,9:10 PM CT,prior:2026-08-12,0.30201342281879195,vs_lhp,16.5,52.2,0.408,0.296,66.9188422818792,67.8131711409396,False,21.50659740483418,5
Griffin Conine,665052,4,L,MIA,Braxton Ashcraft,PIT,R,PIT@MIA,12:10 PM CT,official,0.29365079365079366,vs_rhp,18.0,56.0,0.399,0.278,66.73695436507937,68.14316468253969,False,25.848803226599415,6
Willson Contreras,575929,4,R,BOS,Max Scherzer,TOR,R,BOS@TOR,2:07 PM CT,prior:2026-08-12,0.28113879003558717,vs_rhp,14.6,45.7,0.388,0.264,61.024816503558725,61.69100200177936,False,32.9584975601864,7
Jake Bauers,641343,4,L,MIL,Roki Sasaki,LAD,R,MIL@LAD,9:10 PM CT,prior:2026-08-12,0.2727272727272727,vs_rhp,14.0,53.1,0.367,0.256,60.29866477272728,61.297926136363635,False,23.63179538902838,8
Luis García Jr.,671277,4,L,NYY,Logan Gilbert,SEA,R,SEA@NYY,12:35 PM CT,official,0.29411764705882354,vs_rhp,12.1,46.0,0.352,0.287,60.29113970588235,59.626507352941175,False,14.379107498438817,9
Bryce Harper,547180,3,L,PHI,Taj Bradley,MIN,R,PHI@MIN,6:30 PM CT,prior:2026-08-12,0.2851851851851852,vs_rhp,11.4,45.1,0.391,0.273,60.11820601851852,60.24707175925926,False,17.616752829518784,10
Ben Rice,700250,2,L,NYY,Logan Gilbert,SEA,R,SEA@NYY,12:35 PM CT,official,0.26199261992619927,vs_rhp,15.4,48.5,0.373,0.264,59.43707449261993,61.08431849630997,False,24.199820639721025,11
Pete Crow-Armstrong,691718,1,L,CHC,Cade Cavalli,WSH,R,CHC@WSH,3:05 PM CT,prior:2026-08-12,0.2733118971061093,vs_rhp,12.3,48.6,0.364,0.255,58.50618971061093,58.930594855305465,False,25.099350069277904,12
Miguel Vargas,678246,3,R,CWS,Andrew Abbott,CIN,L,CIN@CWS,12:10 PM CT,official,0.26119402985074625,vs_lhp,14.1,46.0,0.381,0.261,58.48940298507463,59.95720149253732,False,14.970400144288993,13
Miguel Rojas,500743,9,R,LAD,Shane Drohan,MIL,L,MIL@LAD,9:10 PM CT,prior:2026-08-12,0.330188679245283,vs_lhp,5.8,37.4,0.325,0.292,58.201367924528306,53.994433962264154,False,16.36443710309857,14
