batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Bryan De La Cruz,650559,5,R,PHI,Andrew Alvarez,WSH,L,WSH@PHI,5:40 PM CT,official,0.5555555555555556,vs_lhp,11.8,35.3,0.346,0.292,127.63888888888889,127.63888888888889,True,16.388168149645725,1
Abimelec Ortiz,694673,2,L,WSH,Aaron Nola,PHI,R,WSH@PHI,5:40 PM CT,official,0.5,vs_rhp,0.0,100.0,0.427,0.42,113.75,113.75,True,10.602362526661892,2
Osleivis Basabe,678545,7,R,SF,Cal Quantrill,TEX,R,SF@TEX,7:05 PM CT,official,0.42857142857142855,vs_rhp,42.9,71.4,0.499,0.314,95.89285714285712,95.89285714285712,True,12.066351532618077,3
Enrique Hernández,571771,8,R,LAD,Matthew Boyd,CHC,L,LAD@CHC,7:05 PM CT,official,0.375,vs_lhp,18.2,63.6,0.355,0.285,82.5,82.5,True,13.179610630407911,4
Yordan Alvarez,670541,2,L,HOU,Shane Bieber,TOR,R,TOR@HOU,7:10 PM CT,official,0.35034013605442177,vs_rhp,18.3,53.6,0.476,0.339,76.73088860544217,77.0701318027211,False,17.03154425612053,5
James Wood,695578,1,L,WSH,Aaron Nola,PHI,R,WSH@PHI,5:40 PM CT,official,0.2717391304347826,vs_rhp,21.1,58.2,0.421,0.276,67.31453804347827,70.70383152173913,False,20.092452052602237,6
Shohei Ohtani,660271,1,L,LAD,Matthew Boyd,CHC,L,LAD@CHC,7:05 PM CT,official,0.2900763358778626,vs_lhp,16.7,54.2,0.412,0.297,66.40263358778626,68.10881679389314,False,27.835169082125603,7
Alec Burleson,676475,3,L,STL,Cam Schlittler,NYY,R,STL@NYY,6:05 PM CT,official,0.3253424657534247,vs_rhp,11.0,48.7,0.379,0.296,64.73768407534247,63.04118578767124,False,16.744724860377126,8
Kyle Schwarber,656941,2,L,PHI,Andrew Alvarez,WSH,L,WSH@PHI,5:40 PM CT,official,0.2875816993464052,vs_lhp,17.6,52.4,0.368,0.238,62.96941993464052,63.51783496732027,False,31.35227878350267,9
Jeremy Peña,665161,1,R,HOU,Shane Bieber,TOR,R,TOR@HOU,7:10 PM CT,official,0.33663366336633666,vs_rhp,5.9,41.5,0.356,0.302,61.210553836633665,57.52949566831683,False,12.047669679248628,10
Ben Rice,700250,2,L,NYY,Michael McGreevy,STL,R,STL@NYY,6:05 PM CT,official,0.27380952380952384,vs_rhp,15.7,48.1,0.377,0.271,61.02188988095239,62.2320386904762,False,22.423283475112743,11
Luis García Jr.,671277,3,L,NYY,Michael McGreevy,STL,R,STL@NYY,6:05 PM CT,official,0.2947019867549669,vs_rhp,12.5,45.8,0.355,0.29,60.699573675496694,60.12822433774835,False,14.410295331237299,12
Jake Bauers,641343,5,L,MIL,Bubba Chandler,PIT,R,PIT@MIL,6:40 PM CT,official,0.27626459143968873,vs_rhp,13.8,53.3,0.367,0.26,60.695521643968874,61.541667071984435,False,23.865814363325494,13
Junior Caminero,691406,3,R,TB,Michael Lorenzen,COL,R,TB@COL,7:40 PM CT,prior:2026-08-02,0.2736156351791531,vs_rhp,13.5,50.3,0.373,0.277,60.36437601791532,61.400469258957656,False,18.354585321279533,14
Hunter Goodman,696100,4,R,COL,Ian Seymour,TB,L,TB@COL,7:40 PM CT,official,0.29310344827586204,vs_lhp,16.9,46.1,0.331,0.232,60.29128232758621,59.4517349137931,False,37.26410433448409,15
Esmerlyn Valdez,699013,4,R,PIT,Brandon Sproat,MIL,R,PIT@MIL,6:40 PM CT,official,0.24210526315789474,vs_rhp,24.1,50.6,0.358,0.217,60.26427631578947,63.50651315789474,False,36.422362444076725,16
Fernando Tatis Jr.,665487,1,R,SD,Brandon Pfaadt,AZ,R,SD@AZ,8:40 PM CT,official,0.28034682080924855,vs_rhp,10.6,53.4,0.356,0.287,59.81155708092486,60.11046604046243,False,17.274695546481347,17
Jordan Walker,691023,2,R,STL,Cam Schlittler,NYY,R,STL@NYY,6:05 PM CT,official,0.2803738317757009,vs_rhp,13.1,48.2,0.356,0.278,59.76863317757009,60.02744158878504,False,20.457982799208423,18
Gabriel Moreno,672515,3,R,AZ,Michael King,SD,R,SD@AZ,8:40 PM CT,official,0.3076923076923077,vs_rhp,7.5,42.1,0.372,0.293,59.62954326923077,57.81930288461539,False,12.590613056676471,19
Yandy Díaz,650490,1,R,TB,Michael Lorenzen,COL,R,TB@COL,7:40 PM CT,prior:2026-08-02,0.30584192439862545,vs_rhp,6.9,47.0,0.352,0.283,59.05794243986254,57.10834621993126,False,14.100339822449355,20
Garrett Mitchell,669003,7,L,MIL,Bubba Chandler,PIT,R,PIT@MIL,6:40 PM CT,official,0.2693877551020408,vs_rhp,14.4,49.5,0.354,0.259,58.99533801020409,59.832825255102044,False,34.94492798003557,21
Ty France,664034,4,R,SD,Brandon Pfaadt,AZ,R,SD@AZ,8:40 PM CT,official,0.29015544041450775,vs_rhp,11.2,50.2,0.336,0.259,58.93866904145078,58.044647020725385,False,20.531006101887325,22
CJ Abrams,682928,4,L,WSH,Aaron Nola,PHI,R,WSH@PHI,5:40 PM CT,official,0.3007246376811594,vs_rhp,10.9,42.6,0.349,0.259,58.88308876811594,57.20310688405797,False,13.96922804582109,23
Pete Crow-Armstrong,691718,1,L,CHC,Justin Wrobleski,LAD,L,LAD@CHC,7:05 PM CT,official,0.27906976744186046,vs_lhp,11.6,49.0,0.364,0.255,58.823851744186044,58.886613372093024,False,26.574630758683917,24
Seiya Suzuki,673548,2,R,CHC,Justin Wrobleski,LAD,L,LAD@CHC,7:05 PM CT,official,0.31868131868131866,vs_lhp,9.9,39.9,0.333,0.247,58.71594436813187,55.46875343406593,False,21.198116285337377,25
Jonathan Aranda,666018,2,L,TB,Michael Lorenzen,COL,R,TB@COL,7:40 PM CT,prior:2026-08-02,0.2903225806451613,vs_rhp,10.4,45.5,0.357,0.264,58.62319556451613,57.73769153225806,False,21.211361114130124,26
Jesús Sánchez,660821,6,L,TOR,Cristian Javier,HOU,R,TOR@HOU,7:10 PM CT,official,0.2894736842105263,vs_rhp,10.7,46.2,0.333,0.275,58.120493421052636,57.07805921052632,False,23.46330741913811,27
Luis Campusano,669134,7,R,SD,Brandon Pfaadt,AZ,R,SD@AZ,8:40 PM CT,official,0.30120481927710846,vs_rhp,8.1,44.6,0.343,0.258,57.70860692771085,55.624615963855426,False,22.763996012048704,28
Brandon Nimmo,607043,4,L,TEX,Logan Webb,SF,R,SF@TEX,7:05 PM CT,official,0.24579124579124578,vs_rhp,11.7,51.8,0.373,0.292,57.38599957912459,59.800187289562295,False,26.359968845063626,29
Rafael Devers,646240,4,L,SF,Cal Quantrill,TEX,R,SF@TEX,7:05 PM CT,official,0.2807017543859649,vs_rhp,11.0,50.5,0.329,0.235,57.071737938596485,56.28602521929824,False,20.347172104328315,30
Freddie Freeman,518692,4,L,LAD,Matthew Boyd,CHC,L,LAD@CHC,7:05 PM CT,official,0.2631578947368421,vs_lhp,9.4,44.0,0.381,0.301,57.03016447368421,58.0410197368421,False,26.27728525980912,31
Pedro Ramírez,699393,7,S,CHC,Justin Wrobleski,LAD,L,LAD@CHC,7:05 PM CT,official,0.3333333333333333,vs_lhp,2.4,45.1,0.305,0.269,57.00802083333333,52.05447916666667,False,22.22033598585323,32
Brice Turang,668930,1,L,MIL,Bubba Chandler,PIT,R,PIT@MIL,6:40 PM CT,official,0.2953020134228188,vs_rhp,8.3,42.0,0.349,0.26,56.99645134228189,55.20635067114094,False,21.720731945614652,33
Endy Rodríguez,682848,7,S,PIT,Brandon Sproat,MIL,R,PIT@MIL,6:40 PM CT,official,0.2871287128712871,vs_rhp,10.7,44.0,0.338,0.241,56.805996287128714,55.498310643564366,False,18.080195243234915,34
Joc Pederson,592626,1,L,TEX,Logan Webb,SF,R,SF@TEX,7:05 PM CT,official,0.26217228464419473,vs_rhp,11.4,48.9,0.354,0.257,56.66191596441948,57.393926732209735,False,19.367279883898835,35
Brandon Lowe,664040,2,L,PIT,Brandon Sproat,MIL,R,PIT@MIL,6:40 PM CT,official,0.2727272727272727,vs_rhp,12.3,45.1,0.336,0.248,56.44616477272727,56.17792613636364,False,17.618387277965347,36
Kyle Karros,691720,2,R,COL,Ian Seymour,TB,L,TB@COL,7:40 PM CT,official,0.29464285714285715,vs_lhp,8.0,42.9,0.337,0.256,56.375848214285725,54.393080357142864,False,21.922036823935557,37
Nick Gonzales,693304,6,R,PIT,Brandon Sproat,MIL,R,PIT@MIL,6:40 PM CT,official,0.32978723404255317,vs_rhp,3.0,35.8,0.323,0.283,56.19247340425532,51.408111702127655,False,12.41212323116949,38
Cole Carrigg,694249,3,S,COL,Ian Seymour,TB,L,TB@COL,7:40 PM CT,official,0.3235294117647059,vs_lhp,5.3,31.6,0.342,0.265,56.16856617647059,51.905845588235294,False,18.80504909227182,39
Bryan Reynolds,668804,3,S,PIT,Brandon Sproat,MIL,R,PIT@MIL,6:40 PM CT,official,0.2610294117647059,vs_rhp,11.4,47.0,0.356,0.25,56.079816176470594,56.724595588235296,False,21.939071700198966,40
Bryson Stott,681082,6,L,PHI,Andrew Alvarez,WSH,L,WSH@PHI,5:40 PM CT,official,0.30864197530864196,vs_lhp,7.0,38.9,0.322,0.263,56.072635030864205,52.8536612654321,False,10.123764333728747,41
Carson Kelly,608348,4,R,CHC,Justin Wrobleski,LAD,L,LAD@CHC,7:05 PM CT,official,0.3218390804597701,vs_lhp,5.8,37.0,0.316,0.24,55.62203304597701,51.1438290229885,False,15.740199616061686,42
Jackson Chourio,694192,2,R,MIL,Bubba Chandler,PIT,R,PIT@MIL,6:40 PM CT,official,0.2647058823529412,vs_rhp,12.6,45.6,0.327,0.25,55.571213235294124,55.64716911764707,False,25.893234903415063,43
Andy Pages,681624,2,R,LAD,Matthew Boyd,CHC,L,LAD@CHC,7:05 PM CT,official,0.2782608695652174,vs_lhp,7.7,43.6,0.338,0.271,55.14671195652174,54.147418478260875,False,18.287359047450874,44
Jake McCarthy,664983,1,L,COL,Ian Seymour,TB,L,TB@COL,7:40 PM CT,official,0.3448275862068966,vs_lhp,5.0,24.8,0.302,0.257,54.99025862068966,48.508879310344824,False,20.436921523191206,45
William Contreras,661388,4,R,MIL,Bubba Chandler,PIT,R,PIT@MIL,6:40 PM CT,official,0.2773972602739726,vs_rhp,7.4,42.8,0.332,0.266,54.389726027397266,53.19986301369863,False,16.067894522882188,46
Spencer Jones,682987,4,L,NYY,Michael McGreevy,STL,R,STL@NYY,6:05 PM CT,official,0.2236842105263158,vs_rhp,12.5,65.5,0.315,0.219,54.07623355263158,56.803898026315785,False,39.924683894220294,47
Wyatt Langford,694671,2,R,TEX,Logan Webb,SF,R,SF@TEX,7:05 PM CT,official,0.28901734104046245,vs_rhp,8.7,38.8,0.306,0.241,53.708609104046246,51.218992052023125,False,18.731604026529258,48
Teoscar Hernández,606192,7,R,LAD,Matthew Boyd,CHC,L,LAD@CHC,7:05 PM CT,official,0.273972602739726,vs_lhp,9.2,41.8,0.32,0.245,53.704135273972604,52.4717551369863,False,18.429171817058094,49
Vladimir Guerrero Jr.,665489,2,R,TOR,Cristian Javier,HOU,R,TOR@HOU,7:10 PM CT,official,0.26058631921824105,vs_rhp,6.8,44.2,0.34,0.288,53.570506921824105,53.56744096091205,False,14.707599918504568,50
Willi Castro,650489,6,S,COL,Ian Seymour,TB,L,TB@COL,7:40 PM CT,official,0.2916666666666667,vs_lhp,8.2,39.7,0.302,0.227,53.39760416666667,50.552395833333335,False,31.03164173379363,51
Spencer Horwitz,687462,5,L,PIT,Brandon Sproat,MIL,R,PIT@MIL,6:40 PM CT,official,0.28640776699029125,vs_rhp,8.5,34.0,0.335,0.233,53.384526699029124,51.11913834951456,False,13.333212304692163,52
Ketel Marte,606466,4,S,AZ,Michael King,SD,R,SD@AZ,8:40 PM CT,official,0.2367601246105919,vs_rhp,10.1,43.6,0.351,0.283,52.979762461059195,54.7167562305296,False,17.456131320618375,53
Bryce Harper,547180,3,L,PHI,Andrew Alvarez,WSH,L,WSH@PHI,5:40 PM CT,official,0.2080536912751678,vs_lhp,11.6,45.0,0.387,0.276,52.394119127516774,56.36643456375839,False,21.584746807166738,54
JJ Wetherholt,802139,1,L,STL,Cam Schlittler,NYY,R,STL@NYY,6:05 PM CT,official,0.25,vs_rhp,7.1,44.2,0.348,0.257,52.20625,52.59375,False,12.941498135398739,55
Andrew Vaughn,683734,6,R,MIL,Bubba Chandler,PIT,R,PIT@MIL,6:40 PM CT,official,0.25217391304347825,vs_rhp,5.7,43.3,0.349,0.278,52.13832880434783,52.40025815217392,False,13.044945441574656,56
