rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,expected_k_pct,arsenal_abs_grade,arsenal_matchup_rank,matchup_grade,ticket_outlook,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,k9,status
1,Paul Skenes,694973,PIT,CIN,None@None,7.062991357620627,6.424541995231903,27.976606648207785,elite,1,elite,,7,4.0,22,-0.06299135762062669,0.06299135762062669,starter,clear,official,11.113259902727746,Final
2,Shane Drohan,675660,MIL,LAA,None@None,6.561508345101201,6.160360209648705,22.573137570284207,strong,14,avg,,7,6.0,22,0.43849165489879915,0.43849165489879915,starter,clear,official,9.000000418686305,Final
3,Nathan Eovaldi,543135,TEX,HOU,None@None,6.088902371326551,5.706919353995914,23.11766575941121,strong,11,strong,,5,5.0,26,-1.0889023713265509,1.0889023713265509,starter,medium,official,9.564033095192272,Final
4,Brandon Young,687064,BAL,PHI,None@None,5.889673767468696,6.092391096383852,24.474452146731526,elite,5,elite,,5,5.2,24,-0.8896737674686959,0.8896737674686959,starter,low,official,7.372013843836185,Final
5,Hunter Greene,668881,CIN,PIT,None@None,5.60361955311091,6.139953398854095,25.58711338661452,elite,2,elite,,4,6.0,27,-1.60361955311091,1.60361955311091,starter,low,official,12.046154199634088,Final
6,Dylan Cease,656302,TOR,STL,None@None,5.51596637673212,4.841548605415634,21.97546383378211,avg,16,avg,,7,6.0,24,1.4840336232678801,1.4840336232678801,starter,low,official,13.261765301054352,Final
7,Michael Wacha,608379,KC,COL,None@None,5.4567865051883295,5.80811626270647,21.003243015424484,avg,18,avg,FILLER,7,6.0,25,1.5432134948116705,1.5432134948116705,starter,low,official,7.073048130796346,Final
8,Erick Fedde,607200,CWS,TB,None@None,5.4166587094460334,5.119083870637191,18.447522543974326,soft,25,soft,FILLER,6,5.0,19,0.5833412905539666,0.5833412905539666,starter,high,official,6.287671561446076,Final
9,Shota Imanaga,684007,CHC,NYY,None@None,5.210583490796023,5.726387157223462,25.343698021484308,elite,3,elite,,6,6.2,23,0.7894165092039769,0.7894165092039769,starter,medium,official,8.40495867768595,Final
10,Tomoyuki Sugano,608372,COL,KC,None@None,4.737459963845522,5.437514234065032,23.742668629018212,strong,9,strong,MATCHUP_OK,2,6.2,24,-2.737459963845522,2.737459963845522,starter,high,official,5.25,Final
11,Bryce Miller,682243,SEA,MIN,None@None,4.7172581176371855,5.263758960454751,22.030375347209738,avg,15,avg,,3,5.1,20,-1.7172581176371855,1.7172581176371855,starter,low,official,9.305825587368034,Final
12,Janson Junk,676083,MIA,NYM,None@None,4.637289412596667,4.584681604899117,22.61554871776084,strong,13,avg,MATCHUP_OK,4,5.0,21,-0.637289412596667,0.637289412596667,starter,medium,official,6.963801145382744,Final
13,Bryce Elder,693821,ATL,WSH,None@None,4.561701494373612,4.221767397871318,23.154811700040547,strong,10,strong,,3,6.0,25,-1.5617014943736116,1.5617014943736116,starter,low,official,7.7595309653974285,Final
14,Kyle Leahy,681517,STL,TOR,None@None,4.548286539205619,4.148062402946803,20.01689456111131,avg,21,soft,,3,6.0,24,-1.5482865392056189,1.5482865392056189,starter,clear,official,7.815789865985161,Final
15,Will Warren,701542,NYY,CHC,None@None,4.538456185778915,4.386106239424424,20.134585068983117,avg,20,soft,,7,6.2,23,2.461543814221085,2.461543814221085,starter,low,official,9.000000510145664,Final
