batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Jared Triolo,669707,8,R,PIT,Eury Pérez,MIA,R,PIT@MIA,5:40 PM CT,prior:2026-08-09,0.2251655629139073,vs_rhp,2.2,36.1,0.288,0.244,43.00749379139073,42.40234064569536,False,27.837402511549087,207
Patrick Bailey,672275,8,S,CLE,Drew Anderson,DET,R,CLE@DET,5:40 PM CT,prior:2026-08-09,0.19487179487179487,vs_rhp,7.1,40.5,0.29,0.229,42.90874198717948,44.62202724358974,False,27.32238586987191,208
Jorbit Vivas,678391,6,L,WSH,Shota Imanaga,CHC,L,CHC@WSH,5:45 PM CT,prior:2026-08-09,0.2413793103448276,vs_lhp,3.2,23.8,0.295,0.24,42.87293103448276,40.97646551724138,False,11.025611248521347,209
Elias Díaz,553869,7,R,TEX,Ryan Johnson,LAA,R,TEX@LAA,8:38 PM CT,prior:2026-08-10,0.2235294117647059,vs_rhp,5.5,36.4,0.258,0.226,42.82231617647059,42.1020955882353,False,20.019076434751444,210
Drew Cavanaugh,701852,7,L,SF,Hunter Brown,HOU,R,HOU@SF,8:45 PM CT,prior:2026-08-10,0.24074074074074073,vs_rhp,4.4,22.2,0.3,0.218,42.724699074074074,40.79641203703704,False,19.17019569709493,211
Ozzie Albies,645277,5,S,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,prior:2026-08-10,0.23134328358208955,vs_rhp,4.3,28.3,0.286,0.232,42.719015858208955,41.502476679104475,False,16.695584488308487,212
Caleb Durbin,702332,6,R,BOS,Dylan Cease,TOR,R,BOS@TOR,6:07 PM CT,prior:2026-08-10,0.23703703703703705,vs_rhp,2.8,27.4,0.288,0.235,42.545578703703704,40.84997685185185,False,17.246955053874693,213
Zach McKinstry,656716,9,L,DET,Tanner Bibee,CLE,R,CLE@DET,5:40 PM CT,prior:2026-08-09,0.24017467248908297,vs_rhp,2.5,23.4,0.292,0.241,42.2399672489083,40.24623362445415,False,11.49583026704699,214
Jakob Marsee,805300,8,L,MIA,Paul Skenes,PIT,R,PIT@MIA,5:40 PM CT,prior:2026-08-09,0.2152317880794702,vs_rhp,3.5,33.9,0.302,0.221,42.20036630794702,42.14440190397351,False,22.141095156095158,215
Jonah Heim,641680,6,S,ATH,Nick Martinez,TB,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.1937984496124031,vs_rhp,7.6,32.5,0.3,0.239,42.12328246124031,43.77148498062015,False,17.496305810301756,216
Agustín Ramírez,682663,7,R,MIA,Paul Skenes,PIT,R,PIT@MIA,5:40 PM CT,prior:2026-08-09,0.20930232558139536,vs_rhp,4.4,38.5,0.281,0.222,42.118045058139536,42.40980377906977,False,34.286342938406264,217
Max Kepler,596146,7,L,AZ,Tomoyuki Sugano,COL,R,COL@AZ,8:40 PM CT,prior:2026-08-10,0.19101123595505617,vs_rhp,8.0,42.7,0.272,0.199,41.90768609550562,43.468999297752816,False,30.366283422390705,218
Henry Davis,680779,9,R,PIT,Eury Pérez,MIA,R,PIT@MIA,5:40 PM CT,prior:2026-08-09,0.1793103448275862,vs_rhp,9.4,39.6,0.292,0.205,41.76353448275862,44.31301724137931,False,24.037835304242254,219
Jimmy Crooks,699625,8,L,STL,Cristopher Sánchez,PHI,L,PHI@STL,6:45 PM CT,prior:2026-08-10,0.16666666666666666,vs_lhp,8.6,47.1,0.29,0.205,41.509479166666665,44.97052083333333,False,29.636790606653616,220
Brenton Doyle,686668,1,R,CWS,Nick Lodolo,CIN,L,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.22448979591836735,vs_lhp,4.6,36.8,0.248,0.2,41.507729591836735,40.21573979591837,False,26.573882552688886,221
Cam Cauley,695508,9,R,TEX,Ryan Johnson,LAA,R,TEX@LAA,8:38 PM CT,prior:2026-08-10,0.28,vs_rhp,0.0,20.9,0.242,0.198,41.4209375,35.7090625,False,9.080352480417753,222
David Hamilton,666152,9,L,MIL,Walker Buehler,SD,R,MIL@SD,8:40 PM CT,prior:2026-08-10,0.2376237623762376,vs_rhp,3.7,27.5,0.265,0.205,41.37268873762376,39.10337561881188,False,19.303059200215884,223
Braden Montgomery,695731,5,S,CWS,Nick Lodolo,CIN,L,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.1836734693877551,vs_lhp,3.7,40.7,0.311,0.241,41.34515943877551,43.62336096938776,False,22.765814047909053,224
Gavin Sheets,657757,7,L,SD,Kyle Harrison,MIL,L,MIL@SD,8:40 PM CT,prior:2026-08-10,0.16923076923076924,vs_lhp,7.1,39.3,0.319,0.231,41.33651442307693,44.75560096153846,False,12.664642816354501,225
Freddy Fermin,666023,8,R,SD,Kyle Harrison,MIL,L,MIL@SD,8:40 PM CT,prior:2026-08-10,0.21568627450980393,vs_lhp,4.2,27.8,0.275,0.211,40.034877450980396,39.1705637254902,False,22.89730146286834,226
Brett Baty,683146,7,L,NYM,Martín Pérez,ATL,L,NYM@ATL,6:15 PM CT,prior:2026-08-10,0.15151515151515152,vs_lhp,8.8,40.3,0.301,0.231,39.848702651515154,44.15107007575757,False,22.605154655786272,227
Moisés Ballesteros,694208,6,L,LAA,Cody Bradford,TEX,L,TEX@LAA,8:38 PM CT,prior:2026-08-10,0.125,vs_lhp,9.2,46.8,0.311,0.243,39.375625,45.706875,False,25.39857142857143,228
Colt Emerson,806068,9,L,SEA,Ryan Weathers,NYY,L,SEA@NYY,6:05 PM CT,prior:2026-08-09,0.2028985507246377,vs_lhp,5.0,31.4,0.255,0.202,38.812355072463774,38.48492753623189,False,31.72381956519541,229
Cal Raleigh,663728,7,S,SEA,Ryan Weathers,NYY,L,SEA@NYY,6:05 PM CT,prior:2026-08-09,0.14705882352941177,vs_lhp,13.1,34.3,0.295,0.179,38.74744485294118,42.90887867647059,False,33.13057632172565,230
Weston Wilson,642215,8,R,SEA,Ryan Weathers,NYY,L,SEA@NYY,6:05 PM CT,prior:2026-08-09,0.21666666666666667,vs_lhp,4.9,29.5,0.243,0.173,38.55447916666667,36.93302083333333,False,33.93994418936036,231
