batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Angel Genao,694197,9,S,CLE,Christian Scott,NYM,R,NYM@CLE,5:40 PM CT,official,0.75,vs_rhp,,,,,176.25,176.25,False,22.031652445969467,1
Eduardo Valencia,680664,8,R,DET,Bryan Woo,SEA,R,DET@SEA,8:40 PM CT,official,0.4444444444444444,vs_rhp,21.7,52.2,0.369,0.269,81.40506944444445,74.98909722222223,False,27.006789301701286,2
Christian Encarnacion-Strand,687952,6,R,BAL,Reid Detmers,LAA,L,LAA@BAL,5:35 PM CT,official,0.4444444444444444,vs_lhp,20.6,41.2,0.394,0.278,79.95069444444445,73.26097222222222,False,19.19581014282569,3
Max Clark,703601,7,L,DET,Bryan Woo,SEA,R,DET@SEA,8:40 PM CT,official,0.35714285714285715,vs_rhp,0.0,50.0,0.368,0.273,78.03571428571429,78.03571428571429,True,28.352504472271917,4
Yordan Alvarez,670541,2,L,HOU,Jameson Taillon,TOR,R,TOR@HOU,1:10 PM CT,official,0.3509933774834437,vs_rhp,18.0,53.7,0.473,0.337,76.49965024834438,76.7018563741722,False,16.764078593819974,5
Abimelec Ortiz,694673,2,L,WSH,Andrew Painter,PHI,R,WSH@PHI,5:40 PM CT,official,0.3333333333333333,vs_rhp,16.7,66.7,0.499,0.328,72.08333333333333,72.08333333333333,True,12.655924416951585,6
George Lombard Jr.,806146,8,R,NYY,Andre Pallante,STL,R,STL@NYY,6:05 PM CT,official,0.3333333333333333,vs_rhp,50.0,50.0,0.54,0.295,72.08333333333333,72.08333333333333,True,14.305959703836544,7
Elly De La Cruz,682829,1,S,CIN,Jacob Lopez,ATH,L,ATH@CIN,5:40 PM CT,official,0.3431372549019608,vs_lhp,14.3,52.7,0.37,0.277,68.05216299019608,65.80842524509805,False,20.745811911673368,8
Shohei Ohtani,660271,1,L,LAD,Shota Imanaga,CHC,L,LAD@CHC,1:20 PM CT,official,0.30434782608695654,vs_lhp,16.2,52.7,0.411,0.298,67.27822010869565,68.11145380434783,False,26.27655085549493,9
Brandon Nimmo,607043,3,L,TEX,Carson Whisenhunt,SF,L,SF@TEX,1:35 PM CT,official,0.34545454545454546,vs_lhp,11.4,51.3,0.37,0.29,66.93764204545455,64.23053977272727,False,24.071083608419222,10
Alec Burleson,676475,3,L,STL,Will Warren,NYY,R,STL@NYY,6:05 PM CT,official,0.3288590604026846,vs_rhp,11.7,49.0,0.385,0.299,65.80403104026846,64.17232802013423,False,16.51253805475907,11
John Rave,670231,8,L,KC,Dean Kremer,MIN,R,MIN@KC,6:40 PM CT,official,0.2962962962962963,vs_rhp,22.2,40.7,0.382,0.276,65.26994212962963,65.96450231481481,False,19.592456896551724,12
Esmerlyn Valdez,699013,4,R,PIT,Kyle Harrison,MIL,L,PIT@MIL,6:40 PM CT,official,0.28846153846153844,vs_lhp,24.1,50.6,0.354,0.21,64.56240384615384,65.35182692307693,False,28.597562737166186,13
Mike Trout,545361,2,R,LAA,Trevor Rogers,BAL,L,LAA@BAL,5:35 PM CT,official,0.2903225806451613,vs_lhp,17.1,47.9,0.393,0.259,63.657570564516135,64.36331653225807,False,18.446495954679385,14
Drake Baldwin,686948,1,L,ATL,Eury Pérez,MIA,R,MIA@ATL,6:15 PM CT,official,0.29245283018867924,vs_rhp,14.7,51.1,0.383,0.28,63.46434551886793,63.961079009433966,False,21.533834416394804,15
Riley Greene,682985,4,L,DET,Bryan Woo,SEA,R,DET@SEA,8:40 PM CT,official,0.302158273381295,vs_rhp,15.1,49.6,0.368,0.262,63.272702338129506,62.83103866906475,False,22.600685505986366,16
Griffin Conine,665052,4,L,MIA,Bryce Elder,ATL,R,MIA@ATL,6:15 PM CT,official,0.2702702702702703,vs_rhp,16.5,55.3,0.383,0.276,62.83921452702703,64.88882601351352,False,21.023558930771745,17
