rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,status
1,Jack Perkins,678022,ATH,BOS,BOS@ATH,6.8035324908265515,6.551676181519267,4,5.0,17,-2.8035324908265515,2.8035324908265515,swingman,medium,official,In Progress
2,Zack Wheeler,554430,PHI,MIA,PHI@MIA,5.845721803313947,4.29378324843169,6,3.0,16,0.15427819668605292,0.15427819668605292,starter,clear,official,Final
3,George Kirby,669923,SEA,TEX,SEA@TEX,5.654058260431072,5.505797514901532,3,4.0,20,-2.6540582604310723,2.6540582604310723,starter,clear,official,Final
4,Max Fried,608331,NYY,CWS,NYY@CWS,5.396026054975633,5.2151021564586975,4,3.0,15,-1.396026054975633,1.396026054975633,starter,clear,official,In Progress
5,Merrill Kelly,518876,AZ,PIT,AZ@PIT,5.303177150183234,5.937793250261763,6,5.666666666666667,22,0.6968228498167663,0.6968228498167663,starter,high,official,Final
6,Kumar Rocker,677958,TEX,SEA,SEA@TEX,5.293503337157521,5.078164940528062,7,6.666666666666667,25,1.7064966628424791,1.7064966628424791,starter,clear,official,Final
7,Tyler Phillips,663969,MIA,PHI,PHI@MIA,5.196635984795557,5.776941017240405,5,5.0,20,-0.19663598479555677,0.19663598479555677,swingman,high,official,Final
8,Keider Montero,672456,DET,BAL,BAL@DET,5.175279590861736,5.467000341601485,1,4.333333333333333,24,-4.175279590861736,4.175279590861736,starter,low,official,Final
9,Payton Tolle,801139,BOS,ATH,BOS@ATH,5.134732035172757,3.889291106147418,5,4.333333333333333,18,-0.13473203517275678,0.13473203517275678,starter,clear,official,In Progress
10,Slade Cecconi,677944,CLE,CIN,CLE@CIN,5.03511613111208,5.193737330160114,,,,,,starter,medium,prior:2026-07-26,Postponed
11,Matthew Liberatore,669461,STL,CHC,CHC@STL,4.976470110035349,5.093452926872657,5,3.6666666666666665,19,0.02352988996465122,0.02352988996465122,starter,medium,official,In Progress
12,Walbert Ureña,700712,LAA,HOU,HOU@LAA,4.50702411739785,4.600308009656503,5,3.0,12,0.49297588260215,0.49297588260215,starter,medium,official,In Progress
13,Tyler Mahle,641816,SF,MIL,MIL@SF,4.330104959367156,4.5048419973466665,2,4.0,13,-2.330104959367156,2.330104959367156,starter,medium,official,In Progress
14,Tatsuya Imai,837227,HOU,LAA,HOU@LAA,4.258556513776034,4.327349750663351,1,0.6666666666666666,7,-3.2585565137760337,3.2585565137760337,starter,high,official,In Progress
15,David Peterson,656849,CHC,STL,CHC@STL,4.248829528341993,4.456674170923344,1,4.0,16,-3.248829528341993,3.248829528341993,starter,medium,official,In Progress
16,Mitch Keller,656605,PIT,AZ,AZ@PIT,4.156316982097257,3.8025878394168044,4,5.333333333333333,23,-0.1563169820972572,0.1563169820972572,starter,low,official,Final
17,Chase Burns,695505,CIN,CLE,CLE@CIN,4.12789106513114,4.075558664473057,,,,,,starter,clear,prior:2026-07-26,Postponed
18,Kyle Bradish,680694,BAL,DET,BAL@DET,4.12751195071168,4.259797793244216,4,4.666666666666667,24,-0.1275119507116802,0.1275119507116802,starter,medium,official,Final
19,Noah Schultz,702273,CWS,NYY,NYY@CWS,3.9010934588535795,4.409497624146229,5,3.3333333333333335,14,1.0989065411464205,1.0989065411464205,starter,high,official,In Progress
20,Zac Thornton,804267,NYM,ATL,ATL@NYM,3.888985794005243,4.003908277150347,5,6.333333333333333,23,1.1110142059947572,1.1110142059947572,starter,clear,official,Final
21,Brandon Sproat,687075,MIL,SF,MIL@SF,3.3866908069128123,3.18789202908313,3,3.6666666666666665,17,-0.3866908069128123,0.3866908069128123,starter,high,official,In Progress
22,Martín Pérez,527048,ATL,NYM,ATL@NYM,3.236364672729208,3.4782888181845832,4,5.0,24,0.7636353272707921,0.7636353272707921,starter,medium,official,Final
23,Max Scherzer,453286,TOR,WSH,TOR@WSH,2.9125144999444714,2.971902346859449,4,2.6666666666666665,15,1.0874855000555286,1.0874855000555286,starter,high,official,Final
24,Eddy Yean,678868,WSH,TOR,TOR@WSH,2.5081840547554335,2.5081840547554335,0,2.3333333333333335,10,-2.5081840547554335,2.5081840547554335,starter,low,official,Final
