board_rank,pitcher,game,status,ip,k,h,er,bb,hr,bf,pitches,exp_k,delta_k,k_line_ticket,user_leg,user_result,matchup,stuff_plus,spike,outlook,contact_grade,style,risk_flags
3,Parker Messick,CLE@DET,Final,5.2,6,3,2,2,1,23,102,5.68,0.32,5.5,O5.5,HIT,avg,96.6,True,,neutral,whiff,
2,Logan Gilbert,SEA@NYY,In Progress,6.0,7,4,0,1,0,22,95,6.326,0.674,4.5,O4.5,HIT,elite,109.1,True,,whiff_prone,whiff,elev_hr
18,Keider Montero,CLE@DET,Final,6.1,0,3,0,1,0,23,88,3.059,-3.059,,,,soft,94.8,False,UNDER_OK,contact_heavy,fly_popup,elev_xfip
16,Andrew Abbott,CIN@CWS,Game Over,4.1,3,7,5,3,0,23,93,4.066,-1.066,,,,strong,94.8,False,MATCHUP_OK,neutral,balanced,"high_bb,high_xfip,exit_xfip_bb"
13,Davis Martin,CIN@CWS,Game Over,2.0,3,2,3,1,2,11,35,4.42,-1.42,,,,elite,90.1,False,,whiff_prone,balanced,short_recent_ip
8,Braxton Ashcraft,PIT@MIA,Final,9.0,10,3,1,1,1,28,85,4.98,5.02,,,,avg,106.1,True,,contact_heavy,whiff,elev_hr
4,Tyler Phillips,PIT@MIA,Final,5.1,6,6,4,1,1,23,92,5.419,0.581,,,,strong,96.0,False,MATCHUP_OK,whiff_prone,balanced,"elev_bb,elev_xfip"
5,Max Fried,SEA@NYY,In Progress,5.0,4,5,1,2,1,20,88,5.397,-1.397,,,,strong,106.1,False,,neutral,balanced,
