rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,ticket_outlook,ticket_note,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
19,Bryce Miller,682243,SEA,R,MIN,MIN@SEA,9:10 PM CT,2026-08-01T02:10:00Z,ok,prior:2026-07-30,6.1032165487207415,24,2.6666666666666665,season_start_est,starter,21.188465471338322,24.056308219808113,4.475886423377909,4.922812329687549,1.906961892420449,9,9,1.0,24,,24,1.4417476262119489,1.4417476262119489,9.305825587368034,3.4672872816204046,low,elev_hr,1.0,,3.0,5.0625,5.333333333333333,3.433059308655417,0.3,20.65868263473054,0.22494509044748226,9.281437125748504,recent,0.9898550505532859,neutral,0.9911670658682634,0.992148502994012,mild,530,469,"668885,680777,668904,605137,665019,807712,686797,656577,668952",Austin Martin; Ryan Jeffers; Royce Lewis; Josh Bell; Kody Clemens; Luke Keaschall; Brooks Lee; Alex Jackson; Ryan Kreidler,,False,,16,0.4827586206896552,avg,,"arsenal K% 21.2 (#16/29, avg, opp K% 20.7)",3.0,15.0,64.0,2.0,5.0,18.0,.295,.984,23.4375,2,8,4.0,1,7,7.0,2025-05-31 H: 4.0IP 2K; 2024-06-29 H: 5.0IP 6K; 2023-07-26 A: 5.2IP 7K
20,Carson Whisenhunt,687931,SF,L,SD,SF@SD,8:45 PM CT,2026-08-01T01:45:00Z,ok,prior:2026-07-30,4.488674492192635,19,2.111111111111111,season_shrunk,starter,24.16232004875319,30.438352668439457,4.138621623123232,4.31604026529295,2.174608804387787,9,9,1.0,19,,19,4.595744867355057,1.7234043252581464,7.468085409451968,4.920125130681188,high,"high_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb",0.84681,"exit_hr,exit_xfip_bb",4.333333333333333,7.468085106382978,5.222222222222222,3.7246447913938883,0.3,20.39660056657224,0.28919505552556546,9.06515580736544,recent,0.9515036259765197,neutral,0.9931135977337111,0.9938787535410765,mild,59,191,"665487,650859,592518,664034,701538,669134,593428,630105,687749",Fernando Tatis Jr.; Luis Rengifo; Manny Machado; Ty France; Jackson Merrill; Luis Campusano; Xander Bogaerts; Jake Cronenworth; Jase Bowen,statcast_fallback,False,,6,0.8275862068965517,elite,,"arsenal K% 24.2 (#6/29, elite, opp K% 20.4)",,,,,,,,,,0,0,,0,0,,
21,Hunter Brown,686613,HOU,R,TEX,TEX@HOU,7:15 PM CT,2026-08-01T00:15:00Z,ok,official,4.7,20,2.2222222222222223,season_avg,starter,19.399011378453974,23.141820537738905,4.031952614980865,4.049689719514443,1.7459110240608575,9,9,1.0,20,,20,5.361702127659575,0.9574468085106383,9.574468085106384,4.282201352937425,medium,"high_bb,elev_xfip",0.9,,5.0,7.641509433962264,5.888888888888889,3.990566037735849,0.3,25.94752186588921,0.24391954548660086,7.580174927113703,recent,1.0402407514400955,neutral,1.0064784256559767,1.0,neutral,459,363,"592626,694671,608369,607043,677649,694497,669394,670032,642851",Joc Pederson; Wyatt Langford; Corey Seager; Brandon Nimmo; Ezequiel Duran; Evan Carter; Jake Burger; Nicky Lopez; Austin Wynns,,False,,21,0.3103448275862069,soft,,"arsenal K% 19.4 (#21/29, soft, opp K% 25.9)",10.0,57.0,236.0,20.0,5.0,50.0,.236,.682,24.152542372881356,3,18,6.0,6,34,5.666666666666667,2026-07-10 A: 6.0IP 4K; 2025-09-06 A: 6.0IP 8K; 2025-07-13 H: 5.0IP 8K; 2025-05-15 A: 8.0IP 9K; 2024-08-05 A: 6.0IP 4K; 2024-07-12 H: 6.0IP 5K; 2024-04-05 A: 3.0IP 3K; 2023-07-01 A: 4.0IP 6K
22,Jeffrey Springs,605488,ATH,L,DET,DET@ATH,8:40 PM CT,2026-08-01T01:40:00Z,ok,prior:2026-07-29,4.467542857142857,20,2.2222222222222223,season_avg,starter,22.937118912935198,27.257905746358563,3.826856566606682,4.38994101351975,2.0643407021641678,9,9,1.0,20,,20,3.375,2.3365384615384617,7.4423076923076925,4.872937345547745,high,"high_hr,high_xfip,short_recent_ip,exit_hr",0.9021,"short_recent_ip,exit_hr",2.0,5.0625,3.5555555555555554,2.5129928571428573,0.3,21.27659574468085,0.2853861324439997,6.990881458966565,recent,0.96371847821963,aggressive,1.0104729483282675,1.0,low,472,1317,"650402,805808,701678,693307,682985,680664,679529,663837,595879",Gleyber Torres; Kevin McGonigle; Hao-Yu Lee; Dillon Dingler; Riley Greene; Eduardo Valencia; Spencer Torkelson; Matt Vierling; Javier Báez,,False,,13,0.5862068965517241,avg,,"arsenal K% 22.9 (#13/29, avg, opp K% 21.3)",4.0,25.0,86.0,7.0,3.0,14.0,.179,.565,29.069767441860463,1,12,12.0,2,7,3.5,2026-07-08 A: 4.1IP 4K; 2025-06-26 A: 5.0IP 3K; 2023-04-02 H: 6.0IP 12K
23,Tanner Bibee,676440,CLE,R,AZ,AZ@CLE,6:10 PM CT,2026-07-31T23:10:00Z,ok,official,5.641529467907421,23,2.5555555555555554,season_avg,starter,17.432688273118597,20.73853051493036,3.774890473864268,3.7088768306602597,1.5689419445806738,9,9,1.0,23,,23,2.664,1.44,6.984,4.30294767254591,medium,"elev_hr,elev_xfip",1.0,,4.333333333333333,6.267857142857142,6.222222222222222,3.9289223080069533,0.3,18.89763779527559,0.2543548146059763,9.186351706036746,recent,0.9534276866123823,neutral,0.9920228346456693,0.992909186351706,mild,1096,857,"682998,672695,672515,606466,596146,571448,680728,694374,814439",Corbin Carroll; Geraldo Perdomo; Gabriel Moreno; Ketel Marte; Max Kepler; Nolan Arenado; Adrian Del Castillo; Tim Tawa; Ryan Waldschmidt,,True,"K9 7.0, soft L3 4.3, elev_xFIP 4.30",26,0.13793103448275862,soft,FILLER,"soft-contact (K9 7.0, soft L3 4.3, elev_xFIP 4.30) + arsenal K% 17.4 (#26/29, soft, opp K% 18.9) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",2.0,11.0,50.0,4.0,2.0,14.0,.311,1.024,22.0,0,0,,2,11,5.5,2025-08-19 A: 5.2IP 5K; 2023-06-18 A: 5.0IP 6K
24,Ryan Johnson,696270,LAA,R,MIL,MIL@LAA,8:38 PM CT,2026-08-01T01:38:00Z,ok,prior:2026-07-29,4.191355240634596,19,2.111111111111111,season_start_est,starter,22.983271321622393,25.41303492224926,3.714266742110729,3.958874018525636,2.0684944189460155,9,9,1.0,19,,19,3.6720002241211076,2.3760001450195403,7.344000448242215,4.996093538340885,high,"elev_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb",0.893855,"exit_hr,exit_xfip_bb",3.3333333333333335,6.75,4.444444444444445,3.1435164304759473,0.3,19.24198250728863,0.26331615190113705,10.787172011661808,recent,0.9524589152881938,patient,0.9514231778425656,0.9701539358600583,elevated,437,315,"668930,694192,641343,592885,596142,669003,800325,666152,806198",Brice Turang; Jackson Chourio; Jake Bauers; Christian Yelich; Gary Sánchez; Garrett Mitchell; Luis Lara; David Hamilton; Cooper Pratt,,False,,12,0.6206896551724138,avg,,"arsenal K% 23.0 (#12/29, avg, opp K% 19.2)",,,,,,,,,,0,0,,0,0,,
25,Kodai Senga,673540,NYM,R,MIA,MIA@NYM,6:10 PM CT,2026-07-31T23:10:00Z,ok,official,4.178095238095238,20,2.2222222222222223,season_start_est,starter,16.241657730199805,19.314946859903383,3.6566219769083332,3.1443250098032154,1.4617491957179825,9,9,1.0,20,,20,6.639344833192616,2.655737933277046,10.84426322754794,5.076691985824246,high,"high_bb,high_hr,high_xfip,short_recent_ip,exit_hr,exit_xfip_bb",0.82,"short_recent_ip,exit_hr,exit_xfip_bb",4.0,10.451612903225808,3.444444444444444,4.851981566820276,0.3,24.207492795389047,0.233456899998749,8.645533141210375,recent,1.025984872147662,neutral,0.9968902017291066,1.0,neutral,359,427,"689414,669364,672640,669065,665052,681715,805300,691788,691594",Liam Hicks; Xavier Edwards; Otto Lopez; Kyle Stowers; Griffin Conine; Heriberto Hernández; Jakob Marsee; Joe Mack; Javier Sanoja,,False,,28,0.06896551724137931,soft,,"arsenal K% 16.2 (#28/29, soft, opp K% 24.2)",7.0,43.0,152.0,16.0,6.0,31.0,.231,.719,28.289473684210527,4,24,6.0,3,19,6.333333333333333,2025-08-31 H: 4.2IP 6K; 2025-04-07 H: 5.0IP 4K; 2025-04-01 A: 5.0IP 8K; 2023-09-27 H: 5.0IP 8K; 2023-09-20 A: 6.0IP 3K; 2023-04-08 H: 6.0IP 6K; 2023-04-02 A: 5.1IP 8K
26,Nick Martinez,607259,TB,R,CWS,CWS@TB,6:10 PM CT,2026-07-31T23:10:00Z,ok,official,5.677578215962441,23,2.5555555555555554,season_avg,starter,18.926576399417847,24.5030063511803,3.5687531726815744,4.255940731133096,1.7033918759476063,9,9,1.0,23,,23,1.5340909755919618,0.843750036575579,5.139204768233072,4.652327611726327,low,elev_xfip,1.0,,2.0,3.1153846153846154,5.777777777777778,1.9653155362946912,0.3,23.943661971830984,0.2237976636214588,10.985915492957746,recent,1.028263397684254,patient,0.95,0.9677690140845071,elevated,991,655,"803011,808959,678246,695657,643217,695731,671976,805367,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Colson Montgomery; Andrew Benintendi; Braden Montgomery; Tristan Peters; Chase Meidroth; Drew Romo,,True,"K9 5.1, soft L3 2.0, elev_xFIP 4.65",23,0.2413793103448276,soft,FILLER,"soft-contact (K9 5.1, soft L3 2.0, elev_xFIP 4.65) + arsenal K% 18.9 (#23/29, soft, opp K% 23.9) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",7.0,23.0,126.0,12.0,2.0,28.0,.259,.718,18.253968253968253,1,3,3.0,1,8,8.0,2025-05-15 H: 7.0IP 3K; 2023-09-29 A: 5.0IP 8K
27,Mitch Bratt,683352,AZ,L,CLE,AZ@CLE,6:10 PM CT,2026-07-31T23:10:00Z,ok,official,3.5659143646751437,17,1.8888888888888888,season_shrunk,starter,19.32839863371912,19.4000597398254,2.8643524049047415,3.2473733416889767,1.739555877034721,9,9,1.0,17,,17,6.319149192613204,2.2978724336775285,5.744681084193822,6.652327281630287,high,"high_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb",0.84681,"exit_hr,exit_xfip_bb",2.3333333333333335,4.973684210526315,4.222222222222222,1.9706368857415266,0.3,20.23121387283237,0.2343950068782498,8.959537572254336,recent,0.9797417057545349,neutral,0.994064161849711,0.9947236994219654,mild,68,220,"682657,608070,800050,656555,677587,681807,683953,595978,680757",Angel Martínez; José Ramírez; Chase DeLauter; Rhys Hoskins; Brayan Rocchio; David Fry; Travis Bazzana; Austin Hedges; Steven Kwan,statcast_fallback,True,"K9 5.7, soft L3 2.3, elev_xFIP 6.65",22,0.27586206896551724,soft,FILLER,"soft-contact (K9 5.7, soft L3 2.3, elev_xFIP 6.65) + arsenal K% 19.3 (#22/29, soft, opp K% 20.2) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds",,,,,,,,,,0,0,,0,0,,
28,Bradgley Rodriguez,699134,SD,R,SF,SF@SD,8:45 PM CT,2026-08-01T01:45:00Z,ok,prior:2026-07-30,1.395,6,0.6666666666666666,opener_profile,opener_likely,16.720669721123972,21.46297300109736,1.0281737321074704,1.070248188724958,1.5048602749011577,9,9,1.0,6,,6,3.10791426611701,0.38848928326462623,9.129498156718716,3.6556446477263584,low,short_recent_ip,0.93,short_recent_ip,0.6666666666666666,6.0,1.0,0.9299999999999999,0.3,21.005917159763314,0.23260938248491025,7.988165680473373,recent,0.9896328869705775,neutral,1.0028065088757396,1.0,neutral,390,368,"650333,671218,805811,646240,808982,642715,691740,687529,683766",Luis Arraez; Heliot Ramos; Bryce Eldridge; Rafael Devers; Jung Hoo Lee; Willy Adames; Daniel Susac; Grant McCray; Christian Koss,,False,,27,0.10344827586206896,soft,,"arsenal K% 16.7 (#27/29, soft, opp K% 21.0)",3.0,1.0,13.0,0.0,0.0,1.0,.083,.160,7.6923076923076925,1,1,1.0,2,0,0.0,2026-05-06 A: 1.0IP 0K; 2026-05-04 A: 1.1IP 0K; 2026-03-31 H: 1.2IP 1K
29,Edgardo Henriquez,683618,LAD,R,BOS,BOS@LAD,9:10 PM CT,2026-08-01T02:10:00Z,ok,prior:2026-07-30,1.35,5,0.5555555555555556,opener_profile,opener_likely,18.816553686086543,20.33645791385617,0.9224282746091951,0.9224282746091951,1.6934898317477889,9,9,1.0,5,,5,4.07142931101287,0.21428575321120366,9.000001634870554,3.9793044076713113,medium,high_bb,0.9,,,,,,,22.80701754385965,0.2593752406699826,8.187134502923977,recent,0.9956243193858956,neutral,1.0010157894736842,1.0,neutral,307,358,"678011,678882,677800,575929,807799,702332,680776,655316,657136",Anthony Seigler; Ceddanne Rafaela; Wilyer Abreu; Willson Contreras; Masataka Yoshida; Caleb Durbin; Jarren Duran; Andruw Monasterio; Connor Wong,,False,,24,0.20689655172413793,soft,,"arsenal K% 18.8 (#24/29, soft, opp K% 22.8)",2.0,0.0,2.0,0.0,0.0,0.0,.000,.000,0.0,0,0,,2,0,0.0,2025-07-26 A: 0.1IP 0K; 2025-07-25 A: 0.1IP 0K
