rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent
1,Gavin Williams,668909,CLE,R,LAA,CLE@LAA,8:38 PM CT,2026-08-26T01:38:00Z,ok,prior:2026-08-24,5.948717948717948,24,2.6666666666666665,season_avg,starter,26.82194231811748,29.883489594664184,7.41142154807644,6.844934687572377,2.413974808630573,9,9,1.0,24,,24,2.7931036319800824,1.4547414749896264,11.696121458916595,2.8623111830402204,32.36715,70.943709,43.442622899999996,38.797814200000005,9.1549295,14.092141,whiff,"K% 32.4, Contact% 70.9",low,elev_hr,1.0,,7.666666666666667,13.212765957446807,5.222222222222222,8.733224222585923,0.3,29.235880398671096,0.21426623256707186,5.647840531561462,63.45514950166113,whiff_prone,recent,1.07,free_swing,1.0212172757475084,1.0,low,1454,972,"687263,545361,687093,694208,642350,672569,695681,694203,518595",Zach Neto; Mike Trout; Vaughn Grissom; Moisés Ballesteros; Jose Siri; Gustavo Campero; Christian Moore; Denzer Guzman; Travis d'Arnaud,,30.990766694146743,97.48650793650793,FF,elite,True,"K9 11.7, L3 K9 13.2, stuff whiff 31.0%",savant+statcast,False,,3,0.9310344827586207,elite,elite,4.321942318117479,-2.413938080553617,,"arsenal K% 26.8 (elite solo, +4.3 vs lg, -2.4 vs opp K%, opp K% 29.2; slate #3/29 elite); stuff whiff 31.0% (elite), FF 97.5 mph; pitcher style WHIFF (K% 32.4, Contact% 70.9); stuff ceiling (K9 11.7, L3 K9 13.2, stuff whiff 31.0%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 7.4 (≥5.5)",0,trust,2.0,11.0,42.0,5.0,1.0,6.0,.167,.564,26.19047619047619,1,6,6.0,1,5,5.0,2025-06-01 H: 6.2IP 6K; 2025-04-04 A: 3.0IP 5K
2,Jacob deGrom,594798,TEX,R,CWS,TEX@CWS,6:40 PM CT,2026-08-25T23:40:00Z,ok,prior:2026-08-24,5.025045934202359,21,2.3333333333333335,season_avg,starter,25.058367148567577,29.416127345900843,6.24240013947602,5.273175675544252,2.255253043371082,9,9,1.0,21,,21,2.2736842561758794,1.207894761093436,11.155263381862909,3.0696756150175992,30.30888,68.65808799999999,34.8623853,43.7308868,10.4895104,12.765957,whiff,"K% 30.3, Contact% 68.7",low,elev_hr,1.0,,7.333333333333333,15.23076923076923,4.333333333333333,8.503923888650146,0.3,24.022346368715084,0.21286385615292694,12.29050279329609,62.29050279329609,whiff_prone,recent,1.07,patient,0.95,0.9521139664804469,elevated,1245,873,"803011,808959,678246,643217,695731,695657,805367,671976,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Andrew Benintendi; Braden Montgomery; Colson Montgomery; Chase Meidroth; Tristan Peters; Drew Romo,,34.61532153326654,97.33932584269665,FF,elite,True,"K9 11.2, L3 K9 15.2, stuff whiff 34.6%",savant+statcast,False,,4,0.896551724137931,elite,elite,2.5583671485675765,1.0360207798524925,,"arsenal K% 25.1 (elite solo, +2.6 vs lg, +1.0 vs opp K%, opp K% 24.0; slate #4/29 elite); stuff whiff 34.6% (elite), FF 97.3 mph; pitcher style WHIFF (K% 30.3, Contact% 68.7); stuff ceiling (K9 11.2, L3 K9 15.2, stuff whiff 34.6%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.2 (≥5.5)",0,trust,4.0,33.0,99.0,6.0,1.0,22.0,.242,.635,33.333333333333336,2,12,6.0,0,0,,2026-07-20 H: 4.2IP 6K; 2025-06-14 H: 6.0IP 6K
3,Adrian Houser,605288,SF,R,CIN,CIN@SF,8:45 PM CT,2026-08-26T01:45:00Z,ok,prior:2026-08-24,5.974624276923077,26,2.888888888888889,season_start_est,starter,21.768386792385076,21.67442754887623,6.221406674915935,5.950618609543771,1.959154811314657,9,9,1.0,26,,26,2.8333336335641683,1.2500001324547803,6.083333977946597,4.593372748416728,15.732759,83.994878,43.2276657,37.1757925,8.5271317,15.580737,balanced,,medium,"elev_hr,elev_xfip,short_recent_ip",0.93,short_recent_ip,4.333333333333333,10.323529411764707,3.7777777777777772,6.8532454941176475,0.3,28.307692307692307,0.22198736857745513,10.153846153846155,60.30769230769231,whiff_prone,recent,1.07,three_true,0.9898038461538462,0.9833153846153846,elevated,1113,592,"682829,701398,667472,663886,553993,680574,668709,624431,671155",Elly De La Cruz; Sal Stewart; Dane Myers; Tyler Stephenson; Eugenio Suárez; Matt McLain; JJ Bleday; Jose Trevino; Ivan Johnson,,17.363141830720433,94.91203585147248,SI,soft,True,L3 K9 10.3,savant+statcast,True,"K9 6.1, soft L3 4.3, elev_xFIP 4.59",12,0.6206896551724138,avg,avg,-0.7316132076149238,-6.53930551530723,SPIKE,"soft-contact (K9 6.1, soft L3 4.3, elev_xFIP 4.59) + arsenal K% 21.8 (avg solo, -0.7 vs lg, -6.5 vs opp K%, opp K% 28.3; slate #12/29 avg); stuff whiff 17.4% (soft), SI 94.9 mph; SPIKE (L3 K9 10.3) — no soft U6; prefer U6.5+ or pass",0,,17.0,54.0,326.0,31.0,13.0,75.0,.259,.797,16.56441717791411,0,0,,2,7,3.5,2023-07-16 A: 5.2IP 5K; 2023-06-04 A: 7.0IP 2K
4,Matthew Liberatore,669461,STL,L,BAL,BAL@STL,6:45 PM CT,2026-08-25T23:45:00Z,ok,official,4.85,21,2.3333333333333335,season_avg,starter,29.891935037828173,29.808709517857874,6.164106845529825,6.515196368249605,2.690274153404536,9,9,1.0,21,,21,3.168000193359387,1.512000092285162,9.00000054931644,4.061976338570629,23.10536,78.150407,36.538461500000004,40.9340659,6.7114093,11.444142,balanced,,medium,"high_hr,exit_hr",0.97,exit_hr,6.0,9.918367346938776,5.444444444444444,5.344897959183673,0.3,24.691358024691358,0.23265094965508412,6.172839506172839,66.66666666666667,neutral,recent,1.0380965218454883,free_swing,1.0170172839506173,1.0,low,493,1616,"702616,624413,683002,691723,687952,694212,681047,687637,665750",Jackson Holliday; Pete Alonso; Gunnar Henderson; Coby Mayo; Christian Encarnacion-Strand; Samuel Basallo; Christian Franklin; Dylan Beavers; Leody Taveras,,24.603123450669305,94.42941176470589,FF,avg,False,,savant,False,,1,1.0,elite,elite,7.391935037828173,5.200577013136815,,"arsenal K% 29.9 (elite solo, +7.4 vs lg, +5.2 vs opp K%, opp K% 24.7; slate #1/29 elite); stuff whiff 24.6% (avg), FF 94.4 mph; total caution — Exp K 6.2 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,1.0,0.0,5.0,1.0,0.0,1.0,.250,.900,0.0,0,0,,1,0,0.0,2023-09-12 A: 1.1IP 0K
5,Andrew Alvarez,674841,WSH,L,COL,COL@WSH,5:45 PM CT,2026-08-25T22:45:00Z,ok,prior:2026-08-24,5.856305046728973,25,2.7777777777777777,season_start_est,starter,28.52937505627886,30.393751843356497,6.104846449469759,6.995690762259871,2.5676437550650975,9,9,1.0,25,,25,4.050000386238135,0.45000004291534834,8.325000793933944,3.8685513470341815,21.828909,75.517241,49.5535714,27.678571400000003,14.516129,14.60177,contact_gb,GB% 49.6,medium,high_bb,0.9,,3.6666666666666665,6.1875,5.333333333333333,4.026209719626169,0.3,23.67601246105919,0.2352687788011289,9.034267912772586,65.10903426791278,neutral,recent,1.0407996277296243,neutral,0.9933915887850467,0.9941258566978193,mild,382,929,"664983,666160,650489,681198,687859,681393,664954,691728,678662",Jake McCarthy; Mickey Moniak; Willi Castro; TJ Rumfield; Troy Johnston; Connor Norby; Brett Sullivan; Zac Veen; Ezequiel Tovar,,25.33600183938799,92.2872972972973,FF,avg,False,,savant+statcast,False,,2,0.9655172413793104,elite,elite,6.029375056278859,4.853362595219668,THIN_TOTAL,"arsenal K% 28.5 (elite solo, +6.0 vs lg, +4.9 vs opp K%, opp K% 23.7; slate #2/29 elite); stuff whiff 25.3% (avg), FF 92.3 mph; pitcher style GB/contact (GB% 49.6); THIN total — Exp K 6.1 with STYLE GB (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length",1,thin,1.0,2.0,21.0,3.0,0.0,6.0,.333,.818,9.523809523809524,0,0,,1,2,2.0,2026-07-20 A: 4.1IP 2K
6,Brandon Pfaadt,694297,AZ,R,CHC,CHC@AZ,8:40 PM CT,2026-08-26T01:40:00Z,ok,prior:2026-08-24,6.671396177650819,27,3.0,season_start_est,starter,23.79450983103764,23.471984795645913,6.03059359535265,6.143647956604089,2.1415058847933874,9,9,1.0,27,,27,2.196610240503416,1.0067796935640656,6.315254441447321,4.2413736083431575,17.121588,80.410959,48.0392156,36.2745098,11.7117117,14.379085,contact_gb,GB% 48.0,low,elev_xfip,1.0,,5.666666666666667,7.779661016949152,6.555555555555556,5.766800085765961,0.3,20.954907161803714,0.2465074380210168,9.814323607427056,67.10875331564986,neutral,recent,0.991420885852836,patient,0.9645566312997348,0.9818281167108753,elevated,824,657,"691718,673548,683737,608324,664023,663538,699393,624424,608348",Pete Crow-Armstrong; Seiya Suzuki; Michael Busch; Alex Bregman; Ian Happ; Nico Hoerner; Pedro Ramírez; Michael Conforto; Carson Kelly,,22.092279990997078,93.13947368421053,FF,avg,False,,savant+statcast,True,"K9 6.3, elev_xFIP 4.24",7,0.7931034482758621,strong,strong,1.2945098310376402,2.8396026692339262,MATCHUP_OK,"soft-contact profile (K9 6.3, elev_xFIP 4.24) but arsenal K% 23.8 (strong solo, +1.3 vs lg, +2.8 vs opp K%, opp K% 21.0; slate #7/29 strong); stuff whiff 22.1% (avg), FF 93.1 mph; pitcher style GB/contact (GB% 48.0) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds; GB/contact out-getter — soft matchup strengthens under; elite mix alone is not a nuke over without length; THIN total — Exp K 6.0 with STYLE GB (BIP outs); O3.5 / thin O4.5 only, do not nuke the number",1,thin,6.0,29.0,134.0,7.0,5.0,28.0,.222,.642,21.64179104477612,3,17,5.666666666666667,3,12,4.0,2026-05-03 A: 2.1IP 1K; 2025-03-29 H: 6.0IP 5K; 2024-07-21 A: 7.0IP 7K; 2024-04-17 H: 7.0IP 6K; 2023-09-15 H: 5.1IP 6K; 2023-09-10 A: 6.0IP 4K
7,Tyler Glasnow,607192,LAD,R,ATL,LAD@ATL,6:15 PM CT,2026-08-25T23:15:00Z,ok,official,5.666666666666666,21,2.3333333333333335,season_avg,starter,22.32104153731339,23.556358802952477,5.7526973805309005,4.906450803355834,2.0088937383582053,9,9,1.0,21,,21,2.9495800210378964,1.1344538542453448,11.117647771604378,2.8927422488432515,33.108108,71.595331,45.3488372,39.5348837,14.7058823,15.116278999999999,whiff,"K% 33.1, Contact% 71.6",clear,,1.0,,6.666666666666667,12.272727272727272,4.888888888888889,7.727272727272726,0.3,25.146198830409357,0.21517913384053192,6.140350877192983,68.42105263157895,neutral,recent,1.0314508305749548,free_swing,1.0172771929824562,1.0,low,373,226,"686948,660670,621566,643289,671739,645277,573262,663586,669221",Drake Baldwin; Ronald Acuña Jr.; Matt Olson; Mauricio Dubón; Michael Harris II; Ozzie Albies; Mike Yastrzemski; Austin Riley; Sean Murphy,,29.517501999711115,95.32816091954022,FF,strong,True,"K9 11.1, L3 K9 12.3, stuff whiff 29.5%",statcast+savant,False,,9,0.7241379310344828,strong,avg,-0.17895846268660875,-2.825157293095966,,"arsenal K% 22.3 (avg solo, -0.2 vs lg, -2.8 vs opp K%, opp K% 25.1; slate #9/29 strong); stuff whiff 29.5% (strong), FF 95.3 mph; pitcher style WHIFF (K% 33.1, Contact% 71.6); stuff ceiling (K9 11.1, L3 K9 12.3, stuff whiff 29.5%)",0,,5.0,39.0,110.0,9.0,3.0,19.0,.188,.592,35.45454545454545,3,26,8.666666666666666,0,0,,2025-03-31 H: 5.0IP 8K; 2024-05-04 H: 7.0IP 10K; 2023-07-07 H: 5.2IP 8K
8,Anthony Kay,641743,CWS,L,TEX,TEX@CWS,6:40 PM CT,2026-08-25T23:40:00Z,ok,prior:2026-08-24,5.1903272239006375,23,2.5555555555555554,season_start_est,starter,24.93913127279181,27.604446785181903,5.28591777924675,5.7546593818594225,2.2445218145512627,9,9,1.0,23,,23,3.1806284231214375,1.1308901059987333,7.350785688991767,4.572767631090413,18.40708,77.73549,45.0777202,34.1968911,13.636363600000001,17.974684,balanced,,low,elev_xfip,1.0,,4.666666666666667,7.26923076923077,5.777777777777778,4.1921873731505155,0.3,22.356495468277945,0.2435817471681422,9.06344410876133,66.16314199395771,neutral,recent,1.0153794876792634,neutral,0.993129003021148,0.9938924471299093,mild,622,1624,"592626,608369,694671,607043,677649,694497,669394,553869,683227",Joc Pederson; Corey Seager; Wyatt Langford; Brandon Nimmo; Ezequiel Duran; Evan Carter; Jake Burger; Elias Díaz; Cody Freeman,,24.654764024933215,95.8432865731463,FF,avg,False,,savant,False,,5,0.8620689655172413,elite,elite,2.4391312727918084,2.5826358045138633,,"arsenal K% 24.9 (elite solo, +2.4 vs lg, +2.6 vs opp K%, opp K% 22.4; slate #5/29 elite); stuff whiff 24.7% (avg), FF 95.8 mph",0,,1.0,4.0,22.0,2.0,1.0,5.0,.278,.881,18.181818181818183,0,0,,1,4,4.0,2026-07-22 A: 5.0IP 4K
9,Kyle Harrison,690986,MIL,L,NYM,MIL@NYM,6:10 PM CT,2026-08-25T23:10:00Z,ok,official,4.916666666666666,20,2.2222222222222223,season_avg,starter,24.817541200590114,24.342521057891254,5.259553641808457,4.4966026051809145,2.2335787080531104,9,9,1.0,20,,20,2.379661140036432,1.189830570018216,11.166102272478641,3.0247164507505477,30.348259,73.11960499999999,37.6518218,39.6761133,8.163265299999999,13.200000000000001,whiff,"K% 30.3, Contact% 73.1",clear,,1.0,,7.0,12.886363636363635,4.888888888888889,7.039772727272726,0.3,19.27710843373494,0.26263216032402026,8.433734939759036,71.98795180722891,contact_heavy,recent,0.9299999999999999,neutral,0.9987963855421687,1.0,neutral,476,1219,"596019,666182,701807,673357,676572,676724,543760,620443,805999",Francisco Lindor; Bo Bichette; Carson Benge; Luis Robert Jr.; Eric Wagaman; Jared Young; Marcus Semien; Luis Torrens; A.J. Ewing,,29.439434075857918,94.84596527068439,FF,strong,True,"K9 11.2, L3 K9 12.9, stuff whiff 29.4%",savant+statcast,False,,6,0.8275862068965517,elite,elite,2.3175412005901137,5.540432766855172,,"arsenal K% 24.8 (elite solo, +2.3 vs lg, +5.5 vs opp K%, opp K% 19.3; slate #6/29 elite); stuff whiff 29.4% (strong), FF 94.8 mph; pitcher style WHIFF (K% 30.3, Contact% 73.1); stuff ceiling (K9 11.2, L3 K9 12.9, stuff whiff 29.4%); K-first arm — confirms overs / SPIKE caution on soft unders",1,,1.0,6.0,24.0,2.0,2.0,6.0,.300,1.025,25.0,0,0,,1,6,6.0,2024-05-24 A: 5.0IP 6K
10,Aaron Nola,605400,PHI,R,SEA,PHI@SEA,8:40 PM CT,2026-08-26T01:40:00Z,ok,prior:2026-08-24,5.036652955145391,22,2.4444444444444446,season_avg,starter,19.466354498013047,24.398940656076846,5.232180017401843,4.300181775818564,1.7519719048211742,9,9,1.0,22,,22,3.021897810218978,2.0364963503649633,9.591240875912408,3.791460845548741,24.620573,74.009217,39.646464599999995,41.4141414,10.3658536,16.5,whiff,"K% 24.6, Contact% 74.0",medium,"high_hr,exit_hr",0.97,exit_hr,8.333333333333334,13.235294117647058,5.666666666666667,7.406842581096163,0.3,26.005361930294907,0.21898508070339234,9.919571045576408,61.93029490616622,whiff_prone,recent,1.07,three_true,0.9910923592493298,0.9854238605898124,elevated,1502,864,"668227,686527,677594,647304,621493,663728,702284,642215,801126",Randy Arozarena; Dominic Canzone; Julio Rodríguez; Josh Naylor; Taylor Ward; Cal Raleigh; Cole Young; Weston Wilson; Brock Rodden,,26.408253652349284,92.31634103019539,FF,strong,True,L3 K9 13.2,statcast+savant,False,,21,0.3103448275862069,soft,soft,-3.0336455019869533,-6.53900743228186,SPIKE,"arsenal K% 19.5 (soft solo, -3.0 vs lg, -6.5 vs opp K%, opp K% 26.0; slate #21/29 soft); stuff whiff 26.4% (strong), FF 92.3 mph; pitcher style WHIFF (K% 24.6, Contact% 74.0); SPIKE (L3 K9 13.2) — no soft U6; prefer U6.5+ or pass — solo SOFT vs lineup but pitcher stuff/K9 can clear 6+; K-first arm — confirms overs / SPIKE caution on soft unders",0,,2.0,15.0,55.0,5.0,1.0,14.0,.280,.725,27.272727272727273,0,0,,0,0,,
