batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Tyler Locklear,682988,8,R,AZ,Mitch Keller,PIT,R,AZ@PIT,5:40 PM CT,prior:2026-07-26,0.35294117647058826,vs_rhp,23.1,38.5,0.475,0.346,76.98529411764707,76.98529411764707,True,10.008665511265164,1
Yordan Alvarez,670541,2,L,HOU,Walbert Ureña,LAA,R,HOU@LAA,8:38 PM CT,prior:2026-07-26,0.34050179211469533,vs_rhp,18.8,53.3,0.473,0.336,75.73174171146954,76.53602710573476,False,17.11970048274477,2
Andrés Chaparro,665953,2,R,WSH,Max Scherzer,TOR,R,TOR@WSH,5:45 PM CT,prior:2026-07-26,0.375,vs_rhp,13.5,50.0,0.377,0.258,70.13125,65.95625,False,26.575886524822696,3
James Wood,695578,1,L,WSH,Max Scherzer,TOR,R,TOR@WSH,5:45 PM CT,prior:2026-07-26,0.2751937984496124,vs_rhp,21.7,58.6,0.42,0.275,67.96187984496125,71.25718992248063,False,27.588676325907205,4
Esmerlyn Valdez,699013,4,R,PIT,Merrill Kelly,AZ,R,AZ@PIT,5:40 PM CT,prior:2026-07-26,0.2692307692307692,vs_rhp,27.9,54.4,0.364,0.222,65.92245192307692,68.69216346153846,False,44.65452218000063,5
Riley Greene,682985,4,L,DET,Kyle Bradish,BAL,R,BAL@DET,5:40 PM CT,prior:2026-07-26,0.3065134099616858,vs_rhp,15.6,51.7,0.372,0.264,64.57477849616858,64.18723299808428,False,24.309947035584173,6
Griffin Conine,665052,6,L,MIA,Zack Wheeler,PHI,R,PHI@MIA,5:40 PM CT,prior:2026-07-26,0.27906976744186046,vs_rhp,16.4,55.2,0.378,0.279,63.52322674418605,65.06223837209302,False,30.265754429054095,7
Jordan Walker,691023,2,R,STL,David Peterson,CHC,L,CHC@STL,6:45 PM CT,prior:2026-07-26,0.297029702970297,vs_lhp,13.8,49.8,0.364,0.282,62.5110952970297,62.29336014851485,False,20.63250669233244,8
Willson Contreras,575929,4,R,BOS,Jack Perkins,ATH,R,BOS@ATH,8:40 PM CT,prior:2026-07-26,0.2896825396825397,vs_rhp,14.5,46.5,0.389,0.271,62.20419146825397,62.56068948412698,False,29.869836686966433,9
Gabriel Moreno,672515,3,R,AZ,Mitch Keller,PIT,R,AZ@PIT,5:40 PM CT,prior:2026-07-26,0.3251231527093596,vs_rhp,7.4,41.9,0.38,0.304,61.885127770935966,59.41834513546799,False,11.387330732244225,10
Nick Kurtz,701762,2,L,ATH,Payton Tolle,BOS,L,BOS@ATH,8:40 PM CT,prior:2026-07-26,0.24806201550387597,vs_lhp,18.1,58.3,0.375,0.247,60.9290140503876,64.0577882751938,False,33.238969886905565,11
Michael Harris II,671739,4,L,ATL,Zac Thornton,NYM,L,ATL@NYM,6:10 PM CT,prior:2026-07-26,0.2857142857142857,vs_lhp,12.4,49.5,0.357,0.295,60.68736607142857,60.842276785714276,False,10.494314347150505,12
Miguel Vargas,678246,3,R,CWS,Max Fried,NYY,L,NYY@CWS,6:40 PM CT,prior:2026-07-26,0.2743362831858407,vs_lhp,14.4,45.7,0.39,0.269,60.45456581858407,61.51587665929203,False,11.991951397135345,13
