rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,ticket_outlook,ticket_note
23,Grayson Rodriguez,680570,LAA,R,HOU,HOU@LAA,8:38 PM CT,2026-07-30T01:38:00Z,ok,prior:2026-07-28,3.6695099999999994,18,2.0,season_avg,starter,27.24322214191482,28.757697558067743,4.023835861577802,5.040645730825433,2.451889992772334,9,9,1.0,18,,18,4.384615813486716,1.615384773389843,6.923077600242184,5.38637406594083,high,"high_bb,high_hr,high_xfip,exit_hr,exit_xfip_bb",0.84681,"exit_hr,exit_xfip_bb",2.0,4.050000000000001,4.444444444444444,1.6512795,0.3,24.397590361445783,0.2517749740387302,7.228915662650603,recent,1.018096053435325,neutral,1.0096397590361446,1.0,neutral,433,307,"665161,670541,670623,572233,514888,701358,666211,701305,543877",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Christian Walker; Jose Altuve; Cam Smith; Taylor Trammell; Zach Dezenzo; Christian Vázquez,,True,"K9 6.9, soft L3 2.0, elev_xFIP 5.39",2,0.9655172413793104,elite,MATCHUP_OK,"soft-contact profile (K9 6.9, soft L3 2.0, elev_xFIP 5.39) but arsenal K% 27.2 (#2/29, elite, opp K% 24.4) — O3.5 / thin O4.5 K only; disclose, not a nuke anchor; if skipping Ks, consider pitcher outs when IP/risk holds"
24,Brady Singer,663903,CIN,R,CLE,CLE@CIN,6:10 PM CT,2026-07-29T23:10:00Z,ok,official,5.011666666666666,22,2.4444444444444446,season_avg,starter,19.016258865186572,23.067470939728143,3.9299302155071505,3.8754445255544336,1.7114632978667914,9,9,1.0,22,,22,2.7870969113797543,1.8290323480929638,7.664516506294325,4.305663106233391,medium,"high_hr,elev_xfip,exit_hr",0.97,exit_hr,5.666666666666667,7.285714285714286,7.0,4.057063492063492,0.3,19.476744186046513,0.26373601951017644,6.976744186046512,recent,0.9549277474089378,aggressive,1.0105860465116279,1.0,low,1133,639,"680757,608070,800050,683953,677587,700932,672356,672275,690984",Steven Kwan; José Ramírez; Chase DeLauter; Travis Bazzana; Brayan Rocchio; Kyle Manzardo; Gabriel Arias; Patrick Bailey; Petey Halpin,,False,,27,0.10344827586206896,soft,,"arsenal K% 19.0 (#27/29, soft, opp K% 19.5)"
25,Jared Jones,683003,PIT,R,AZ,AZ@PIT,11:35 AM CT,2026-07-29T16:35:00Z,ok,official,4.5815083003952575,18,2.0,season_avg,starter,20.058772955427507,21.196132686757682,3.769846142121226,3.1909905129250316,1.8052895659884758,9,9,1.0,18,,18,2.5434782608695654,1.173913043478261,10.369565217391305,3.3549840080349345,clear,,1.0,,6.333333333333333,10.058823529411764,5.666666666666667,5.120509276912347,0.3,15.48913043478261,0.26203756059094935,10.869565217391305,recent,0.9299999999999999,patient,0.9503108695652174,0.9691652173913043,elevated,448,286,"682998,672695,672515,606466,596146,571448,694374,545121,678489",Corbin Carroll; Geraldo Perdomo; Gabriel Moreno; Ketel Marte; Max Kepler; Nolan Arenado; Tim Tawa; Ildemaro Vargas; Jorge Barrosa,,False,,23,0.2413793103448276,soft,,"arsenal K% 20.1 (#23/29, soft, opp K% 15.5)"
26,Matthew Boyd,571510,CHC,L,STL,CHC@STL,6:45 PM CT,2026-07-29T23:45:00Z,ok,official,5.363636363636363,22,2.4444444444444446,season_avg,starter,18.027075914518004,22.745937863128532,3.644336979936046,3.8983139122239083,1.6224368323066205,9,9,1.0,22,,22,2.59322050665002,0.9152542964647129,8.389831050926535,3.9522466859052363,clear,,1.0,,3.6666666666666665,5.120689655172414,6.444444444444444,3.0517241379310343,0.3,19.402985074626866,0.20835447590503403,7.164179104477612,recent,0.9845393666104403,neutral,1.0102223880597014,1.0,neutral,207,748,"802139,691023,671056,676475,691026,665877,691458,701675,686780",JJ Wetherholt; Jordan Walker; Iván Herrera; Alec Burleson; Masyn Winn; José Fermín; Blaze Jordan; Nathan Church; Pedro Pagés,,False,,28,0.06896551724137931,soft,,"arsenal K% 18.0 (#28/29, soft, opp K% 19.4)"
27,Ryan Gusto,687473,MIA,R,PHI,PHI@MIA,11:10 AM CT,2026-07-29T16:10:00Z,ok,official,3.9525,18,2.0,season_start_est,starter,20.484368095532346,24.239762258796894,3.598878897406146,3.796076996294494,1.8435931285979112,9,9,1.0,18,,18,2.911764950900775,0.7941177138820296,8.205883043447638,4.328958151368266,medium,"elev_xfip,short_recent_ip",0.93,short_recent_ip,3.0,7.147058823529411,3.777777777777778,3.13875,0.3,24.528301886792452,0.25877597287877135,6.60377358490566,recent,1.015748686614789,free_swing,1.0135698113207547,1.0,low,348,218,"607208,681082,547180,664761,592663,669016,650559,702222,624641",Trea Turner; Bryson Stott; Bryce Harper; Alec Bohm; J.T. Realmuto; Brandon Marsh; Bryan De La Cruz; Justin Crawford; Edmundo Sosa,statcast_fallback,False,,21,0.3103448275862069,soft,,"arsenal K% 20.5 (#21/29, soft, opp K% 24.5)"
28,Kyle Hart,606996,SD,L,COL,COL@SD,3:10 PM CT,2026-07-29T20:10:00Z,ok,official,1.395,6,0.6666666666666666,opener_profile,opener_likely,25.168549429564933,26.507958046542118,1.4290141041047533,1.4084235100656137,2.265169448660844,9,9,1.0,6,,6,2.8421055484676914,0.947368516155897,7.8157902582861505,4.172995610340948,low,short_recent_ip,0.93,short_recent_ip,2.0,9.529411764705884,1.8888888888888886,1.4770588235294122,0.3,23.582089552238806,0.24210176544801595,6.268656716417911,recent,1.0140380588543374,aggressive,1.0162507462686567,1.0,low,265,349,"664983,694249,696100,681198,650489,671289,666160,678662,664954",Jake McCarthy; Cole Carrigg; Hunter Goodman; TJ Rumfield; Willi Castro; Tyler Freeman; Mickey Moniak; Ezequiel Tovar; Brett Sullivan,statcast_fallback,False,,3,0.9310344827586207,elite,,"arsenal K% 25.2 (#3/29, elite, opp K% 23.6)"
29,Casey Legumina,668984,TB,R,TEX,TEX@TB,5:40 PM CT,2026-07-29T22:40:00Z,ok,official,1.395,6,0.6666666666666666,opener_profile,opener_likely,20.45098682334127,22.55826571988437,1.1433679197755342,1.2746684568221918,1.8405888141007145,9,9,1.0,6,,6,2.7000004357558733,0.830769364847961,6.438462577571698,4.72993358893405,medium,"elev_xfip,short_recent_ip",0.93,short_recent_ip,1.0,5.4,1.6666666666666667,0.8370000000000002,0.3,25.566343042071196,0.28168201808978505,5.17799352750809,recent,1.015087835034437,free_swing,1.0249760517799353,1.0,low,332,345,"694671,677649,607043,669394,679822,670032,695508,696030,553869",Wyatt Langford; Ezequiel Duran; Brandon Nimmo; Jake Burger; Justin Foscue; Nicky Lopez; Cam Cauley; Alejandro Osuna; Elias Díaz,,True,"K9 6.4, soft L3 1.0, elev_xFIP 4.73",22,0.27586206896551724,soft,FILLER,"soft-contact (K9 6.4, soft L3 1.0, elev_xFIP 4.73) + arsenal K% 20.5 (#22/29, soft, opp K% 25.6) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; also opener_likely — fade full-outing chalk"
,AJ Smith-Shawver,700363,ATL,R,NYM,ATL@NYM,12:10 PM CT,2026-07-29T17:10:00Z,missing_arsenal,official,4.622763552407933,19,2.1455864589235127,season_shrunk,starter,,,,,,9,0,,0,,19,4.15,0.0,8.31,,medium,high_bb,0.9,,4.0,8.307692307692308,4.333333333333333,,,26.062322946175637,0.2722130169193456,11.048158640226628,recent,,three_true,0.9848851274787536,0.9752665722379603,elevated,0,0,,,,False,,,,,,
,Thomas Pannone,623381,MIL,L,SF,MIL@SF,2:45 PM CT,2026-07-29T19:45:00Z,missing_arsenal,official,4.1,18,2.0044444444444443,season_shrunk,starter,,,,,,9,0,,0,,18,6.0,3.0,6.0,,high,"high_bb,high_hr,short_recent_ip,exit_hr",0.82,"short_recent_ip,exit_hr",2.0,6.0,3.0,,,24.761904761904763,0.2087905139969816,8.253968253968255,recent,,neutral,1.0004142857142857,1.0,neutral,0,0,,,,False,,,,,,
,Hayden Wesneski,669713,HOU,R,LAA,HOU@LAA,8:38 PM CT,2026-07-30T01:38:00Z,missing_arsenal,official,5.420134293948127,23,2.518446237592059,default,starter,,,,,,9,0,,0,,23,,,,,clear,,1.0,,,,,,,21.902017291066283,0.25011972443737807,9.510086455331413,recent,,patient,0.9686638328530259,0.9854789625360231,elevated,0,0,,,,False,,,,,,
