batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Ben Rortvedt,666163,9,L,LAD,Eduardo Rodriguez,AZ,L,LAD@AZ,3:10 PM CT,official,0.5,vs_lhp,0.0,0.0,0.106,0.112,113.75,113.75,True,17.09241037355353,1
Angel Genao,694197,9,S,CLE,Davis Martin,CWS,R,CLE@CWS,1:10 PM CT,official,0.42857142857142855,vs_rhp,13.3,60.0,0.368,0.313,95.89285714285712,95.89285714285712,True,5.6901515151515145,2
Eduardo Valencia,680664,8,R,DET,Logan Webb,SF,R,DET@SF,3:05 PM CT,official,0.391304347826087,vs_rhp,28.6,57.1,0.388,0.281,81.4482472826087,79.34240489130434,False,17.090699043361898,3
Yordan Alvarez,670541,2,L,HOU,Randy Vásquez,SD,R,HOU@SD,7:20 PM CT,official,0.34415584415584416,vs_rhp,17.9,53.6,0.467,0.333,75.40433441558442,75.7915422077922,False,17.543359147207486,4
Osleivis Basabe,678545,5,R,SF,Troy Melton,DET,R,DET@SF,3:05 PM CT,official,0.36363636363636365,vs_rhp,16.7,41.7,0.349,0.292,68.61332386363637,64.86463068181818,False,7.637061476151611,5
Brandon Nimmo,607043,4,L,TEX,Cade Povich,BAL,L,BAL@TEX,1:35 PM CT,official,0.34513274336283184,vs_lhp,11.1,51.2,0.369,0.291,66.72577433628318,63.98163716814159,False,17.11639980572787,6
Shohei Ohtani,660271,1,L,LAD,Eduardo Rodriguez,AZ,L,LAD@AZ,3:10 PM CT,official,0.2986111111111111,vs_lhp,16.4,52.6,0.41,0.297,66.71548611111112,67.83118055555556,False,25.09181345474757,7
Bobby Witt Jr.,677951,2,R,KC,Matthew Boyd,CHC,L,CHC@KC,1:10 PM CT,official,0.31958762886597936,vs_lhp,12.0,52.4,0.386,0.307,65.93126288659793,65.09188144329897,False,10.11417976430843,8
Alec Burleson,676475,3,L,STL,Michael Lorenzen,COL,R,COL@STL,1:15 PM CT,official,0.3256578947368421,vs_rhp,11.5,49.0,0.381,0.295,65.12516447368421,63.5210197368421,False,15.623690227264355,9
Andrew Vaughn,683734,3,R,MIL,Connor Prielipp,MIN,L,MIN@MIL,1:10 PM CT,official,0.37142857142857144,vs_lhp,6.0,43.4,0.351,0.277,64.28410714285715,58.65267857142858,False,11.349404056426387,10
Abimelec Ortiz,694673,2,L,WSH,Brady Singer,CIN,R,CIN@WSH,11:15 AM CT,official,0.3,vs_rhp,13.3,46.7,0.35,0.251,63.75,63.75,True,29.016786570743403,11
Esmerlyn Valdez,699013,5,R,PIT,Sean Manaea,NYM,L,NYM@PIT,12:35 PM CT,official,0.2727272727272727,vs_lhp,24.4,50.0,0.357,0.205,63.012102272727276,64.59448863636365,False,22.48640536418161,12
Corbin Carroll,682998,2,L,AZ,Justin Wrobleski,LAD,L,LAD@AZ,3:10 PM CT,official,0.32575757575757575,vs_lhp,11.8,48.9,0.343,0.249,62.56607007575758,59.91506628787879,False,17.814950553837964,13
Drake Baldwin,686948,1,L,ATL,Cam Schlittler,NYY,R,ATL@NYY,12:35 PM CT,official,0.28699551569506726,vs_rhp,13.9,51.4,0.38,0.282,62.52080156950673,63.16852578475336,False,18.146529167540603,14
Willson Contreras,575929,4,R,BOS,J.T. Ginn,ATH,R,ATH@BOS,12:35 PM CT,official,0.2878228782287823,vs_rhp,14.3,46.1,0.387,0.266,61.63697532287823,61.953956411439115,False,18.867463533144925,15
Griffin Conine,665052,4,L,MIA,Grayson Rodriguez,LAA,R,LAA@MIA,12:40 PM CT,official,0.2809917355371901,vs_rhp,15.1,52.7,0.362,0.264,61.57261105371901,62.286149276859504,False,32.26897006942073,16
Riley Greene,682985,4,L,DET,Logan Webb,SF,R,DET@SF,3:05 PM CT,official,0.2910958904109589,vs_rhp,14.7,48.5,0.364,0.26,61.54490154109589,61.45448202054795,False,27.67090439193756,17
Jackson Chourio,694192,1,R,MIL,Connor Prielipp,MIN,L,MIN@MIL,1:10 PM CT,official,0.30337078651685395,vs_lhp,13.8,47.6,0.341,0.255,61.1027036516854,59.8004143258427,False,26.247239960570887,18
