rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names
11,Will Warren,701542,NYY,R,PIT,PIT@NYY,ok,prior:2026-07-20,5.175438596491228,23,2.5555555555555554,season_avg,23.783084423279707,25.360740541174298,5.1212193076002634,5.459059580887245,2.1404775980951736,9,9,1.0,23,,23,3.0203391392770094,1.2813559984811556,8.78644113244221,3.9466421343143,low,elev_hr,4.0,7.5348837209302335,4.777777777777778,4.332925336597308,0.3,909,752,"693304,664040,668804,699013,656811,542303,669707,680779,695257",Nick Gonzales; Brandon Lowe; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Marcell Ozuna; Jared Triolo; Henry Davis; Billy Cook
12,Kumar Rocker,677958,TEX,R,CWS,CWS@TEX,ok,official,5.625,24,2.6666666666666665,season_avg,21.198724784347068,25.211907021365928,5.110489954980981,5.040655292829973,1.9078852305912362,9,9,1.0,24,,24,3.400000216166192,1.2000000762939502,8.000000508626334,4.241883626762107,medium,"elev_hr,elev_xfip",5.0,8.4375,5.333333333333333,5.2734375,0.3,873,650,"803011,808959,678246,695731,643217,671976,805367,682668,691011",Sam Antonacci; Munetaka Murakami; Miguel Vargas; Braden Montgomery; Andrew Benintendi; Tristan Peters; Chase Meidroth; Luisangel Acuña; Drew Romo
13,Framber Valdez,664285,DET,L,CHC,DET@CHC,ok,official,5.666666666666667,25,2.7777777777777777,season_avg,21.8031774115685,23.172973119800478,4.814007549300585,5.2581060228103595,1.9622859670411652,9,9,1.0,25,,25,3.00928799677723,0.9195046656819315,7.27244599221164,4.218909960340947,low,elev_xfip,4.0,6.0,6.0,3.7777777777777777,0.3,391,1304,"691718,673548,608324,608348,683737,663538,664023,621020,682634",Pete Crow-Armstrong; Seiya Suzuki; Alex Bregman; Carson Kelly; Michael Busch; Nico Hoerner; Ian Happ; Dansby Swanson; Kevin Alcántara
14,Tyler Mahle,641816,SF,R,KC,SF@KC,ok,official,4.710416666666666,20,2.2222222222222223,season_avg,23.98698155446198,24.18372347297704,4.6038318360506025,4.983152622929432,2.158828339901578,9,9,1.0,20,,20,3.6923076923076925,1.3846153846153846,8.423076923076923,4.206059966026208,medium,"elev_bb,elev_hr,elev_xfip",3.3333333333333335,7.105263157894737,4.222222222222222,3.7187499999999996,0.3,720,580,"695600,657041,695506,521692,686469,516782,686681,679845,686475",Carter Jensen; Lane Thomas; Jac Caglianone; Salvador Perez; Vinnie Pasquantino; Starling Marte; Michael Massey; Nick Loftin; Tyler Tolbert
15,Kyle Bradish,680694,BAL,R,BOS,BAL@BOS,ok,prior:2026-07-20,5.08421052631579,22,2.4444444444444446,season_avg,22.806396520020403,24.47374100200138,4.533123646705764,5.049670828171599,2.0525756868018363,9,9,1.0,22,,22,4.192546782525425,1.0062112278061022,8.888199178953903,3.9936902055202532,medium,high_bb,4.0,5.89090909090909,6.111111111111112,3.3278468899521525,0.3,1051,725,"678011,678882,677800,575929,807799,702332,680776,657136,691907",Anthony Seigler; Ceddanne Rafaela; Wilyer Abreu; Willson Contreras; Masataka Yoshida; Caleb Durbin; Jarren Duran; Connor Wong; Tsung-Che Cheng
16,Bubba Chandler,696149,PIT,R,NYY,PIT@NYY,ok,prior:2026-07-20,4.716666666666667,21,2.3333333333333335,season_avg,22.53747592805567,25.49187561412635,4.414723880706577,4.68960554386654,2.0283728335250104,9,9,1.0,21,,21,5.247349841004462,0.9540636074553568,8.109540663370533,5.12629246905772,high,"high_bb,high_xfip",4.0,7.2,5.0,3.7733333333333334,0.3,884,747,"663757,700250,502671,641355,665862,691176,641857,669224,676609",Trent Grisham; Ben Rice; Paul Goldschmidt; Cody Bellinger; Jazz Chisholm; Jasson Domínguez; Ryan McMahon; Austin Wells; José Caballero
17,Luinder Avila,679883,KC,R,SF,SF@KC,ok,official,5.279999999999999,23,2.5555555555555554,season_avg,18.074340278481156,21.43308636151483,4.336339957939764,4.497628511342521,1.626690625063304,9,9,1.0,23,,23,5.4000002423454845,0.9529412192374384,7.941176826978653,4.828101669948029,high,"high_bb,high_xfip",3.0,6.75,4.0,3.9599999999999995,0.3,639,418,"671218,805811,669477,646240,642715,808982,683679,687551,683766",Heliot Ramos; Bryce Eldridge; Casey Schmitt; Rafael Devers; Willy Adames; Jung Hoo Lee; Jesus Rodriguez; Drew Gilbert; Christian Koss
18,Parker Messick,800048,CLE,L,MIN,MIN@CLE,ok,official,5.85,23,2.5555555555555554,season_avg,19.679947949875352,23.93119167606637,4.258852961781784,4.517111373973977,1.7711953154887816,9,9,1.0,23,,23,2.8928573399174105,0.8035714833103917,8.83928631641431,3.6067595881296093,clear,,3.3333333333333335,5.625,5.333333333333333,3.65625,0.3,483,1252,"668885,621439,680777,605137,668904,605170,665019,807712,668952",Austin Martin; Byron Buxton; Ryan Jeffers; Josh Bell; Royce Lewis; Victor Caratini; Kody Clemens; Luke Keaschall; Ryan Kreidler
19,Walbert Ureña,700712,LAA,R,STL,STL@LAA,ok,official,4.88,22,2.4444444444444446,season_avg,16.654517025050907,20.12146619969567,4.064533232767351,3.71504747538193,1.4989065322545818,9,9,1.0,22,,22,5.090164133375361,0.5532787101494957,8.631147878332133,4.451511415232107,medium,"high_bb,elev_xfip",4.666666666666667,9.0,4.666666666666667,4.88,0.3,779,633,"802139,671056,676475,691023,663457,691026,701675,691458,663494",JJ Wetherholt; Iván Herrera; Alec Burleson; Jordan Walker; Lars Nootbaar; Masyn Winn; Nathan Church; Blaze Jordan; Bryan Torres
20,Noah Schultz,702273,CWS,L,TEX,CWS@TEX,ok,official,4.336363636363637,19,2.111111111111111,season_avg,19.940060077314186,22.65948333153022,3.979425134177088,3.8696710615094005,1.7946054069582766,9,9,1.0,19,,19,4.9245283018867925,1.3584905660377358,7.981132075471698,5.293875204617123,high,"high_bb,elev_hr,high_xfip",4.666666666666667,8.790697674418606,4.777777777777778,4.235517970401693,0.3,178,727,"694671,679822,673962,607043,669394,677649,695508,553869,696030",Wyatt Langford; Justin Foscue; Josh Jung; Brandon Nimmo; Jake Burger; Ezequiel Duran; Cam Cauley; Elias Díaz; Alejandro Osuna
