rank,pitcher,pitcher_id,team,opponent,game,expected_ks,expected_ks_model,expected_k_pct,arsenal_abs_grade,arsenal_matchup_rank,matchup_grade,ticket_outlook,actual_ks,actual_ip,actual_bf,err,abs_err,outing_role,outing_risk,lineup_source,k9,status
1,Jacob Misiorowski,694819,,LAA,MIL@LAA,6.990691128866656,5.352423234288274,23.107843640170625,strong,6,elite,,10,7.0,24,3.009308871133344,3.009308871133344,starter,clear,official,12.857,Final
2,Colin Rea,607067,,NYY,NYY@CHC,6.62630371224574,7.505830700033598,26.849451997822243,elite,1,elite,MATCHUP_OK,7,6.0,23,0.3736962877542602,0.3736962877542602,starter,medium,official,10.5,Final
3,Peter Lambert,663567,,TEX,TEX@HOU,5.979052099615056,5.800606640906663,23.305185185213134,strong,5,elite,,8,5.2,20,2.020947900384944,2.020947900384944,starter,low,official,12.706,Final
4,Gerrit Cole,543037,,CHC,NYY@CHC,5.919710370593185,5.133420830170716,21.488983494500566,avg,13,avg,,5,5.2,23,-0.9197103705931848,0.9197103705931848,starter,low,official,7.941,Final
5,Zack Wheeler,554430,,BAL,PHI@BAL,5.8366184352211565,4.554060543191349,23.046065890618898,strong,7,strong,,3,2.0,7,-2.8366184352211565,2.8366184352211565,starter,clear,official,13.5,Completed Early: Rain
6,Mitch Keller,656605,,CIN,PIT@CIN,5.704762447388737,5.903696526096939,24.492688561658873,elite,3,elite,MATCHUP_OK,2,2.0,16,-3.7047624473887373,3.7047624473887373,starter,low,official,9.0,Final
7,Chase Burns,695505,,PIT,PIT@CIN,5.459379823676681,5.867685462395259,26.077382997849682,elite,2,elite,,9,6.0,22,3.540620176323319,3.540620176323319,starter,clear,official,13.5,Final
8,Gavin Williams,668909,,AZ,AZ@CLE,5.444308665315057,3.5140833931137996,17.19826292411328,soft,29,soft,,10,5.2,19,4.555691334684943,4.555691334684943,starter,low,official,15.882,Final
9,Sandy Alcantara,645261,,NYM,MIA@NYM,5.402262535102432,5.611927845177388,19.581847237990633,soft,18,avg,FILLER,5,6.0,24,-0.40226253510243204,0.40226253510243204,starter,clear,official,7.5,Final
10,Gage Jump,695611,,DET,DET@ATH,5.362035651665185,4.677492791415381,23.63964627949871,strong,4,elite,,5,3.2,21,-0.3620356516651846,0.3620356516651846,starter,low,official,12.273,Final
11,George Kirby,669923,,MIN,MIN@SEA,5.346910345841669,5.067014779773815,20.840468354659492,avg,15,avg,,3,7.0,26,-2.3469103458416694,2.3469103458416694,starter,clear,official,3.857,Final
12,Taj Bradley,671737,,SEA,MIN@SEA,5.207056244551506,4.709286698565643,21.09371935190151,avg,14,avg,,2,6.0,29,-3.207056244551506,3.207056244551506,starter,medium,official,3.0,Final
13,Kyle Freeland,607536,,KC,KC@COL,5.016368810512934,5.285428549431434,22.606805217879472,strong,9,strong,,8,9.0,34,2.983631189487066,2.983631189487066,starter,medium,official,8.0,Final
14,Cade Cavalli,676917,,ATL,WSH@ATL,4.858378182793284,4.525081323935195,20.151355910143824,avg,16,avg,,3,6.0,23,-1.8583781827932837,1.8583781827932837,starter,clear,official,4.5,Final
15,Emmet Sheehan,686218,,BOS,BOS@LAD,4.824367101757915,4.56246332086037,22.539739005430565,strong,10,strong,,4,2.2,16,-0.8243671017579146,0.8243671017579146,starter,medium,prior:2026-08-01,13.5,In Progress
16,Kumar Rocker,677958,,HOU,TEX@HOU,4.750414910264097,4.302324330680313,18.31052687732247,soft,25,soft,,5,5.1,27,0.24958508973590288,0.24958508973590288,starter,clear,official,8.438,Final
17,Griffin Jax,643377,,CWS,CWS@TB,4.709297022506153,4.3240377632440845,22.370886625617448,avg,11,strong,,8,5.0,21,3.290702977493847,3.290702977493847,starter,low,official,14.4,Final
18,Keider Montero,672456,,ATH,DET@ATH,4.672543546938854,4.781280697307606,19.181867037252083,soft,21,soft,FILLER,2,6.0,22,-2.6725435469388543,2.6725435469388543,starter,low,official,3.0,Final
19,JR Ritchie,702275,,WSH,WSH@ATL,4.3563189827150435,3.7641573693171035,19.352422358580593,soft,20,soft,,4,4.0,20,-0.3563189827150435,0.3563189827150435,starter,high,official,9.0,Final
20,Merrill Kelly,518876,,CLE,AZ@CLE,4.249918264956636,4.239003376429813,18.890807219522966,soft,24,soft,FILLER,5,5.0,25,0.7500817350433637,0.7500817350433637,starter,high,official,9.0,Final
21,Anthony Kay,641743,,TB,CWS@TB,4.121997394943253,3.6475776738391983,17.356608770626096,soft,27,soft,,3,6.1,27,-1.1219973949432527,1.1219973949432527,starter,high,official,4.263,Final
22,Seth Lugo,607625,,COL,KC@COL,4.114707636095891,4.610211182119215,19.110183547922915,soft,22,soft,FILLER,3,5.0,25,-1.1147076360958907,1.1147076360958907,starter,low,official,5.4,Final
23,Matthew Liberatore,669461,,TOR,STL@TOR,4.103824271373703,3.545691816248147,19.022592118724365,soft,23,soft,,7,6.0,20,2.8961757286262966,2.8961757286262966,starter,high,official,10.5,Final
24,Kyle Bradish,680694,,PHI,PHI@BAL,3.9008296230443604,3.8170877731802553,18.04465423271089,soft,26,soft,,3,3.0,12,-0.9008296230443604,0.9008296230443604,starter,medium,official,9.0,Completed Early: Rain
25,Jake Bennett,687562,,LAD,BOS@LAD,3.798635338586407,3.863129848774232,17.284000201870715,soft,28,soft,FILLER,4,5.2,24,0.2013646614135931,0.2013646614135931,starter,clear,prior:2026-08-01,6.353,In Progress
26,Walbert Ureña,700712,,MIL,MIL@LAA,3.630960959014126,3.533071713398911,19.373852009941707,soft,19,soft,,7,6.0,22,3.369039040985874,3.369039040985874,starter,medium,official,10.5,Final
27,Landen Roupp,694738,,SD,SF@SD,3.5257155065512618,3.7517929291753926,19.970213901231705,soft,17,avg,,6,4.2,24,2.4742844934487382,2.4742844934487382,starter,low,official,11.571,Final
28,Max Scherzer,453286,,STL,STL@TOR,2.93025339378765,2.683719133982358,21.8522469982585,avg,12,avg,FILLER,5,6.0,23,2.06974660621235,2.06974660621235,starter,high,official,7.5,Final
29,Kyle Hart,606996,,SF,SF@SD,1.133337894144928,1.0055481191474855,22.793864172049897,strong,8,strong,,2,3.0,10,0.8666621058550721,0.8666621058550721,opener_likely,low,official,6.0,Final
,Robert Stock,476594,,MIA,MIA@NYM,,,,,,,,4,5.0,18,4.0,4.0,starter,low,official,7.2,Final
