rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,outing_risk,risk_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source
1,Nathan Eovaldi,543135,TEX,R,SEA,SEA@TEX,6:15 PM CT,2026-07-25T23:15:00Z,ok,prior:2026-07-24,6.070175438596491,25,2.7777777777777777,season_avg,starter,29.83376281363639,31.439765894618272,7.799077296111447,7.499433731287031,2.685038653227275,9,9,1.0,25,,25,2.1849711946243198,1.7167630814905368,9.520231633720249,3.3140091182555036,medium,high_hr,7.0,12.6,5.0,8.498245614035087,0.3,1000,736,"668227,677594,686527,663728,647304,702284,641598,642215,806068",Randy Arozarena; Julio Rodríguez; Dominic Canzone; Cal Raleigh; Josh Naylor; Cole Young; Mitch Garver; Weston Wilson; Colt Emerson,
2,Hunter Greene,668881,CIN,R,STL,CIN@STL,6:15 PM CT,2026-07-25T23:15:00Z,ok,prior:2026-07-24,5.466666666666667,23,2.5555555555555554,season_shrunk,starter,26.224382978543915,23.81322174909522,6.818674426697237,6.011517402570397,2.3601944680689524,9,9,1.0,23,,23,2.7551022553036946,1.653061353182217,14.326531727579212,2.534727264217522,medium,high_hr,8.666666666666666,14.326530612244898,5.444444444444444,8.70204081632653,0.3,169,107,"802139,691023,676475,671056,663457,691026,701675,691458,699625",JJ Wetherholt; Jordan Walker; Alec Burleson; Iván Herrera; Lars Nootbaar; Masyn Winn; Nathan Church; Blaze Jordan; Jimmy Crooks,statcast_fallback
3,Sean Burke,680732,CWS,R,HOU,HOU@CWS,6:10 PM CT,2026-07-25T23:10:00Z,ok,prior:2026-07-24,6.770833333333333,28,3.111111111111111,season_start_est,starter,20.89089103355807,22.08369519646705,6.612405570278599,5.757583018073544,1.8801801930202262,9,9,1.0,28,,28,2.7240357316483284,1.0415430738655373,9.614243758758805,3.843459566739138,clear,,8.333333333333334,11.440677966101694,6.555555555555556,8.606991525423728,0.3,1122,684,"665161,670541,670623,514888,664774,572233,828599,701358,543877",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Jose Altuve; LaMonte Wade Jr.; Christian Walker; Lucas Spence; Cam Smith; Christian Vázquez,
4,Yoshinobu Yamamoto,808967,LAD,R,NYM,LAD@NYM,6:15 PM CT,2026-07-25T23:15:00Z,ok,prior:2026-07-24,6.648148148148149,25,2.7777777777777777,season_avg,starter,21.860639632317138,25.863072814870854,5.920538463771161,5.47919636238593,1.9674575669085426,9,9,1.0,25,,25,1.8802228811837387,0.977715898215544,8.4986074229505,3.332137531628088,clear,,7.666666666666667,9.409090909090908,7.333333333333333,6.950336700336701,0.3,944,816,"805999,665742,666182,596019,701807,673357,676724,543760,682626",A.J. Ewing; Juan Soto; Bo Bichette; Francisco Lindor; Carson Benge; Luis Robert Jr.; Jared Young; Marcus Semien; Francisco Alvarez,
5,Dylan Cease,656302,TOR,R,BOS,TOR@BOS,3:10 PM CT,2026-07-25T20:10:00Z,ok,prior:2026-07-24,5.50648148148148,23,2.5555555555555554,season_avg,starter,23.59958608257112,24.12348153425662,5.876255046000065,5.360466392244993,2.1239627474314005,9,9,1.0,23,,23,3.881789326617906,0.6038338952516742,13.370607680572787,2.634192656058656,low,elev_bb,9.0,11.571428571428571,7.0,7.079761904761902,0.3,1093,726,"678011,678882,677800,575929,807799,702332,680776,655316,657136",Anthony Seigler; Ceddanne Rafaela; Wilyer Abreu; Willson Contreras; Masataka Yoshida; Caleb Durbin; Jarren Duran; Andruw Monasterio; Connor Wong,
6,Shota Imanaga,684007,CHC,L,PIT,CHC@PIT,5:40 PM CT,2026-07-25T22:40:00Z,ok,prior:2026-07-24,5.75,23,2.5555555555555554,season_avg,starter,24.620542035697202,29.00038653844454,5.783978563439698,5.749255090628139,2.2158487832127483,9,9,1.0,23,,23,2.1913043478260867,1.7217391304347827,8.530434782608696,3.9306758164063744,medium,high_hr,5.666666666666667,9.18,5.555555555555556,5.865,0.3,471,1329,"663968,693304,668804,699013,656811,542303,664040,669707,680779",Jake Mangum; Nick Gonzales; Bryan Reynolds; Esmerlyn Valdez; Ryan O'Hearn; Marcell Ozuna; Brandon Lowe; Jared Triolo; Henry Davis,
7,Ryan Weathers,677960,NYY,L,PHI,NYY@PHI,5:05 PM CT,2026-07-25T22:05:00Z,ok,prior:2026-07-24,5.385964912280701,23,2.5555555555555554,season_avg,starter,22.315253745124913,25.919735315654798,5.635032013717063,5.247145626470133,2.008372837061242,9,9,1.0,23,,23,2.55048872611521,1.4951140808261576,10.11400701735342,3.2992719657928364,low,elev_hr,5.666666666666667,10.928571428571429,4.666666666666667,6.540100250626566,0.3,358,1358,"607208,656941,547180,669016,664761,681082,592663,687282,702222",Trea Turner; Kyle Schwarber; Bryce Harper; Brandon Marsh; Alec Bohm; Bryson Stott; J.T. Realmuto; Gabriel Rincones Jr.; Justin Crawford,
8,Michael Wacha,608379,KC,R,DET,KC@DET,12:10 PM CT,2026-07-25T17:10:00Z,ok,official,6.266666666666667,26,2.888888888888889,season_avg,starter,20.74880700308319,24.15991286722324,5.625851163536144,5.297501662194491,1.867392630277487,9,9,1.0,26,,26,2.5851064878872196,1.0771277032863416,7.2526598687947,4.327787805680791,low,elev_xfip,5.666666666666667,9.18,5.555555555555556,6.392,0.3,1092,782,"690993,805808,650402,681481,682985,701678,656716,663837,668670",Colt Keith; Kevin McGonigle; Gleyber Torres; Kerry Carpenter; Riley Greene; Hao-Yu Lee; Zach McKinstry; Matt Vierling; Jake Rogers,
9,Bryan Woo,693433,SEA,R,TEX,SEA@TEX,6:15 PM CT,2026-07-25T23:15:00Z,ok,prior:2026-07-24,5.807017543859649,24,2.6666666666666665,season_avg,starter,21.533256644271173,24.421119119310376,5.354665973416342,5.208661049357066,1.9379930979844056,9,9,1.0,24,,24,1.7945620162623663,0.9788520088703817,8.891239080572634,3.7048675450093316,clear,,5.666666666666667,8.826923076923077,5.777777777777778,5.695344129554655,0.3,1017,657,"592626,694671,677649,607043,694497,669394,670032,553869,695508",Joc Pederson; Wyatt Langford; Ezequiel Duran; Brandon Nimmo; Evan Carter; Jake Burger; Nicky Lopez; Elias Díaz; Cam Cauley,
10,Eury Pérez,691587,MIA,R,SD,SD@MIA,3:10 PM CT,2026-07-25T20:10:00Z,ok,prior:2026-07-24,5.122549019607844,21,2.3333333333333335,season_avg,starter,23.50242505352389,25.88715403969807,5.329394095991631,4.9558571119208175,2.11521825481715,9,9,1.0,21,,21,3.6327273735109467,1.2763636717741165,10.210909374192932,3.9706000268681754,medium,"elev_bb,elev_hr",7.666666666666667,10.894736842105264,6.333333333333333,6.200980392156863,0.3,876,625,"665487,630105,592518,664034,701538,669134,657757,593428,823550",Fernando Tatis Jr.; Jake Cronenworth; Manny Machado; Ty France; Jackson Merrill; Luis Campusano; Gavin Sheets; Xander Bogaerts; Sung-Mun Song,
