batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Ben Rortvedt,666163,9,L,LAD,Daniel Lynch IV,KC,L,KC@LAD,9:10 PM CT,prior:2026-08-11,0.5,vs_lhp,0.0,0.0,0.244,0.264,113.75,113.75,True,26.174004169900392,1
Brett Bateman,703520,2,L,TOR,Ranger Suarez,BOS,L,BOS@TOR,6:07 PM CT,official,0.5,vs_lhp,0.0,25.0,0.274,0.229,113.75,113.75,True,30.385487528344672,2
Michael Toglia,669911,5,S,CIN,Luis Castillo,CWS,R,CIN@CWS,6:40 PM CT,official,0.5,recent,0.0,0.0,0.329,0.361,113.75,113.75,True,12.052819863811655,3
Zac Veen,691728,7,L,COL,Merrill Kelly,AZ,R,COL@AZ,2:40 PM CT,official,0.5,recent,,,,,113.75,113.75,False,20.757111540797315,4
Ronny Simon,682927,6,S,PIT,Janson Junk,MIA,R,PIT@MIA,5:40 PM CT,official,0.35714285714285715,vs_rhp,0.0,26.3,0.319,0.282,78.03571428571429,78.03571428571429,True,11.077844311377245,5
Yordan Alvarez,670541,2,L,HOU,Adrian Houser,SF,R,HOU@SF,2:45 PM CT,official,0.3450479233226837,vs_rhp,17.9,53.5,0.464,0.332,75.32697983226836,75.60520866613419,False,17.461574426918418,6
Shohei Ohtani,660271,1,L,LAD,Daniel Lynch IV,KC,L,KC@LAD,9:10 PM CT,prior:2026-08-11,0.29931972789115646,vs_lhp,16.3,52.1,0.405,0.294,66.36166028911565,67.28879889455783,False,16.70580342167058,7
Brady House,691781,3,R,WSH,David Peterson,CHC,L,CHC@WSH,5:45 PM CT,official,0.36231884057971014,vs_lhp,11.9,46.9,0.335,0.266,65.97657155797101,61.43875452898551,False,24.933271003047075,8
Alec Burleson,676475,3,L,STL,Zack Wheeler,PHI,R,PHI@STL,1:15 PM CT,official,0.3279742765273312,vs_rhp,11.5,49.1,0.383,0.296,65.48274015273313,63.81090132636656,False,19.39513134688573,9
Bobby Witt Jr.,677951,2,R,KC,Eric Lauer,LAD,L,KC@LAD,9:10 PM CT,prior:2026-08-11,0.3106796116504854,vs_lhp,11.7,52.2,0.382,0.303,64.59421116504855,64.04273058252427,False,13.69246946581796,10
Griffin Conine,665052,3,L,MIA,Carmen Mlodzinski,PIT,R,PIT@MIA,5:40 PM CT,official,0.28225806451612906,vs_rhp,17.3,55.1,0.384,0.271,64.29924395161291,65.81446572580646,False,35.931971579226946,11
Andrew Vaughn,683734,3,R,MIL,Robbie Ray,SD,L,MIL@SD,3:10 PM CT,official,0.38028169014084506,vs_lhp,5.8,41.9,0.342,0.27,64.2372315140845,57.835022007042255,False,8.574373174493779,12
Chase DeLauter,800050,2,L,CLE,Framber Valdez,DET,L,CLE@DET,5:40 PM CT,official,0.3442622950819672,vs_lhp,6.8,46.6,0.35,0.277,62.54185450819672,58.54248975409836,False,10.284473590925204,13
Munetaka Murakami,808959,2,L,CWS,Rhett Lowder,CIN,R,CIN@CWS,6:40 PM CT,official,0.25742574257425743,vs_rhp,20.8,59.6,0.367,0.22,62.42069925742574,65.12566212871288,False,29.872728942775787,14
Jackson Chourio,694192,1,R,MIL,Robbie Ray,SD,L,MIL@SD,3:10 PM CT,official,0.3111111111111111,vs_lhp,13.8,47.9,0.344,0.258,62.13267361111111,60.53899305555555,False,22.785491541257954,15
Pete Alonso,624413,2,R,BAL,Zebby Matthews,MIN,R,BAL@MIN,12:40 PM CT,official,0.26498422712933756,vs_rhp,14.1,56.4,0.387,0.277,61.55967271293376,63.68046135646689,False,24.52715681584443,16
Luis García Jr.,671277,4,L,NYY,Bryce Miller,SEA,R,SEA@NYY,6:05 PM CT,official,0.296875,vs_rhp,12.2,46.1,0.354,0.289,60.76593750000001,60.0353125,False,13.670816896904777,17
Junior Caminero,691406,3,R,TB,Jack Perkins,ATH,R,TB@ATH,2:05 PM CT,official,0.27245508982035926,vs_rhp,14.0,51.1,0.374,0.274,60.61207148203593,61.80619199101797,False,22.144348713978733,18
Michael Harris II,671739,5,L,ATL,Zac Thornton,NYM,L,NYM@ATL,6:15 PM CT,official,0.2929936305732484,vs_lhp,11.2,50.0,0.35,0.293,60.601863057324834,60.12218152866242,False,15.69463344257623,19
Willson Contreras,575929,4,R,BOS,José Soriano,TOR,R,BOS@TOR,6:07 PM CT,official,0.2805755395683453,vs_rhp,14.0,45.5,0.383,0.262,60.38724145683453,60.886589478417264,False,22.56499169435216,20
Bryce Harper,547180,3,L,PHI,Kyle Leahy,STL,R,PHI@STL,1:15 PM CT,official,0.2851851851851852,vs_rhp,11.5,44.9,0.39,0.273,60.08633101851852,60.20144675925926,False,18.157153295459917,21
Jordan Walker,691023,4,R,STL,Zack Wheeler,PHI,R,PHI@STL,1:15 PM CT,official,0.28152492668621704,vs_rhp,13.3,47.3,0.354,0.275,59.6465551686217,59.76218383431085,False,23.53391894813146,22
Matt Olson,621566,3,L,ATL,Zac Thornton,NYM,L,NYM@ATL,6:15 PM CT,official,0.2663316582914573,vs_lhp,15.7,50.4,0.363,0.249,59.608165829145726,60.87408291457286,False,22.26263903814745,23
Gabriel Moreno,672515,3,R,AZ,Ryan Feltner,COL,R,COL@AZ,2:40 PM CT,official,0.30991735537190085,vs_rhp,6.8,42.1,0.371,0.296,59.549548037190085,57.545555268595045,False,14.36736483268333,24
Ben Rice,700250,2,L,NYY,Bryce Miller,SEA,R,SEA@NYY,6:05 PM CT,official,0.26119402985074625,vs_rhp,15.6,48.0,0.372,0.263,59.28940298507463,60.949701492537315,False,27.829992007321792,25
Yandy Díaz,650490,1,R,TB,Jack Perkins,ATH,R,TB@ATH,2:05 PM CT,official,0.30094043887147337,vs_rhp,7.1,47.9,0.358,0.289,59.234981387147336,57.76608444357367,False,15.950626595497797,26
Jose Siri,642350,7,R,LAA,Cal Quantrill,TEX,R,TEX@LAA,9:10 PM CT,prior:2026-08-11,0.3076923076923077,vs_rhp,13.8,43.0,0.32,0.232,59.20110576923078,56.85274038461539,False,14.208883778136492,27
Jonathan Aranda,666018,2,L,TB,Jack Perkins,ATH,R,TB@ATH,2:05 PM CT,official,0.2987012987012987,vs_rhp,9.8,45.1,0.355,0.265,59.03731737012987,57.60537743506494,False,16.22125712310837,28
