rank,pitcher,pitcher_id,pitcher_team,pitch_hand,opponent,game,game_time_ct,game_time_utc,status,lineup_source,projected_ip,projected_bf,times_through_order,outing_source,outing_role,expected_k_pct,expected_whiff_pct,expected_ks,expected_ks_model,expected_ks_1x,lineup_batters,lineup_scored,lineup_coverage,bf_scored,missing_batters,batters_faced_assumed,bb9,hr9,k9,xfip,pitcher_k_pct,pitcher_contact_pct,pitcher_gb_pct,pitcher_fb_pct,pitcher_iffb_pct,pitcher_soft_pct,pitcher_style,pitcher_style_flags,outing_risk,risk_flags,bf_risk_factor,survival_flags,last3_ks,last3_k9,last3_ip,form_ks,form_weight,lineup_k_pct,lineup_avg,lineup_bb_pct,lineup_bip_pct,contact_grade,offense_source,offense_factor,discipline_grade,discipline_ks_factor,discipline_bf_factor,pitch_count_risk,hand_mix_pitches_l,hand_mix_pitches_r,lineup_batter_ids,lineup_batter_names,arsenal_source,stuff_whiff_pct,stuff_fb_velo,stuff_fb_pitch,stuff_grade,spike_risk,spike_flags,stuff_source,soft_contact_profile,profile_flags,arsenal_matchup_rank,arsenal_matchup_pctile,matchup_grade,arsenal_abs_grade,arsenal_vs_league,arsenal_vs_opp,ticket_outlook,ticket_note,under_confirm_n,total_trust,vs_team_home_g,vs_team_home_ks,vs_team_home_avg_ks,vs_team_away_g,vs_team_away_ks,vs_team_away_avg_ks,vs_team_recent,vs_team_games,vs_team_ks,vs_team_pa,vs_team_bb,vs_team_hr,vs_team_hits,vs_team_avg,vs_team_ops,vs_team_k_pct
1,Sean Burke,680732,CWS,R,PIT,PIT@CWS,6:40 PM CT,2026-09-08T23:40:00Z,ok,official,6.181727777777778,26,2.888888888888889,season_start_est,starter,26.088421027068392,26.3586870654636,6.703693285878596,7.228450960346047,2.3479578924361553,9,9,1.0,26,,26,3.142241585977593,1.047413861992531,9.717673052930705,3.9293887796638938,26.299212999999998,77.225341,34.1645885,45.8852867,11.4130434,13.086420000000002,whiff,"K% 26.3, FB% 45.9, IFFB% 11.4",clear,,1.0,,4.333333333333333,7.977272727272727,4.888888888888889,5.4792587121212115,0.3,27.428571428571427,0.23460847938037238,10.0,60.857142857142854,whiff_prone,recent,1.07,three_true,0.99065,0.9847,elevated,1470,1080,"804606,664040,668804,665833,699013,687462,804668,694378,663968",Konnor Griffin; Brandon Lowe; Bryan Reynolds; Oneil Cruz; Esmerlyn Valdez; Spencer Horwitz; Rafael Flores Jr.; Jacob Gonzalez; Jake Mangum,,25.64307313131313,94.82664543524417,FF,avg,False,,savant+statcast,False,,6,0.8275862068965517,elite,elite,3.5884210270683923,-1.3401504015030348,,"arsenal K% 26.1 (elite solo, +3.6 vs lg, -1.3 vs opp K%, opp K% 27.4; slate #6/29 elite); stuff whiff 25.6% (avg), FF 94.8 mph; pitcher style WHIFF (K% 26.3, FB% 45.9, IFFB% 11.4); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.7 (≥5.5)",0,trust,0,0,,0,0,,,,,,,,,,,
2,Drew Anderson,623454,DET,R,MIN,MIN@DET,5:40 PM CT,2026-09-08T22:40:00Z,ok,official,6.372916666666667,28,3.111111111111111,season_start_est,swingman,25.975935634236052,27.641622906305013,6.435351601342294,6.699609430488991,2.3378342070812446,9,9,1.0,28,,28,3.632727827037549,1.276363831121301,9.916365149480876,3.727607597069672,25.699746,74.018945,48.373983700000004,35.3658536,11.4942528,15.261044000000002,whiff,"K% 25.7, Contact% 74.0",medium,"elev_bb,elev_hr",0.95,,4.666666666666667,8.217391304347826,5.111111111111112,5.8187500000000005,0.3,17.355371900826448,0.2551241330466269,8.539944903581267,71.07438016528926,contact_heavy,recent,0.9299999999999999,neutral,0.9978404958677686,1.0,neutral,818,707,"807712,686797,665019,680777,605137,668904,663616,701785,805805",Luke Keaschall; Brooks Lee; Kody Clemens; Ryan Jeffers; Josh Bell; Royce Lewis; Trevor Larnach; Kaelen Culpepper; Walker Jenkins,,28.76168421052632,95.54276315789474,FF,strong,True,stuff whiff 28.8%,savant,False,,7,0.7931034482758621,strong,elite,3.475935634236052,8.620563733409604,,"arsenal K% 26.0 (elite solo, +3.5 vs lg, +8.6 vs opp K%, opp K% 17.4; slate #7/29 strong); stuff whiff 28.8% (strong), FF 95.5 mph; pitcher style WHIFF (K% 25.7, Contact% 74.0); stuff ceiling (stuff whiff 28.8%); K-first arm — confirms overs / SPIKE caution on soft unders; TRUST total — ELITE/STRONG + WHIFF + Exp K 6.4 (≥5.5); also swingman — fade full-outing chalk",1,trust,1,2,2.0,2,9,4.5,2026-09-02 A: 5.2IP 5K; 2026-06-09 H: 0.2IP 2K; 2026-04-06 A: 3.0IP 4K,3.0,11.0,40.0,5.0,0.0,5.0,.152,.542,27.5
3,Patrick Sandoval,663776,BOS,L,LAA,LAA@BOS,5:45 PM CT,2026-09-08T22:45:00Z,ok,official,4.41,21,2.3333333333333335,season_avg,starter,30.503040419945396,33.02777447236346,6.291890539532467,7.098415056474953,2.7452736377950857,9,9,1.0,21,,21,4.591836734693878,1.1020408163265305,9.183673469387756,4.489770154928674,22.026432,78.036176,37.5838926,40.2684563,18.3333333,19.205298000000003,fly_popup,"FB% 40.3, IFFB% 18.3",medium,"high_bb,elev_xfip",0.9,,5.0,9.0,5.0,4.41,0.3,32.302405498281786,0.18035099338367122,5.154639175257732,58.419243986254294,whiff_prone,recent,1.07,free_swing,1.025162886597938,1.0,low,276,572,"687263,545361,642350,687093,694208,695681,677347,694203,518595",Zach Neto; Mike Trout; Jose Siri; Vaughn Grissom; Moisés Ballesteros; Christian Moore; Kyren Paris; Denzer Guzman; Travis d'Arnaud,,25.261090770631323,93.57111111111111,FF,avg,False,,savant+statcast,False,,2,0.9655172413793104,elite,elite,8.003040419945396,-1.7993650783363897,THIN_TOTAL,"arsenal K% 30.5 (elite solo, +8.0 vs lg, -1.8 vs opp K%, opp K% 32.3; slate #2/29 elite); stuff whiff 25.3% (avg), FF 93.6 mph; pitcher style FLY/popup (FB% 40.3, IFFB% 18.3); THIN total — Exp K 6.3 with STYLE FLY (BIP outs); O3.5 / thin O4.5 only, do not nuke the number; fly/popup out-getter — BIP outs over Ks; same under cue as GB style",1,thin,0,0,,0,0,,,,,,,,,,,
4,David Peterson,656849,CHC,L,MIL,CHC@MIL,6:40 PM CT,2026-09-08T23:40:00Z,ok,official,5.8999999999999995,27,3.0,season_start_est,starter,20.78144099396227,22.493273181400056,6.148721682034886,5.680641363945941,1.8703296894566044,9,9,1.0,27,,27,3.9685041456112073,0.9921260364028018,8.007874436679758,4.072413799352723,19.516408,79.736575,49.75,28.249999999999996,7.079646,15.024631,contact_gb,GB% 49.8,low,elev_bb,0.95,,6.0,11.045454545454547,4.888888888888888,7.240909090909092,0.3,22.61904761904762,0.27927339471691176,8.333333333333334,65.77380952380952,neutral,recent,1.0127173656064865,neutral,0.9997,1.0,neutral,609,1525,"694192,668930,683734,661388,596142,800325,687401,669003,806198",Jackson Chourio; Brice Turang; Andrew Vaughn; William Contreras; Gary Sánchez; Luis Lara; Joey Ortiz; Garrett Mitchell; Cooper Pratt,,21.981302717900654,92.10232558139535,SI,soft,True,L3 K9 11.0,savant,False,,18,0.41379310344827586,avg,avg,-1.7185590060377294,-1.8376066250853498,,"arsenal K% 20.8 (avg solo, -1.7 vs lg, -1.8 vs opp K%, opp K% 22.6; slate #18/29 avg); stuff whiff 22.0% (soft), SI 92.1 mph; pitcher style GB/contact (GB% 49.8); stuff ceiling (L3 K9 11.0)",1,,3,13,4.333333333333333,3,15,5.0,2026-09-02 H: 3.2IP 4K; 2026-06-27 A: 5.2IP 2K; 2025-07-03 H: 6.2IP 4K; 2024-09-29 A: 7.0IP 8K; 2023-06-27 H: 6.0IP 5K; 2023-04-05 A: 4.0IP 5K,8.0,32.0,163.0,21.0,4.0,34.0,.248,.740,19.631901840490798
5,Tarik Skubal,669373,LAD,L,CIN,CIN@LAD,9:10 PM CT,2026-09-09T02:10:00Z,ok,prior:2026-09-07,5.918300436111861,24,2.6666666666666665,season_avg,starter,20.121962037671175,28.515240588777758,5.997936791602313,5.307376808921259,1.8109765833904057,9,9,1.0,24,,24,1.49622171997615,0.8161209381688092,10.813602430736722,2.635202901892405,30.518234,70.61032900000001,42.5076452,35.7798165,7.6923076,15.522388000000001,whiff,"K% 30.5, Contact% 70.6",clear,,1.0,,8.0,11.571428571428571,6.222222222222222,7.609243417858106,0.3,26.706231454005934,0.27651320713490507,10.089020771513352,61.42433234421365,whiff_prone,recent,1.07,three_true,0.9901603857566765,0.9838988130563798,elevated,440,1571,"699302,682829,701398,668709,663886,553993,680574,699115,663647",Héctor Rodríguez; Elly De La Cruz; Sal Stewart; JJ Bleday; Tyler Stephenson; Eugenio Suárez; Matt McLain; Carlos Jorge; Ke'Bryan Hayes,,30.32373235755358,96.75871934604906,FF,elite,True,"K9 10.8, L3 K9 11.6, stuff whiff 30.3%",savant,False,,21,0.3103448275862069,soft,avg,-2.3780379623288255,-6.5842694163347595,,"arsenal K% 20.1 (avg solo, -2.4 vs lg, -6.6 vs opp K%, opp K% 26.7; slate #21/29 soft); stuff whiff 30.3% (elite), FF 96.8 mph; pitcher style WHIFF (K% 30.5, Contact% 70.6); stuff ceiling (K9 10.8, L3 K9 11.6, stuff whiff 30.3%)",0,,0,0,,1,13,13.0,2024-07-07 A: 7.0IP 13K,1.0,13.0,25.0,0.0,0.0,3.0,.120,.320,52.0
6,Sean Manaea,640455,NYM,L,MIA,NYM@MIA,5:40 PM CT,2026-09-08T22:40:00Z,ok,official,7.0,30,3.3333333333333335,season_start_est,starter,20.767136689253604,21.561419697350956,5.625923322374331,6.479341009985308,1.8690423020328242,9,9,1.0,30,,30,2.8753248747518376,1.4727273748728926,8.555844749261567,4.286281301394416,21.708185,79.348837,38.8888888,40.7407407,9.090909,13.766233999999999,balanced,,medium,"elev_hr,elev_xfip",1.0,,3.0,4.6730769230769225,5.777777777777779,3.634615384615384,0.3,23.655913978494624,0.21406602377710626,8.602150537634408,64.15770609318996,neutral,recent,1.0544512359912073,neutral,0.9972806451612903,1.0,neutral,680,1486,"681715,672640,682663,691594,665923,691277,805300,691858,640459",Heriberto Hernández; Otto Lopez; Agustín Ramírez; Javier Sanoja; Esteury Ruiz; Deyvison De Los Santos; Jakob Marsee; Jared Serna; Brian Navarreto,,22.33010827333699,91.26488456865128,FF,avg,False,,savant+statcast,False,,19,0.3793103448275862,soft,avg,-1.7328633107463958,-2.8887772892410197,,"arsenal K% 20.8 (avg solo, -1.7 vs lg, -2.9 vs opp K%, opp K% 23.7; slate #19/29 soft); stuff whiff 22.3% (avg), FF 91.3 mph",0,,1,4,4.0,4,11,2.75,2026-05-22 A: 3.2IP 3K; 2025-09-28 A: 1.2IP 3K; 2024-08-16 H: 7.0IP 4K; 2024-07-19 A: 5.0IP 1K; 2024-05-19 A: 5.0IP 4K,7.0,29.0,137.0,7.0,6.0,33.0,.256,.788,21.16788321167883
7,Cal Quantrill,615698,TEX,R,SEA,TEX@SEA,8:40 PM CT,2026-09-09T01:40:00Z,ok,official,6.540708775252526,27,3.0,season_start_est,swingman,18.24834064969926,23.631247820329687,5.61922291622578,5.224300405214319,1.6423506584729333,9,9,1.0,27,,27,2.234482817406038,1.0241379579777674,6.796551902943365,4.416163704244702,18.575064,83.194444,40.1384083,42.9065743,14.516129,14.137931,fly_popup,"FB% 42.9, IFFB% 14.5",low,elev_xfip,1.0,,6.333333333333333,9.0,6.333333333333333,6.540708775252526,0.3,25.0,0.24199906646492833,9.943181818181818,63.06818181818182,whiff_prone,recent,1.07,three_true,0.9909625,0.9852113636363636,elevated,865,629,"668227,686527,677594,663728,641487,647304,702284,703155,801126",Randy Arozarena; Dominic Canzone; Julio Rodríguez; Cal Raleigh; J.P. Crawford; Josh Naylor; Cole Young; Lazaro Montes; Brock Rodden,,20.79644412191582,93.95013054830285,SI,soft,False,,savant,True,"K9 6.8, elev_xFIP 4.42",26,0.13793103448275862,soft,soft,-4.251659350300741,-6.751659350300741,FILLER,"soft-contact (K9 6.8, elev_xFIP 4.42) + arsenal K% 18.2 (soft solo, -4.3 vs lg, -6.8 vs opp K%, opp K% 25.0; slate #26/29 soft); stuff whiff 20.8% (soft), SI 94.0 mph; pitcher style FLY/popup (FB% 42.9, IFFB% 14.5) — FILLER on Ks: pass or O3.5; does not help a K ticket; consider pitcher outs if clear/low risk and projected IP holds; weak under — only 1/2 confirms (GB/FLY style); need 1 more of GB/FLY · contact-heavy · Exp K ≤4.2 (or take U6.5+ / pass); fly/popup out-getter — BIP outs over Ks; same under cue as GB style; also swingman — fade full-outing chalk",1,,2,7,3.5,3,13,4.333333333333333,2026-04-18 A: 3.0IP 5K; 2025-04-25 A: 5.2IP 5K; 2024-04-21 H: 6.0IP 4K; 2023-04-08 H: 5.0IP 3K; 2023-04-02 A: 4.2IP 3K,7.0,25.0,130.0,11.0,4.0,33.0,.282,.774,19.23076923076923
8,Freddy Peralta,642547,TB,R,ATL,TB@ATL,6:15 PM CT,2026-09-08T23:15:00Z,ok,official,5.25,23,2.5555555555555554,season_avg,starter,26.128748054784165,27.065642868471357,5.618840042612604,6.013756451852592,2.3515873249305748,9,9,1.0,23,,23,3.3061225347745347,1.408163301848413,8.571428793859905,4.289048408660465,21.772939,75.834011,39.1304347,40.961098299999996,8.938547400000001,14.965986000000001,balanced,,medium,"elev_hr,elev_xfip",1.0,,5.666666666666667,8.052631578947368,6.333333333333333,4.697368421052632,0.3,24.431818181818183,0.2596910118760052,5.965909090909091,68.4659090909091,neutral,recent,1.0124181561219079,free_swing,1.0186727272727272,1.0,low,1664,927,"671739,660670,621566,686948,643289,645277,663586,573262,669221",Michael Harris II; Ronald Acuña Jr.; Matt Olson; Drake Baldwin; Mauricio Dubón; Ozzie Albies; Austin Riley; Mike Yastrzemski; Sean Murphy,,25.454560327198365,94.18026509572901,FF,avg,False,,savant+statcast,False,,5,0.8620689655172413,elite,elite,3.6287480547841646,1.6969298729659812,,"arsenal K% 26.1 (elite solo, +3.6 vs lg, +1.7 vs opp K%, opp K% 24.4; slate #5/29 elite); stuff whiff 25.5% (avg), FF 94.2 mph; total caution — Exp K 5.6 with STYLE BAL (not WHIFF); prefer O4.5 floor over juiced O5.5+/O6.5",0,caution,3,14,4.666666666666667,3,19,6.333333333333333,2026-07-06 A: 4.2IP 6K; 2026-06-14 H: 5.0IP 2K; 2025-08-05 A: 5.0IP 7K; 2024-08-07 A: 5.0IP 6K; 2024-07-31 H: 6.0IP 7K; 2023-07-21 H: 5.0IP 5K,11.0,62.0,231.0,25.0,7.0,46.0,.229,.709,26.83982683982684
9,Reid Detmers,672282,LAA,L,BOS,LAA@BOS,5:45 PM CT,2026-09-08T22:45:00Z,ok,official,5.785714285714286,23,2.5555555555555554,season_avg,starter,24.75736814185432,26.79422162006141,5.436653716023067,5.809075663061955,2.228163132766889,9,9,1.0,23,,23,2.4444444444444446,0.9444444444444444,10.11111111111111,3.4285591182701385,27.956989,74.393109,37.772397000000005,44.067796599999994,9.890109800000001,13.571428999999998,whiff,"K% 28.0, Contact% 74.4",clear,,1.0,,5.0,7.105263157894737,6.333333333333333,4.567669172932331,0.3,21.406727828746178,0.2610105357079569,7.339449541284404,68.50152905198777,neutral,recent,0.9800042468069556,neutral,1.0086449541284404,1.0,neutral,690,1893,"701350,663330,677800,596115,686765,702332,655316,642201,657136",Roman Anthony; Jahmai Jones; Wilyer Abreu; Trevor Story; Nick Sogard; Caleb Durbin; Andruw Monasterio; Eli White; Connor Wong,,29.666523101018015,94.06452991452991,FF,strong,True,"K9 10.1, stuff whiff 29.7%",savant,False,,10,0.6896551724137931,strong,elite,2.2573681418543217,3.350640313108144,,"arsenal K% 24.8 (elite solo, +2.3 vs lg, +3.4 vs opp K%, opp K% 21.4; slate #10/29 strong); stuff whiff 29.7% (strong), FF 94.1 mph; pitcher style WHIFF (K% 28.0, Contact% 74.4); stuff ceiling (K9 10.1, stuff whiff 29.7%); K-first arm — confirms overs / SPIKE caution on soft unders",0,,4,20,5.0,4,16,4.0,2026-07-03 H: 5.0IP 5K; 2025-06-24 H: 1.0IP 1K; 2025-06-23 H: 0.2IP 2K; 2025-06-03 A: 1.0IP 2K; 2025-06-02 A: 1.0IP 0K; 2024-04-12 A: 6.1IP 7K; 2024-04-06 H: 6.0IP 12K; 2023-04-16 A: 6.1IP 7K,10.0,39.0,149.0,13.0,2.0,30.0,.229,.647,26.174496644295303
10,Andrew Painter,691725,PHI,R,HOU,HOU@PHI,5:40 PM CT,2026-09-08T22:40:00Z,ok,official,5.43859649122807,24,2.6666666666666665,season_start_est,starter,24.299495301201816,27.64116664644372,5.426138701710011,5.420799649059415,2.186954577108163,9,9,1.0,24,,24,3.1613925577184245,1.4525317157084654,7.7753168311453145,4.393097614870361,19.95614,77.70034799999999,41.3249211,40.378548800000004,10.9375,20.123839,balanced,,medium,"elev_hr,elev_xfip",1.0,,6.666666666666667,9.0,6.666666666666667,5.43859649122807,0.3,20.0,0.20193992572744401,8.235294117647058,69.11764705882354,neutral,recent,0.9744561950387272,neutral,1.0005823529411766,1.0,neutral,1029,734,"665161,670541,670623,514888,662139,673237,572233,666211,701358",Jeremy Peña; Yordan Alvarez; Isaac Paredes; Jose Altuve; Daulton Varsho; Yainer Diaz; Christian Walker; Taylor Trammell; Cam Smith,,24.64983273314331,96.52695652173914,FF,avg,False,,savant+statcast,False,,12,0.6206896551724138,avg,elite,1.7994953012018158,4.299495301201816,,"arsenal K% 24.3 (elite solo, +1.8 vs lg, +4.3 vs opp K%, opp K% 20.0; slate #12/29 avg); stuff whiff 24.6% (avg), FF 96.5 mph",0,,0,0,,0,0,,,,,,,,,,,
